Subclass,Overall Freq,Norm Class Freq,Norm Class Pop,Class Rating,Norm Subclass Frac,Subclass Rating,Combined Rating,Rating
Champion,167,533,0.107200322,5.0,0.319311663,5.0,5,5.0
Life Domain,157,506,0.101769912,5.0,0.31027668,5.0,5,5.0
Battle Master,144,523,0.105189059,5.0,0.275334608,5.0,5,5.0
Assassin,134,443,0.089098954,4.0,0.30248307,5.0,4.5,5.0
Eldritch Knight,91,523,0.105189059,5.0,0.173996176,4.0,4.5,5.0
Hexblade,137,392,0.078841512,3.0,0.349489796,5.0,4,5.0
Wild Magic,98,344,0.06918745,3.0,0.284883721,5.0,4,5.0
Draconic,82,344,0.06918745,3.0,0.238372093,5.0,4,5.0
Great Old One,81,392,0.078841512,3.0,0.206632653,5.0,4,5.0
Arcane Trickster,77,443,0.089098954,4.0,0.173814898,4.0,4,5.0
College of Lore,87,502,0.100965406,4.0,0.173306773,4.0,4,5.0
Tempest Domain,61,506,0.101769912,5.0,0.12055336,3.0,4,5.0
Path of the Berserker,101,916,0.184231698,5.0,0.110262009,3.0,4,5.0
Path of the Totem Warrior,99,916,0.184231698,5.0,0.108078603,3.0,4,5.0
War Domain,50,506,0.101769912,5.0,0.098814229,3.0,4,5.0
Oath of Vengeance,63,276,0.055510861,2.0,0.22826087,5.0,3.5,5.0
Oath of Devotion,59,276,0.055510861,2.0,0.213768116,5.0,3.5,4.0
Evocation,58,285,0.057320998,3.0,0.203508772,4.0,3.5,4.0
Divine Soul,64,344,0.06918745,3.0,0.186046512,4.0,3.5,4.0
Shadow Sorcerer,59,344,0.06918745,3.0,0.171511628,4.0,3.5,4.0
Fiend,63,392,0.078841512,3.0,0.160714286,4.0,3.5,4.0
Swashbuckler,71,443,0.089098954,3.0,0.16027088,4.0,3.5,4.0
Thief,62,443,0.089098954,4.0,0.139954853,3.0,3.5,4.0
College of Glamour,66,502,0.100965406,4.0,0.131474104,3.0,3.5,4.0
Forge Domain,53,506,0.101769912,4.0,0.104743083,3.0,3.5,4.0
