Subclass,Overall Freq,Norm Class Freq,Norm Class Pop,Class Rating,Norm Subclass Frac,Subclass Rating,Combined Rating,Rating
Assassin,134,273,0.100589536,5.0,0.490842491,5.0,5,5.0
Path of the Berserker,101,200,0.073691968,4.0,0.505,5.0,4.5,5.0
Path of the Totem Warrior,99,200,0.073691968,4.0,0.495,5.0,4.5,5.0
Champion,167,402,0.148120855,5.0,0.415422886,4.0,4.5,5.0
Life Domain,157,407,0.149963154,5.0,0.385749386,4.0,4.5,5.0
Battle Master,144,402,0.148120855,5.0,0.358208955,4.0,4.5,5.0
Hunter,85,201,0.074060427,4.0,0.422885572,4.0,4,5.0
Beast Master,67,201,0.074060427,4.0,0.333333333,4.0,4,5.0
Arcane Trickster,77,273,0.100589536,5.0,0.282051282,3.0,4,4.0
Thief,62,273,0.100589536,5.0,0.227106227,3.0,4,4.0
Eldritch Knight,91,402,0.148120855,5.0,0.226368159,3.0,4,4.0
Circle of the Moon,126,166,0.061164333,2.0,0.759036145,5.0,3.5,4.0
Wild Magic,98,180,0.066322771,2.0,0.544444444,5.0,3.5,4.0
Draconic,82,180,0.066322771,2.0,0.455555556,5.0,3.5,4.0
Great Old One,81,187,0.06890199,3.0,0.43315508,4.0,3.5,4.0
Fiend,63,187,0.06890199,3.0,0.336898396,4.0,3.5,4.0
Oath of Vengeance,63,193,0.071112749,3.0,0.32642487,4.0,3.5,4.0
Evocation,58,249,0.0917465,4.0,0.232931727,3.0,3.5,3.0
Tempest Domain,61,407,0.149963154,5.0,0.14987715,2.0,3.5,3.0
War Domain,50,407,0.149963154,5.0,0.122850123,2.0,3.5,3.0
Light Domain,44,407,0.149963154,5.0,0.108108108,2.0,3.5,3.0
College of Lore,87,122,0.0449521,1.0,0.713114754,5.0,3,3.0
Way of the Open Hand,68,134,0.049373618,1.0,0.507462687,5.0,3,3.0
Oath of Devotion,59,193,0.071112749,3.0,0.305699482,3.0,3,3.0
Oath of the Ancients,52,193,0.071112749,3.0,0.269430052,3.0,3,3.0
Archfey,43,187,0.06890199,3.0,0.229946524,3.0,3,3.0
Divination,43,249,0.0917465,4.0,0.172690763,2.0,3,2.0
Necromancy,38,249,0.0917465,4.0,0.152610442,2.0,3,2.0
Abjuration,27,249,0.0917465,4.0,0.108433735,2.0,3,2.0
Trickery Domain,29,407,0.149963154,5.0,0.071253071,1.0,3,2.0
Knowledge Domain,27,407,0.149963154,5.0,0.066339066,1.0,3,2.0
Death Domain,25,407,0.149963154,5.0,0.061425061,1.0,3,2.0
Nature Domain,14,407,0.149963154,5.0,0.034398034,1.0,3,2.0
Way of Shadow,41,134,0.049373618,1.0,0.305970149,4.0,2.5,2.0
Circle of the Land,40,166,0.061164333,2.0,0.240963855,3.0,2.5,1.0
Oathbreaker,19,193,0.071112749,3.0,0.098445596,2.0,2.5,1.0
Conjuration,23,249,0.0917465,4.0,0.092369478,1.0,2.5,1.0
Illusion,21,249,0.0917465,4.0,0.084337349,1.0,2.5,1.0
Transmutation,20,249,0.0917465,4.0,0.080321285,1.0,2.5,1.0
Enchantment,19,249,0.0917465,4.0,0.076305221,1.0,2.5,1.0
College of Valor,35,122,0.0449521,1.0,0.286885246,3.0,2,1.0
Way of the Four Elements,25,134,0.049373618,1.0,0.186567164,2.0,1.5,1.0
