modzcta,lat,lon,people_tested,people_positive,%_positive,%_at_least_1,%_full_vax
10001,40.750693,-73.997137,1378,53,0.038461538461538464,0.467993854,0.278579891
10002,40.715781,-73.986176,2682,150,0.05592841163310962,0.497942723,0.280914414
10003,40.731825,-73.989164,4509,71,0.015746285207363053,0.469815188,0.280662887
10004,40.703675,-74.01310600000001,119,4,0.03361344537815126,0.690143687,0.381012948
10005,40.706092,-74.008861,321,15,0.04672897196261682,0.452166507,0.214087499
10006,40.709651,-74.013044,141,2,0.014184397163120567,0.498468863,0.248442205
10007,40.713923,-74.00754599999999,370,8,0.021621621621621623,0.650949026,0.364768294
10009,40.72638,-73.97870400000001,2616,106,0.040519877675840976,0.464718289,0.275275081
10010,40.739119,-73.98254399999999,2040,35,0.01715686274509804,0.484198214,0.306246975
10011,40.741707,-74.000062,2540,61,0.024015748031496063,0.545354568,0.333108346
10012,40.725576000000004,-73.998078,1695,42,0.024778761061946902,0.473886482,0.278193439
10013,40.720096000000005,-74.004763,1569,53,0.033779477374123644,0.544457919,0.309745615
10014,40.73402,-74.006314,1481,35,0.02363268062120189,0.523857026,0.312786661
10016,40.745174,-73.978319,2665,63,0.023639774859287054,0.540498875,0.33962779
10017,40.752543,-73.973037,701,23,0.03281027104136947,0.553376788,0.341678154
10018,40.755190999999996,-73.992667,665,20,0.03007518796992481,0.349091205,0.19414022
10019,40.76528,-73.985974,2031,67,0.032988675529295915,0.516652707,0.314901908
10021,40.769474,-73.958771,2163,48,0.022191400832177532,0.593075166,0.43819213
10022,40.758676,-73.968098,1410,21,0.014893617021276596,0.612811541,0.420987575
10023,40.775901,-73.982658,2775,57,0.02054054054054054,0.581003606,0.394156344
10024,40.792085,-73.974871,2772,62,0.022366522366522368,0.59199581,0.412724
10025,40.798651,-73.966585,5104,120,0.023510971786833857,0.535493392,0.358548304
10026,40.802341,-73.95252099999999,1718,44,0.025611175785797437,0.360949653,0.21391023
10027,40.8118,-73.953204,3764,112,0.02975557917109458,0.3613805,0.210301506
10028,40.776432,-73.953509,1972,30,0.015212981744421906,0.554185225,0.391010543
10029,40.791777,-73.943969,2908,190,0.06533700137551582,0.376255895,0.241199092
10030,40.818326,-73.942842,1129,55,0.048715677590788306,0.302393433,0.176435751
10031,40.825278000000004,-73.950037,2027,125,0.061667488899852,0.367742961,0.221643767
10032,40.838768,-73.942824,2326,97,0.04170249355116079,0.403399799,0.279876313
10033,40.850497,-73.934007,1845,81,0.04390243902439024,0.379447539,0.258862853
