id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249839971063795714,1249838637962924033,1586820044000,2020-04-13,16:20:44,PDT,19682503,amulkey5,Atticus Mulkey,,"Quite a spike in cases reported today... the number of hospitalizations are low, but that’s a delayed indicator (not to mention we aren’t performing enough tests). Time to issue a shelter in place order, Gov.",['asahutchinson'],[],[],5,0,12,[],[],https://twitter.com/amulkey5/status/1249839971063795714,False,,0,,,,,,,"[{'user_id': '19682503', 'username': 'amulkey5'}, {'user_id': '269992801', 'username': 'AsaHutchinson'}]",,,,
1249752311641096192,1249751307491184642,1586799145000,2020-04-13,10:32:25,PDT,1041694829996986368,danthepsycho2,Dan The Psycho,,"Thank you, sir. On top if this, I'd like to request that you step up the need for social distancing. I live in Baxter county, where so far our cases are low, but nonetheless, few people are taking this seriously. I would think we would have sense to make sure it doesn't go up.",['asahutchinson'],[],[],5,1,16,[],[],https://twitter.com/danthepsycho2/status/1249752311641096192,False,,0,,,,,,,"[{'user_id': '1041694829996986368', 'username': 'danthepsycho2'}, {'user_id': '269992801', 'username': 'AsaHutchinson'}]",,,,
1249472132050046979,1249450297514168320,1586732345000,2020-04-12,15:59:05,PDT,2798998610,monicalmartin1,monica l martin,,"I would like to thank Gov Asa Hutchinson , you’ve been very hard working and caring since this Coronavirus pandemic has started, again thanks very much from a nurse","['asahutchinson', 'arkansasguard', 'ar_emergencies', 'uamshealth']",[],[],0,0,23,[],[],https://twitter.com/monicalmartin1/status/1249472132050046979,False,,0,,,,,,,"[{'user_id': '2798998610', 'username': 'monicalmartin1'}, {'user_id': '269992801', 'username': 'AsaHutchinson'}, {'user_id': '145650679', 'username': 'arkansasguard'}, {'user_id': '22026474', 'username': 'AR_Emergencies'}, {'user_id': '17288788', 'username': 'uamshealth'}]",,,,
1249469871638937601,1249450297514168320,1586731806000,2020-04-12,15:50:06,PDT,1248895583458295808,joe57134338,Joe,,"Why does my wife have a doctor on demand order for a covid 19 test yet still denied a test? 
Why do I have private insurance willing to cover a test 100% but the hospital refused her a test?
Why does she have every symptom yet still get denied a test? 
Arkansas is failing!!!!","['asahutchinson', 'arkansasguard', 'ar_emergencies', 'uamshealth']",[],[],3,0,14,[],[],https://twitter.com/Joe57134338/status/1249469871638937601,False,,0,,,,,,,"[{'user_id': '1248895583458295808', 'username': 'Joe57134338'}, {'user_id': '269992801', 'username': 'AsaHutchinson'}, {'user_id': '145650679', 'username': 'arkansasguard'}, {'user_id': '22026474', 'username': 'AR_Emergencies'}, {'user_id': '17288788', 'username': 'uamshealth'}]",,,,
1249461551284838402,1249450297514168320,1586729822000,2020-04-12,15:17:02,PDT,860475918325886976,coolbeanscr,Arkansas Gal,,Great! Were there any TESTS on those trucks?,"['asahutchinson', 'arkansasguard', 'ar_emergencies', 'uamshealth']",[],[],0,0,16,[],[],https://twitter.com/coolbeanscr/status/1249461551284838402,False,,0,,,,,,,"[{'user_id': '860475918325886976', 'username': 'coolbeanscr'}, {'user_id': '269992801', 'username': 'AsaHutchinson'}, {'user_id': '145650679', 'username': 'arkansasguard'}, {'user_id': '22026474', 'username': 'AR_Emergencies'}, {'user_id': '17288788', 'username': 'uamshealth'}]",,,,
1249460601081999362,1249450297514168320,1586729595000,2020-04-12,15:13:15,PDT,304503517,shmaleyhaley,Shmaley Haley,,This is great! Now we need more testing.,"['asahutchinson', 'arkansasguard', 'ar_emergencies', 'uamshealth']",[],[],0,0,20,[],[],https://twitter.com/ShmaleyHaley/status/1249460601081999362,False,,0,,,,,,,"[{'user_id': '304503517', 'username': 'ShmaleyHaley'}, {'user_id': '269992801', 'username': 'AsaHutchinson'}, {'user_id': '145650679', 'username': 'arkansasguard'}, {'user_id': '22026474', 'username': 'AR_Emergencies'}, {'user_id': '17288788', 'username': 'uamshealth'}]",,,,
1249455958389952514,1249450297514168320,1586728488000,2020-04-12,14:54:48,PDT,26346554,silvergt,DD,,"But still no stay at home orders.....
.","['asahutchinson', 'arkansasguard', 'ar_emergencies', 'uamshealth']",[],[],0,1,14,[],[],https://twitter.com/Silvergt/status/1249455958389952514,False,,0,,,,,,,"[{'user_id': '26346554', 'username': 'Silvergt'}, {'user_id': '269992801', 'username': 'AsaHutchinson'}, {'user_id': '145650679', 'username': 'arkansasguard'}, {'user_id': '22026474', 'username': 'AR_Emergencies'}, {'user_id': '17288788', 'username': 'uamshealth'}]",,,,
1249335948602728448,1249322320042373121,1586699876000,2020-04-12,06:57:56,PDT,1238764210554916864,katiekeys17,katie Keys,,He may have risen but his people are dying...we have a governor doing very little to protect them!,['asahutchinson'],[],[],2,1,13,[],[],https://twitter.com/katieKeys17/status/1249335948602728448,False,,0,,,,,,,"[{'user_id': '1238764210554916864', 'username': 'katieKeys17'}, {'user_id': '269992801', 'username': 'AsaHutchinson'}]",,,,
1249333208619122688,1249322320042373121,1586699223000,2020-04-12,06:47:03,PDT,860475918325886976,coolbeanscr,Arkansas Gal,, pic.twitter.com/5L9QP2n353,['asahutchinson'],[],['https://pbs.twimg.com/media/EVaF0xaXsAE1Kty.jpg'],1,1,21,[],[],https://twitter.com/coolbeanscr/status/1249333208619122688,False,,0,,,,,,,"[{'user_id': '860475918325886976', 'username': 'coolbeanscr'}, {'user_id': '269992801', 'username': 'AsaHutchinson'}]",,,,
1248956191084023810,1248751995370029060,1586609335000,2020-04-11,05:48:55,PDT,2242549574,benge1chris,Chris Benge,,Of course we have low numbers! When you turn away more people than you test it’s gonna be that way.,['asahutchinson'],[],[],0,1,15,[],[],https://twitter.com/Benge1Chris/status/1248956191084023810,False,,0,,,,,,,"[{'user_id': '2242549574', 'username': 'Benge1Chris'}, {'user_id': '269992801', 'username': 'AsaHutchinson'}]",,,,
