id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249818086141833222,1249816240425762816,1586814826000,2020-04-13,14:53:46,PDT,1076293903723233280,govnedlamont,Governor Ned Lamont,,"For more info on the Reopen Connecticut Advisory Group, check out this link: https://portal.ct.gov/Office-of-the-Governor/News/Press-Releases/2020/04-2020/Governor-Lamont-Announces-Creation-of-Group-of-Health-and-Business-Experts …",[],['https://portal.ct.gov/Office-of-the-Governor/News/Press-Releases/2020/04-2020/Governor-Lamont-Announces-Creation-of-Group-of-Health-and-Business-Experts'],[],14,10,46,[],[],https://twitter.com/GovNedLamont/status/1249818086141833222,False,,0,,,,,,,"[{'user_id': '1076293903723233280', 'username': 'GovNedLamont'}]",,,,
1249816243399524352,1249816240425762816,1586814387000,2020-04-13,14:46:27,PDT,1076293903723233280,govnedlamont,Governor Ned Lamont,,"To make the reopening of our economy work in the best way possible, we must strike a balance between public health and the economy. We need to make sure Connecticut has a thoughtful approach to getting our state moving after this unprecedented, public health emergency.

(4/4)",[],[],[],5,10,83,[],[],https://twitter.com/GovNedLamont/status/1249816243399524352,False,,0,,,,,,,"[{'user_id': '1076293903723233280', 'username': 'GovNedLamont'}]",,,,
1249816242522935296,1249816240425762816,1586814387000,2020-04-13,14:46:27,PDT,1076293903723233280,govnedlamont,Governor Ned Lamont,,"That panel will be known as the Reopen Connecticut Advisory Group.

Its co-chairs will include @IndraNooyi (former president and CEO of @PepsiCo) and Albert Ko (professor of Epidemiology and Medicine and a department chair at @YaleSPH @YaleEMD)

(3/4)","['indranooyi', 'pepsico', 'yalesph', 'yaleemd']",[],[],3,10,60,[],[],https://twitter.com/GovNedLamont/status/1249816242522935296,False,,0,,,,,,,"[{'user_id': '1076293903723233280', 'username': 'GovNedLamont'}, {'user_id': '2652536876', 'username': 'IndraNooyi'}, {'user_id': '21346619', 'username': 'PepsiCo'}, {'user_id': '86964484', 'username': 'YaleSPH'}, {'user_id': '1082660995393380355', 'username': 'YaleEMD'}]",,,,
1249816241512087553,1249816240425762816,1586814387000,2020-04-13,14:46:27,PDT,1076293903723233280,govnedlamont,Governor Ned Lamont,,".@Advance_CT plans to form a panel of experts from within Connecticut's medical and business community that will examine issues concerning how best to allow commerce to begin, while also ensuring the state's public health and well-being are protected.

(2/4)",['advance_ct'],[],[],2,5,43,[],[],https://twitter.com/GovNedLamont/status/1249816241512087553,False,,0,,,,,,,"[{'user_id': '1076293903723233280', 'username': 'GovNedLamont'}, {'user_id': '171943064', 'username': 'Advance_CT'}]",,,,
1249784587749908480,1249783921098833922,1586806840000,2020-04-13,12:40:40,PDT,108704295,lucho1969,Lucho,,"TRI STATE AREA , ALWAYS TOGETHER👍👍",['govnedlamont'],[],[],0,0,18,[],[],https://twitter.com/LUCHO1969/status/1249784587749908480,False,,0,,,,,,,"[{'user_id': '108704295', 'username': 'LUCHO1969'}, {'user_id': '1076293903723233280', 'username': 'GovNedLamont'}]",,,,
1249746651587260416,1249717666975285251,1586797795000,2020-04-13,10:09:55,PDT,1029844349230743552,clifffiscalct,Cliff Fiscal,,"That's right. We couldn't afford our grotesquely underfunded corrupt public pension system before the pandemic, we certainly can't afford it now. 

Are you going to use federal bailout dollars to send 6 figure checks to millionaires living in Naples?","['govnedlamont', 'natlgovsassoc', 'govlarryhogan', 'nygovcuomo']",[],[],0,3,14,[],[],https://twitter.com/CliffFiscalCT/status/1249746651587260416,False,,0,,,,,,,"[{'user_id': '1029844349230743552', 'username': 'CliffFiscalCT'}, {'user_id': '1076293903723233280', 'username': 'GovNedLamont'}, {'user_id': '393615360', 'username': 'NatlGovsAssoc'}, {'user_id': '2987671552', 'username': 'GovLarryHogan'}, {'user_id': '232268199', 'username': 'NYGovCuomo'}]",,,,
1249732067463778305,1249717666975285251,1586794318000,2020-04-13,09:11:58,PDT,789452401510117378,lucylucyfiore,Lucy Fiore,,CT hasn't been financially stable in years.,"['govnedlamont', 'natlgovsassoc', 'govlarryhogan', 'nygovcuomo']",[],[],2,1,16,[],[],https://twitter.com/lucyLucyfiore/status/1249732067463778305,False,,0,,,,,,,"[{'user_id': '789452401510117378', 'username': 'lucyLucyfiore'}, {'user_id': '1076293903723233280', 'username': 'GovNedLamont'}, {'user_id': '393615360', 'username': 'NatlGovsAssoc'}, {'user_id': '2987671552', 'username': 'GovLarryHogan'}, {'user_id': '232268199', 'username': 'NYGovCuomo'}]",,,,
1249730826742497287,1249717666975285251,1586794022000,2020-04-13,09:07:02,PDT,980993739069050880,fiscalfreedomct,Fiscal Freedom for CT,,And here is the reason the May 20th (or longer date) is in place - mo money mo money mo money. Doesn't matter that this was the problem way before coronavirus. Just Shut down everything and then cry to the federal govt for more more $  - high class prostitution at its finest.,"['govnedlamont', 'natlgovsassoc', 'govlarryhogan', 'nygovcuomo']",[],[],2,8,25,[],[],https://twitter.com/fiscalfreedomct/status/1249730826742497287,False,,0,,,,,,,"[{'user_id': '980993739069050880', 'username': 'fiscalfreedomct'}, {'user_id': '1076293903723233280', 'username': 'GovNedLamont'}, {'user_id': '393615360', 'username': 'NatlGovsAssoc'}, {'user_id': '2987671552', 'username': 'GovLarryHogan'}, {'user_id': '232268199', 'username': 'NYGovCuomo'}]",,,,
1249721272495484934,1249717666975285251,1586791744000,2020-04-13,08:29:04,PDT,1249099933040312320,jakethejrt2015,Army of One,,"After 20 years of running the state into the ground, now they are going to blame the coronavirus for their financial problems? Was this the plan all along? Is this why everyone who has died is labeled a victim of coronavirus? To collect more federal funds?","['govnedlamont', 'natlgovsassoc', 'govlarryhogan', 'nygovcuomo']",[],[],1,4,13,[],[],https://twitter.com/JAKEtheJRT2015/status/1249721272495484934,False,,0,,,,,,,"[{'user_id': '1249099933040312320', 'username': 'JAKEtheJRT2015'}, {'user_id': '1076293903723233280', 'username': 'GovNedLamont'}, {'user_id': '393615360', 'username': 'NatlGovsAssoc'}, {'user_id': '2987671552', 'username': 'GovLarryHogan'}, {'user_id': '232268199', 'username': 'NYGovCuomo'}]",,,,
1249720235277647878,1249717666975285251,1586791497000,2020-04-13,08:24:57,PDT,1134403136,mrssvenningsen,Amanda,,But you have money from the government and want to use it for transportation expenses and IT upgrades. You don’t want to give it to municipalities. So it’s on you,"['govnedlamont', 'natlgovsassoc', 'govlarryhogan', 'nygovcuomo']",[],[],2,2,14,[],[],https://twitter.com/mrssvenningsen/status/1249720235277647878,False,,0,,,,,,,"[{'user_id': '1134403136', 'username': 'mrssvenningsen'}, {'user_id': '1076293903723233280', 'username': 'GovNedLamont'}, {'user_id': '393615360', 'username': 'NatlGovsAssoc'}, {'user_id': '2987671552', 'username': 'GovLarryHogan'}, {'user_id': '232268199', 'username': 'NYGovCuomo'}]",,,,
