id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249732836086689798,1249726572115959811,1586794501000,2020-04-13,09:15:01,PDT,29536454,revryanlawson,Ryan Lawson,,There will be no surge. Time to #EndTheShutdownNow and reopen GA.,['briankempga'],[],[],1,2,17,['#endtheshutdownnow'],[],https://twitter.com/revryanlawson/status/1249732836086689798,False,,0,,,,,,,"[{'user_id': '29536454', 'username': 'revryanlawson'}, {'user_id': '47437206', 'username': 'BrianKempGA'}]",,,,
1248652372932427778,1248632014959452161,1586536899000,2020-04-10,09:41:39,PDT,633407164,shellielcarr,Shellie,,"Just out of curiosity, did Jesus advise you not to do anything to prevent the Coronavirus in Georgia?",['briankempga'],[],[],1,0,13,[],[],https://twitter.com/ShellieLcarr/status/1248652372932427778,False,,0,,,,,,,"[{'user_id': '633407164', 'username': 'ShellieLcarr'}, {'user_id': '47437206', 'username': 'BrianKempGA'}]",,,,
1248640809198551042,1248632014959452161,1586534142000,2020-04-10,08:55:42,PDT,878252249771888641,sqofga06,Suburban Mom of GA06,,Jesus would be ashamed of how you're handling this pandemic.,['briankempga'],[],[],2,0,12,[],[],https://twitter.com/SQofGA06/status/1248640809198551042,False,,0,,,,,,,"[{'user_id': '878252249771888641', 'username': 'SQofGA06'}, {'user_id': '47437206', 'username': 'BrianKempGA'}]",,,,
1247190620344647680,1247149589892943874,1586188390000,2020-04-06,08:53:10,PDT,22552065,pwally,Pat Wallenborn,,@BrianKempGA Who are your donors who wanted their beaches opened?   Your citizens want to know.,['briankempga'],[],[],0,3,28,[],[],https://twitter.com/pwally/status/1247190620344647680,False,,0,,,,,,,"[{'user_id': '22552065', 'username': 'pwally'}, {'user_id': '47437206', 'username': 'BrianKempGA'}]",,,,
1246453477171064832,1246453477171064832,1586012641000,2020-04-04,08:04:01,PDT,175042044,dhershiser,Ducks Can Resist Too 🌊🍑🐱🦆🏳️‍🌈💙#EqualityAct,,@BrianKempGA just found out that #COVID19 can be spread by people without symptoms? Where has he been? We knew this information in February & I know Trump & his administration probably knew it in early January 🙄 pic.twitter.com/rorhSra39v,['briankempga'],[],[],4,45,83,['#covid19'],[],https://twitter.com/dhershiser/status/1246453477171064832,False,,1,,,,,,,"[{'user_id': '175042044', 'username': 'dhershiser'}, {'user_id': '47437206', 'username': 'BrianKempGA'}]",,,,
1245926252847874048,1245824477012819969,1585886941000,2020-04-02,21:09:01,PDT,61734012,sbchase,Jeanne Chase,,"""I only found out that I'm governor yesterday!""",['briankempga'],[],[],1,2,38,[],[],https://twitter.com/SBChase/status/1245926252847874048,False,,0,,,,,,,"[{'user_id': '61734012', 'username': 'SBChase'}, {'user_id': '47437206', 'username': 'BrianKempGA'}]",,,,
1245889971703160837,1245824477012819969,1585878291000,2020-04-02,18:44:51,PDT,1049461977985310721,kristy18352817,Kristy,,You made the national news today. And not in a good way.,['briankempga'],[],[],0,0,57,[],[],https://twitter.com/Kristy18352817/status/1245889971703160837,False,,0,,,,,,,"[{'user_id': '1049461977985310721', 'username': 'Kristy18352817'}, {'user_id': '47437206', 'username': 'BrianKempGA'}]",,,,
1245888302965755904,1245824477012819969,1585877893000,2020-04-02,18:38:13,PDT,470783562,brooksesquire,Brooks T. Thompson,,"Yes, all of us readers are in it together.  You, however, are living on another planet if you truly just learned #COVIDー19 could be spread by asymptomatic people.",['briankempga'],[],[],0,0,30,['#covidー19'],[],https://twitter.com/BrooksEsquire/status/1245888302965755904,False,,0,,,,,,,"[{'user_id': '470783562', 'username': 'BrooksEsquire'}, {'user_id': '47437206', 'username': 'BrianKempGA'}]",,,,
1245871254604623872,1245824477012819969,1585873828000,2020-04-02,17:30:28,PDT,593631796,guidov999,Guido,,MUST-WATCH https://www.cnn.com/videos/politics/2020/04/02/governor-brian-kemp-georgia-coronavirus-sanjay-gupta-anderson-cooper-nr-vpx.cnn …,['briankempga'],['https://www.cnn.com/videos/politics/2020/04/02/governor-brian-kemp-georgia-coronavirus-sanjay-gupta-anderson-cooper-nr-vpx.cnn'],[],1,0,43,[],[],https://twitter.com/Guidov999/status/1245871254604623872,False,,0,,,,,,,"[{'user_id': '593631796', 'username': 'Guidov999'}, {'user_id': '47437206', 'username': 'BrianKempGA'}]",,,,
1245871127840210950,1245824477012819969,1585873798000,2020-04-02,17:29:58,PDT,364247559,jimmybrazil1,Jimmy Brazil,,Resign.,['briankempga'],[],[],1,2,78,[],[],https://twitter.com/JimmyBrazil1/status/1245871127840210950,False,,0,,,,,,,"[{'user_id': '364247559', 'username': 'JimmyBrazil1'}, {'user_id': '47437206', 'username': 'BrianKempGA'}]",,,,
