id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249797753737224193,1249784017613991939,1586809979000,2020-04-13,13:32:59,PDT,21957532,michaelvoshell,M҉i҉c҉h҉a҉e҉l҉V҉o҉s҉h҉e҉l҉l҉,,#KillerKim prayers aren’t needed when it comes to science and reality during a pandemic—you have allowed this virus to spread and you continue to fail at any sign of common sense decision making. The people deserve better and you’ve shown us your interests are not of the people.,['iagovernor'],[],[],8,2,16,['#killerkim'],[],https://twitter.com/MichaelVoshell/status/1249797753737224193,False,,0,,,,,,,"[{'user_id': '21957532', 'username': 'MichaelVoshell'}, {'user_id': '851808935397011456', 'username': 'IAGovernor'}]",,,,
1249423918227697670,1249421689479405568,1586720849000,2020-04-12,12:47:29,PDT,732413134238040064,post_truth_era,Edward G Robinson,,"Iowa citizen questions:

Why does Iowa rank 39th out of 50 states plus D.C. in #COVID19 testing rate?

Why does Minnesota have fewer known covid cases than Iowa, despite having nearly double our population and a higher testing rate?",['iagovernor'],[],[],4,7,26,['#covid19'],[],https://twitter.com/Post_Truth_Era/status/1249423918227697670,False,,0,,,,,,,"[{'user_id': '732413134238040064', 'username': 'Post_Truth_Era'}, {'user_id': '851808935397011456', 'username': 'IAGovernor'}]",,,,
1249016610456813568,1249007539687170049,1586623740000,2020-04-11,09:49:00,PDT,1167101647887245312,johnsmi71223455,John Smith,,"Cases keep going up, deaths keep going up yet we continue to hear the lie ""the curve is flattening."" Not it's not. Minny has done far more tests and has more people yet we have more cases. And Cuomo doesn't take the weekends off so why is the IA Governor? This is a 24/7 job now",['iagovernor'],[],[],5,0,25,[],[],https://twitter.com/JohnSmi71223455/status/1249016610456813568,False,,0,,,,,,,"[{'user_id': '1167101647887245312', 'username': 'JohnSmi71223455'}, {'user_id': '851808935397011456', 'username': 'IAGovernor'}]",,,,
1249004351068295169,1248974891736535046,1586620817000,2020-04-11,09:00:17,PDT,1227441108663312384,dimesontime4u,Vinny LaFontaine,,When Menards is packed to the brim every day the curve will not flatten!,['iagovernor'],[],[],1,0,14,[],[],https://twitter.com/dimesontime4u/status/1249004351068295169,False,,0,,,,,,,"[{'user_id': '1227441108663312384', 'username': 'dimesontime4u'}, {'user_id': '851808935397011456', 'username': 'IAGovernor'}]",,,,
1248332017042849793,1248323887538061314,1586460520000,2020-04-09,12:28:40,PDT,872199693647974402,agolchinmd,"Ava Golchin, MD",,"#StayHome
Choose life, mandate stay-at-home.

Iowa Doctors Petition Governor Kim Reynolds to Impose Shelter-In-Place Order

@IAPublicHealth @KimReynoldsIA https://www.change.org/p/kim-reynolds-iowa-doctors-petition-governor-kim-reynolds-to-impose-shelter-in-place-order …","['iagovernor', 'iapublichealth', 'kimreynoldsia']",['https://www.change.org/p/kim-reynolds-iowa-doctors-petition-governor-kim-reynolds-to-impose-shelter-in-place-order'],[],6,6,19,['#stayhome'],[],https://twitter.com/AGolchinMD/status/1248332017042849793,False,,0,,,,,,,"[{'user_id': '872199693647974402', 'username': 'AGolchinMD'}, {'user_id': '851808935397011456', 'username': 'IAGovernor'}, {'user_id': '36790269', 'username': 'IAPublicHealth'}, {'user_id': '31591773', 'username': 'KimReynoldsIA'}]",,,,
1248061844721487873,1248013903235149824,1586396106000,2020-04-08,18:35:06,PDT,911240640,jfiorillomcgrat,mom of 4,,I declare tomorrow is the day you order Shelter in Place,['iagovernor'],[],[],1,0,30,[],[],https://twitter.com/jfiorillomcgrat/status/1248061844721487873,False,,0,,,,,,,"[{'user_id': '911240640', 'username': 'jfiorillomcgrat'}, {'user_id': '851808935397011456', 'username': 'IAGovernor'}]",,,,
1248051906066305025,1248013903235149824,1586393736000,2020-04-08,17:55:36,PDT,60740694,soozlemcdoozle,"I'm Suzi Stay Home, y'all!",,"Iowa's death totals doubled in 4 days. We need a governor who will lead and help ALL the people, not just help her rich donors and then only offer platitudes and  prayers for everyone else. We need your action.",['iagovernor'],[],[],3,8,45,[],[],https://twitter.com/SoozleMcDoozle/status/1248051906066305025,False,,0,,,,,,,"[{'user_id': '60740694', 'username': 'SoozleMcDoozle'}, {'user_id': '851808935397011456', 'username': 'IAGovernor'}]",,,,
1248047775247486977,1248013903235149824,1586392751000,2020-04-08,17:39:11,PDT,271932229,raybake,Raymond Baker,, pic.twitter.com/9KXbwIBx8n,['iagovernor'],[],['https://pbs.twimg.com/media/EVH0subWsAAZKkG.png'],3,5,50,[],[],https://twitter.com/RayBake/status/1248047775247486977,False,,0,,,,,,,"[{'user_id': '271932229', 'username': 'RayBake'}, {'user_id': '851808935397011456', 'username': 'IAGovernor'}]",,,,
1248045484469637128,1248013903235149824,1586392205000,2020-04-08,17:30:05,PDT,1176622738108297217,ingridsotherdad,IOD,,Resign,['iagovernor'],[],[],0,3,17,[],[],https://twitter.com/ingridsotherdad/status/1248045484469637128,False,,0,,,,,,,"[{'user_id': '1176622738108297217', 'username': 'ingridsotherdad'}, {'user_id': '851808935397011456', 'username': 'IAGovernor'}]",,,,
1248038993121497090,1248013903235149824,1586390658000,2020-04-08,17:04:18,PDT,271932229,raybake,Raymond Baker,,"Separation of church and state, Governor.  Surely, you've heard of it?",['iagovernor'],[],[],8,4,44,[],[],https://twitter.com/RayBake/status/1248038993121497090,False,,0,,,,,,,"[{'user_id': '271932229', 'username': 'RayBake'}, {'user_id': '851808935397011456', 'username': 'IAGovernor'}]",,,,
1248037480957435907,1248013903235149824,1586390297000,2020-04-08,16:58:17,PDT,28262640,alarson24,Aaron Larson,,Pray the virus away! Or you can issue a shelter at home order!,['iagovernor'],[],[],2,1,24,[],[],https://twitter.com/alarson24/status/1248037480957435907,False,,0,,,,,,,"[{'user_id': '28262640', 'username': 'alarson24'}, {'user_id': '851808935397011456', 'username': 'IAGovernor'}]",,,,
1248028054452133889,1248013903235149824,1586388050000,2020-04-08,16:20:50,PDT,1031332700324540417,sji2783,SJI2783🐝,, pic.twitter.com/3CVserA4q0,['iagovernor'],[],['https://pbs.twimg.com/media/EVHi4u-UUAAdI5J.jpg'],2,7,31,[],[],https://twitter.com/SJI2783/status/1248028054452133889,False,,0,,,,,,,"[{'user_id': '1031332700324540417', 'username': 'SJI2783'}, {'user_id': '851808935397011456', 'username': 'IAGovernor'}]",,,,
1248027028231725057,1248013903235149824,1586387805000,2020-04-08,16:16:45,PDT,298218792,sorenmpeterson,Søren Peterson,,No thanks. How about more testing instead?,['iagovernor'],[],[],1,4,49,[],[],https://twitter.com/SorenMPeterson/status/1248027028231725057,False,,0,,,,,,,"[{'user_id': '298218792', 'username': 'SorenMPeterson'}, {'user_id': '851808935397011456', 'username': 'IAGovernor'}]",,,,
1248026514358243330,1248013903235149824,1586387682000,2020-04-08,16:14:42,PDT,2617662636,paulmcmorris411,Paul McMorris,,"What if you practice Hindu, Islam, or Buddhism? Surely, you realize there are people practicing other religions besides Christianity and Judaism.",['iagovernor'],[],[],17,6,61,[],[],https://twitter.com/paulmcmorris411/status/1248026514358243330,False,,0,,,,,,,"[{'user_id': '2617662636', 'username': 'paulmcmorris411'}, {'user_id': '851808935397011456', 'username': 'IAGovernor'}]",,,,
1248021906038669312,1248013903235149824,1586386584000,2020-04-08,15:56:24,PDT,1238867001340289024,nejdes,Wolf Dork 🧢🇺🇸,,Oh get fucked. pic.twitter.com/13Q5NoX5TQ,['iagovernor'],[],[],2,1,24,[],[],https://twitter.com/NejdeS/status/1248021906038669312,False,,1,,,,,,,"[{'user_id': '1238867001340289024', 'username': 'NejdeS'}, {'user_id': '851808935397011456', 'username': 'IAGovernor'}]",,,,
1248016748709728256,1248013903235149824,1586385354000,2020-04-08,15:35:54,PDT,295384099,thunderbirdeye9,👋🏻Hello🦋Clarice👊🏻,,Encourage all Iowans to use science and stop spreading this virus,['iagovernor'],[],[],3,5,60,[],[],https://twitter.com/ThunderBirdEye9/status/1248016748709728256,False,,0,,,,,,,"[{'user_id': '295384099', 'username': 'ThunderBirdEye9'}, {'user_id': '851808935397011456', 'username': 'IAGovernor'}]",,,,
1248016418106302467,1248013903235149824,1586385275000,2020-04-08,15:34:35,PDT,1047448893229817856,hollycade,Hollybolly,, pic.twitter.com/3Rlf06MAr6,['iagovernor'],[],[],2,2,66,[],[],https://twitter.com/hollycade/status/1248016418106302467,False,,1,,,,,,,"[{'user_id': '1047448893229817856', 'username': 'hollycade'}, {'user_id': '851808935397011456', 'username': 'IAGovernor'}]",,,,
1247660369205702657,1247660369205702657,1586300387000,2020-04-07,15:59:47,PDT,758403501470822400,shareitarie10,N B Beamer 🆘 #TrumpIsIncompetent,,@IAGovernor gets some blame for this. She should’ve issued a stay at home order & implemented more widespread testing. Fiddling while the virus spread. https://twitter.com/gelles/status/1247508270874492928 …,['iagovernor'],['https://twitter.com/gelles/status/1247508270874492928'],[],0,16,19,[],[],https://twitter.com/shareitarie10/status/1247660369205702657,False,https://twitter.com/gelles/status/1247508270874492928,0,,,,,,,"[{'user_id': '758403501470822400', 'username': 'shareitarie10'}, {'user_id': '851808935397011456', 'username': 'IAGovernor'}]",,,,
