id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249810837692452866,1249803841211715585,1586813098000,2020-04-13,14:24:58,PDT,35414007,krisoverton,Kris777,,Time to reopen just like the great state of Texas!!! We don’t need new beds at the fairgrounds when they are Sending nurses home in Louisville.,['govandybeshear'],[],[],0,0,14,[],[],https://twitter.com/KrisOverton/status/1249810837692452866,False,,0,,,,,,,"[{'user_id': '35414007', 'username': 'KrisOverton'}, {'user_id': '1192549822865297409', 'username': 'GovAndyBeshear'}]",,,,
1249800186542600195,1249795728114946053,1586810559000,2020-04-13,13:42:39,PDT,790253479751221248,stubbypower,Steven W,,"Thanks Andy, lots of the regulations are tough but we realize they are temporary. Most of us in the real world are capable of handling it like adults. Some in this comment section... not so much. I’m glad you’ve taken decisive action.",['govandybeshear'],[],[],3,0,13,[],[],https://twitter.com/stubbypower/status/1249800186542600195,False,,0,,,,,,,"[{'user_id': '790253479751221248', 'username': 'stubbypower'}, {'user_id': '1192549822865297409', 'username': 'GovAndyBeshear'}]",,,,
1249691033694359552,1249683390560964610,1586784535000,2020-04-13,06:28:55,PDT,298856714,dhjaskajr,David Jaska Jr,,"Governor your frozen in fear and waiting for no more deaths from this virus is not a plan. We all understand that this virus is not going away, will be here for a very long time, so 
WHAT IS YOUR PLAN TO GET US OUT OF OUR HOMES.",['govandybeshear'],[],[],1,0,11,[],[],https://twitter.com/dhjaskajr/status/1249691033694359552,False,,0,,,,,,,"[{'user_id': '298856714', 'username': 'dhjaskajr'}, {'user_id': '1192549822865297409', 'username': 'GovAndyBeshear'}]",,,,
1249689582708416512,1249683390560964610,1586784189000,2020-04-13,06:23:09,PDT,1213448168337051648,jamesbianchi13,James Bianchi,, pic.twitter.com/5phz1vvcH1,['govandybeshear'],[],['https://pbs.twimg.com/media/EVfKDTmWkAIgch7.jpg'],7,10,19,[],[],https://twitter.com/JamesBianchi13/status/1249689582708416512,False,,0,,,,,,,"[{'user_id': '1213448168337051648', 'username': 'JamesBianchi13'}, {'user_id': '1192549822865297409', 'username': 'GovAndyBeshear'}]",,,,
1249687455240015878,1249683390560964610,1586783682000,2020-04-13,06:14:42,PDT,1217982678752022529,270teacher,Dr. Emberton #GoTeachKy Ambassador,,"Thank you for posting this. I’ve witnessed others sharing when the family didn’t ask them to share. Something needed to be said. 

You’re doin’ great 👍",['govandybeshear'],[],[],1,0,16,[],[],https://twitter.com/270teacher/status/1249687455240015878,False,,0,,,,,,,"[{'user_id': '1217982678752022529', 'username': '270teacher'}, {'user_id': '1192549822865297409', 'username': 'GovAndyBeshear'}]",,,,
1249686639863042049,1249683390560964610,1586783487000,2020-04-13,06:11:27,PDT,250648727,w_jamie,Jamie Ruehl,,"Hope. You should be leading with Hope. 

Talk about the 99% infected that recover from this virus!!!!!",['govandybeshear'],[],[],3,1,13,[],[],https://twitter.com/W_Jamie/status/1249686639863042049,False,,0,,,,,,,"[{'user_id': '250648727', 'username': 'W_Jamie'}, {'user_id': '1192549822865297409', 'username': 'GovAndyBeshear'}]",,,,
1249685255080095750,1249683390560964610,1586783157000,2020-04-13,06:05:57,PDT,2594936204,jrthorn73,Russ,,What’s your plan to open up the state?  “Stay at Home” has run its course.  That can’t be the plan till the end.,['govandybeshear'],[],[],3,1,17,[],[],https://twitter.com/JRThorn73/status/1249685255080095750,False,,0,,,,,,,"[{'user_id': '2594936204', 'username': 'JRThorn73'}, {'user_id': '1192549822865297409', 'username': 'GovAndyBeshear'}]",,,,
1249684840825454595,1249683390560964610,1586783058000,2020-04-13,06:04:18,PDT,1220341453035053056,fweezal,Fweezal,,"I don't trust your stats.  Are they including people that die of something other than COVID and then tested positive?  Just too many ways to pump up the numbers, Andy.",['govandybeshear'],[],[],3,2,15,[],[],https://twitter.com/fweezal/status/1249684840825454595,False,,0,,,,,,,"[{'user_id': '1220341453035053056', 'username': 'fweezal'}, {'user_id': '1192549822865297409', 'username': 'GovAndyBeshear'}]",,,,
1249683886931615745,1249683390560964610,1586782831000,2020-04-13,06:00:31,PDT,199073890,augustine8,Augustine,,I’d like to report a drive in type gathering. Probably fairly easy to get the license plates since they belong to the state of Kentucky. pic.twitter.com/ef7IGYpHt8,['govandybeshear'],[],['https://pbs.twimg.com/media/EVfE3t3WoAInghT.jpg'],6,6,22,[],[],https://twitter.com/Augustine8/status/1249683886931615745,False,,0,,,,,,,"[{'user_id': '199073890', 'username': 'Augustine8'}, {'user_id': '1192549822865297409', 'username': 'GovAndyBeshear'}]",,,,
1249683868355043328,1249683390560964610,1586782826000,2020-04-13,06:00:26,PDT,1418007930,fletchinky,Troy Fletcher 🐻,,"What about those who lose their job because of your executive order, and aren't being processed for unemployment due to your failure to plan?

Are they just numbers?

People are getting desperate. You need to change things.",['govandybeshear'],[],[],5,1,30,[],[],https://twitter.com/FletchINKy/status/1249683868355043328,False,,0,,,,,,,"[{'user_id': '1418007930', 'username': 'FletchINKy'}, {'user_id': '1192549822865297409', 'username': 'GovAndyBeshear'}]",,,,
1249514999522918400,1249483207030038536,1586742565000,2020-04-12,18:49:25,PDT,1418007930,fletchinky,Troy Fletcher 🐻,,"Does a positive test come with a free armed guard to make sure we stay home? Maybe an ankle monitor, like a criminal?",['govandybeshear'],[],[],1,2,11,[],[],https://twitter.com/FletchINKy/status/1249514999522918400,False,,0,,,,,,,"[{'user_id': '1418007930', 'username': 'FletchINKy'}, {'user_id': '1192549822865297409', 'username': 'GovAndyBeshear'}]",,,,
