id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249844453386444801,1249817477812494336,1586821113000,2020-04-13,16:38:33,PDT,321483610,mariadennismix,Maria Dennis,,So so PROUD to call you our leader in Maryland !!!!,"['govlarryhogan', 'andersoncooper', 'cnnnewsroom']",[],[],1,0,14,[],[],https://twitter.com/MariaDennisMix/status/1249844453386444801,False,,0,,,,,,,"[{'user_id': '321483610', 'username': 'MariaDennisMix'}, {'user_id': '2987671552', 'username': 'GovLarryHogan'}, {'user_id': '15224867', 'username': 'andersoncooper'}, {'user_id': '9567972', 'username': 'CNNnewsroom'}]",,,,
1249833769911177216,1249827428832284672,1586818566000,2020-04-13,15:56:06,PDT,1180686604979056643,trapwayans,En Sabah Nur,,English. We speak English in Maryland,['govlarryhogan'],[],[],5,1,16,[],[],https://twitter.com/TrapWayans/status/1249833769911177216,False,,0,,,,,,,"[{'user_id': '1180686604979056643', 'username': 'TrapWayans'}, {'user_id': '2987671552', 'username': 'GovLarryHogan'}]",,,,
1249829183385145344,1249827428832284672,1586817472000,2020-04-13,15:37:52,PDT,374728917,mrdeplorable,steveP,,"English Larry. If they want to live here, learn the common language",['govlarryhogan'],[],[],6,2,19,[],[],https://twitter.com/mrdeplorable/status/1249829183385145344,False,,0,,,,,,,"[{'user_id': '374728917', 'username': 'mrdeplorable'}, {'user_id': '2987671552', 'username': 'GovLarryHogan'}]",,,,
1249828321317326851,1249817477812494336,1586817267000,2020-04-13,15:34:27,PDT,16382939,llf0701,Lisa  Fuller,,Please make decisions based on facts for OUR state and not what the WH says. Thank you.,"['govlarryhogan', 'andersoncooper', 'cnnnewsroom']",[],[],1,0,33,[],[],https://twitter.com/llf0701/status/1249828321317326851,False,,0,,,,,,,"[{'user_id': '16382939', 'username': 'llf0701'}, {'user_id': '2987671552', 'username': 'GovLarryHogan'}, {'user_id': '15224867', 'username': 'andersoncooper'}, {'user_id': '9567972', 'username': 'CNNnewsroom'}]",,,,
1249826991261523970,1249817477812494336,1586816950000,2020-04-13,15:29:10,PDT,825542715488219136,patrick87816735,Patrick Donahue,,"Gov Hogan - thank you for true leadership, transparency, honesty and for not being a Trump psychophant like so many of you peer Republican governors. You are saving lives - they are costing lives while extending the economic pain.","['govlarryhogan', 'andersoncooper', 'cnnnewsroom']",[],[],3,0,26,[],[],https://twitter.com/Patrick87816735/status/1249826991261523970,False,,0,,,,,,,"[{'user_id': '825542715488219136', 'username': 'Patrick87816735'}, {'user_id': '2987671552', 'username': 'GovLarryHogan'}, {'user_id': '15224867', 'username': 'andersoncooper'}, {'user_id': '9567972', 'username': 'CNNnewsroom'}]",,,,
1249824837540945923,1249817477812494336,1586816436000,2020-04-13,15:20:36,PDT,31955016,1fishndude,Steve Rabil,,"Please stop spending so much time on talk shows telling us what you’ve done or are doing and create a task force that meets daily and based on facts, when Maryland can reasonably expect to open. You need to give us hope. Right now it seems indefinite.","['govlarryhogan', 'andersoncooper', 'cnnnewsroom']",[],[],13,3,45,[],[],https://twitter.com/1fishndude/status/1249824837540945923,False,,0,,,,,,,"[{'user_id': '31955016', 'username': '1fishndude'}, {'user_id': '2987671552', 'username': 'GovLarryHogan'}, {'user_id': '15224867', 'username': 'andersoncooper'}, {'user_id': '9567972', 'username': 'CNNnewsroom'}]",,,,
1249820905016082434,1249817477812494336,1586815498000,2020-04-13,15:04:58,PDT,344673036,dontmesswmurphy,Arnold Ziffel 🐷,,"Thank you Gov. Hogan, I'm proud to have voted for you.  

As a lifelong Republican who voted for Reagan in way back in '80, you're likely the last Republican I'll ever have voted for.  The party has been corrupted.","['govlarryhogan', 'andersoncooper', 'cnnnewsroom']",[],[],2,0,28,[],[],https://twitter.com/DontMessWMurphy/status/1249820905016082434,False,,0,,,,,,,"[{'user_id': '344673036', 'username': 'DontMessWMurphy'}, {'user_id': '2987671552', 'username': 'GovLarryHogan'}, {'user_id': '15224867', 'username': 'andersoncooper'}, {'user_id': '9567972', 'username': 'CNNnewsroom'}]",,,,
1249820462961643521,1249817477812494336,1586815393000,2020-04-13,15:03:13,PDT,734739684,darealstonegato,Rod Godínez,,Thank you for being every bit the leader that the president cannot be.,"['govlarryhogan', 'andersoncooper', 'cnnnewsroom']",[],[],1,0,30,[],[],https://twitter.com/DaRealStoneGato/status/1249820462961643521,False,,0,,,,,,,"[{'user_id': '734739684', 'username': 'DaRealStoneGato'}, {'user_id': '2987671552', 'username': 'GovLarryHogan'}, {'user_id': '15224867', 'username': 'andersoncooper'}, {'user_id': '9567972', 'username': 'CNNnewsroom'}]",,,,
1249818142957862912,1249817477812494336,1586814840000,2020-04-13,14:54:00,PDT,2216702858,pastorjmb,JMB,,If we're going off statistics and facts on the ground it's time to open the state back up. Let's go.,"['govlarryhogan', 'andersoncooper', 'cnnnewsroom']",[],[],15,8,43,[],[],https://twitter.com/PastorJMB/status/1249818142957862912,False,,0,,,,,,,"[{'user_id': '2216702858', 'username': 'PastorJMB'}, {'user_id': '2987671552', 'username': 'GovLarryHogan'}, {'user_id': '15224867', 'username': 'andersoncooper'}, {'user_id': '9567972', 'username': 'CNNnewsroom'}]",,,,
1249817913407700992,1249817477812494336,1586814785000,2020-04-13,14:53:05,PDT,2556500481,caryn_a15,Caryn,,"Please join our fb group ReOpen Maryland everyone. We surely don’t need a statewide shutdown. Common sense approach, county by county.","['govlarryhogan', 'andersoncooper', 'cnnnewsroom']",[],[],16,4,24,[],[],https://twitter.com/caryn_a15/status/1249817913407700992,False,,0,,,,,,,"[{'user_id': '2556500481', 'username': 'caryn_a15'}, {'user_id': '2987671552', 'username': 'GovLarryHogan'}, {'user_id': '15224867', 'username': 'andersoncooper'}, {'user_id': '9567972', 'username': 'CNNnewsroom'}]",,,,
