id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249847670816083970,1249738234311180289,1586821880000,2020-04-13,16:51:20,PDT,1151466589989957637,riotwomennntemp,Riotwomennn Temporary Because Copyright BS,,"The entire country has been impressed with your thoughtful & diligent work to act in the best interest of the people of Michigan. 

Meanwhile, poodle head Paul was turning the Senate swimming pool into a Petri dish of coronavirus 

Kentucky needs to do some serious thinking","['govwhitmer', 'randpaul']",[],[],5,7,42,[],[],https://twitter.com/RiotwomennnTemp/status/1249847670816083970,False,,0,,,,,,,"[{'user_id': '1151466589989957637', 'username': 'RiotwomennnTemp'}, {'user_id': '102071743', 'username': 'GovWhitmer'}, {'user_id': '216881337', 'username': 'RandPaul'}]",,,,
1249846320707383297,1249738234311180289,1586821558000,2020-04-13,16:45:58,PDT,830913533852471298,snowmanomics,snow〽️anomics🗽,,Thank you for calling out lying @RandPaul.,"['govwhitmer', 'randpaul']",[],[],1,1,33,[],[],https://twitter.com/snowmanomics/status/1249846320707383297,False,,0,,,,,,,"[{'user_id': '830913533852471298', 'username': 'snowmanomics'}, {'user_id': '102071743', 'username': 'GovWhitmer'}, {'user_id': '216881337', 'username': 'RandPaul'}]",,,,
1249841777479204864,1249738234311180289,1586820475000,2020-04-13,16:27:55,PDT,33073272,lheeze,L. Heeze,,Rand Paul talking out the side of his neck. Gets checked all the way to the nose bleed seats by the woman Michigan!!! I love to see it!! pic.twitter.com/IR2AG23oP2,"['govwhitmer', 'randpaul']",[],[],1,3,49,[],[],https://twitter.com/Lheeze/status/1249841777479204864,False,,1,,,,,,,"[{'user_id': '33073272', 'username': 'Lheeze'}, {'user_id': '102071743', 'username': 'GovWhitmer'}, {'user_id': '216881337', 'username': 'RandPaul'}]",,,,
1249841417444261890,1249738234311180289,1586820389000,2020-04-13,16:26:29,PDT,110646821,theonly313girl,Eric Blair’s Left Shoe,,"Thanks @GovWhitmer for the upstanding response to this unprecedented crisis. 

Apparently @RandPaul & company see’s your leadership as a threat. They should be more concerned about the voters who put you there. We’re just getting started.","['govwhitmer', 'randpaul']",[],[],1,4,31,[],[],https://twitter.com/TheOnly313Girl/status/1249841417444261890,False,,0,,,,,,,"[{'user_id': '110646821', 'username': 'TheOnly313Girl'}, {'user_id': '102071743', 'username': 'GovWhitmer'}, {'user_id': '216881337', 'username': 'RandPaul'}]",,,,
1249841010601005057,1249738234311180289,1586820292000,2020-04-13,16:24:52,PDT,18006759,techlady56,techlady56,,Keep fact checking them with class @GovWhitmer! I appreciate all you are doing to help keep us all safe.,"['govwhitmer', 'randpaul']",[],[],1,2,14,[],[],https://twitter.com/techlady56/status/1249841010601005057,False,,0,,,,,,,"[{'user_id': '18006759', 'username': 'techlady56'}, {'user_id': '102071743', 'username': 'GovWhitmer'}, {'user_id': '216881337', 'username': 'RandPaul'}]",,,,
1249840781319376902,1249738234311180289,1586820237000,2020-04-13,16:23:57,PDT,23145103,bhamweekly,Birmingham Weekly,,"So Rand Paul is lying again

what a good neighbor","['govwhitmer', 'jjohnsonlaw', 'randpaul']",[],[],0,1,12,[],[],https://twitter.com/BhamWeekly/status/1249840781319376902,False,,0,,,,,,,"[{'user_id': '23145103', 'username': 'BhamWeekly'}, {'user_id': '102071743', 'username': 'GovWhitmer'}, {'user_id': '386215505', 'username': 'JJohnsonLaw'}, {'user_id': '216881337', 'username': 'RandPaul'}]",,,,
1249840690302832640,1249738234311180289,1586820216000,2020-04-13,16:23:36,PDT,23990606,lacychenault,L.Chenault,,As a Michigander thank you! I think you’re doing a great job - let’s stay home and stay safe everyone! Now is the time for thoughtfulness and compassion for others. But also DRAG HIM pic.twitter.com/iIQpPoQqRt,"['govwhitmer', 'randpaul']",[],[],0,4,23,[],[],https://twitter.com/LacyChenault/status/1249840690302832640,False,,1,,,,,,,"[{'user_id': '23990606', 'username': 'LacyChenault'}, {'user_id': '102071743', 'username': 'GovWhitmer'}, {'user_id': '216881337', 'username': 'RandPaul'}]",,,,
1249839939782619139,1249738234311180289,1586820037000,2020-04-13,16:20:37,PDT,446566654,jmorang64,Jill Lovely,,What a class act our Governor is,"['govwhitmer', 'randpaul']",[],[],1,1,24,[],[],https://twitter.com/jmorang64/status/1249839939782619139,False,,0,,,,,,,"[{'user_id': '446566654', 'username': 'jmorang64'}, {'user_id': '102071743', 'username': 'GovWhitmer'}, {'user_id': '216881337', 'username': 'RandPaul'}]",,,,
1249839912263835648,1249738234311180289,1586820030000,2020-04-13,16:20:30,PDT,184920748,mandyrhae,Mandy Olejnik,,"Get him, Gov!","['govwhitmer', 'randpaul']",[],[],0,1,20,[],[],https://twitter.com/MandyRhae/status/1249839912263835648,False,,0,,,,,,,"[{'user_id': '184920748', 'username': 'MandyRhae'}, {'user_id': '102071743', 'username': 'GovWhitmer'}, {'user_id': '216881337', 'username': 'RandPaul'}]",,,,
1249839798401073152,1249738234311180289,1586820003000,2020-04-13,16:20:03,PDT,1232995717742039040,satchel_jr,Lamont Satchel Jr,,Get his ass Gov. Whitmer! #thatwomaninmichigan,"['govwhitmer', 'randpaul']",[],[],1,1,17,['#thatwomaninmichigan'],[],https://twitter.com/satchel_jr/status/1249839798401073152,False,,0,,,,,,,"[{'user_id': '1232995717742039040', 'username': 'satchel_jr'}, {'user_id': '102071743', 'username': 'GovWhitmer'}, {'user_id': '216881337', 'username': 'RandPaul'}]",,,,
