id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249849721432281088,1249849091678486535,1586822369000,2020-04-13,16:59:29,PDT,467841441,bigstape,Journal of the Plague Year,,"This is how you do it, @realDonaldTrump","['governortomwolf', 'realdonaldtrump']",[],[],2,0,11,[],[],https://twitter.com/bigstape/status/1249849721432281088,False,,0,,,,,,,"[{'user_id': '467841441', 'username': 'bigstape'}, {'user_id': '2978837542', 'username': 'GovernorTomWolf'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1249849503743696896,1249849091678486535,1586822317000,2020-04-13,16:58:37,PDT,770046490375024640,blondie6312,Vicki Smith,,Thanks for your leadership during this difficult time.,['governortomwolf'],[],[],1,0,46,[],[],https://twitter.com/Blondie6312/status/1249849503743696896,False,,0,,,,,,,"[{'user_id': '770046490375024640', 'username': 'Blondie6312'}, {'user_id': '2978837542', 'username': 'GovernorTomWolf'}]",,,,
1249849480767320066,1249849091678486535,1586822311000,2020-04-13,16:58:31,PDT,1187200639601913856,machi_joe,Angry Joe Wuhan Machi,,Put PA back to work,['governortomwolf'],[],[],4,4,42,[],[],https://twitter.com/machi_joe/status/1249849480767320066,False,,0,,,,,,,"[{'user_id': '1187200639601913856', 'username': 'machi_joe'}, {'user_id': '2978837542', 'username': 'GovernorTomWolf'}]",,,,
1249849399662063619,1249849091678486535,1586822292000,2020-04-13,16:58:12,PDT,775866329161166848,sonsofsidg,Son of Sid,,JUST GET TO THE PART ABOUT THE BOOZE pic.twitter.com/3zC2ysFZrt,['governortomwolf'],[],[],0,0,18,[],[],https://twitter.com/sonsofsidg/status/1249849399662063619,False,,1,,,,,,,"[{'user_id': '775866329161166848', 'username': 'sonsofsidg'}, {'user_id': '2978837542', 'username': 'GovernorTomWolf'}]",,,,
1249849323661209600,1249849091678486535,1586822274000,2020-04-13,16:57:54,PDT,750096052263542786,lakersfanms1987,Mike,,Your doing an amazing job Gov Wolf. Thank you so much.,['governortomwolf'],[],[],3,2,47,[],[],https://twitter.com/LakersFanMS1987/status/1249849323661209600,False,,0,,,,,,,"[{'user_id': '750096052263542786', 'username': 'LakersFanMS1987'}, {'user_id': '2978837542', 'username': 'GovernorTomWolf'}]",,,,
1249849096711614465,1249849091678486535,1586822220000,2020-04-13,16:57:00,PDT,2978837542,governortomwolf,Governor Tom Wolf,,"Finally, phase three is getting back to our normal lives. This will require time and a recognition that the new ""normal"" will be different.

Right now, we need to keep doing what we’re doing to restrain #COVID19.

Together, we can save lives. http://on.pa.gov/2V8h5vE ",[],['http://on.pa.gov/2V8h5vE'],[],113,50,405,['#covid19'],[],https://twitter.com/GovernorTomWolf/status/1249849096711614465,False,,0,,,,,,,"[{'user_id': '2978837542', 'username': 'GovernorTomWolf'}]",,,,
1249849095642058752,1249849091678486535,1586822220000,2020-04-13,16:57:00,PDT,2978837542,governortomwolf,Governor Tom Wolf,,"We do not know exactly when we will achieve victory.

First, we need tests that can tell us when we are sick and when we are immune.

Once we have access to better #COVID19 testing, we will move into the second phase. This is when we start to slowly reopen our world.",[],[],[],105,60,423,['#covid19'],[],https://twitter.com/GovernorTomWolf/status/1249849095642058752,False,,0,,,,,,,"[{'user_id': '2978837542', 'username': 'GovernorTomWolf'}]",,,,
1249849094694199297,1249849091678486535,1586822219000,2020-04-13,16:56:59,PDT,2978837542,governortomwolf,Governor Tom Wolf,,"Phase one in the battle against #COVID19 is primarily focused on our front line.
 
Making sure our hospitals are equipped with life-saving equipment and keeping them under capacity is key.
 
This strategy is working so far. We are making real progress in bending the curve.",[],[],[],9,18,170,['#covid19'],[],https://twitter.com/GovernorTomWolf/status/1249849094694199297,False,,0,,,,,,,"[{'user_id': '2978837542', 'username': 'GovernorTomWolf'}]",,,,
1249849093645533186,1249849091678486535,1586822219000,2020-04-13,16:56:59,PDT,2978837542,governortomwolf,Governor Tom Wolf,,"I know there are many unanswered questions so I’m going to try to outline some of what lies ahead.
 
In my perspective, the process of dealing with #COVID19 is laid out in three phases.
 
Right now, we are in phase one.",[],[],[],6,12,110,['#covid19'],[],https://twitter.com/GovernorTomWolf/status/1249849093645533186,False,,0,,,,,,,"[{'user_id': '2978837542', 'username': 'GovernorTomWolf'}]",,,,
1249817189408026624,1249808649456963585,1586814613000,2020-04-13,14:50:13,PDT,1105053317435146240,sally_wiggin,Sally Wiggin,,Great so Pittsburgh will be punished because NYC is a shitshow,"['governortomwolf', 'nygovcuomo', 'govmurphy', 'govnedlamont', 'johncarneyde', 'govraimondo']",[],[],6,1,18,[],[],https://twitter.com/sally_wiggin/status/1249817189408026624,False,,0,,,,,,,"[{'user_id': '1105053317435146240', 'username': 'sally_wiggin'}, {'user_id': '2978837542', 'username': 'GovernorTomWolf'}, {'user_id': '232268199', 'username': 'NYGovCuomo'}, {'user_id': '948946378939609089', 'username': 'GovMurphy'}, {'user_id': '1076293903723233280', 'username': 'GovNedLamont'}, {'user_id': '237770636', 'username': 'JohnCarneyDE'}, {'user_id': '240778059', 'username': 'GovRaimondo'}]",,,,
