id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249652528213565440,1249652525390802944,1586775354000,2020-04-13,03:55:54,PDT,545107258,govphilscott,Governor Phil Scott,,"Later this week, I will announce additional flag protocols to honor all victims of the coronavirus. 

We will get through this, together.",[],[],[],6,6,66,[],[],https://twitter.com/GovPhilScott/status/1249652528213565440,False,,0,,,,,,,"[{'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1249360887238070273,1249360690529406978,1586705822000,2020-04-12,08:37:02,PDT,545107258,govphilscott,Governor Phil Scott,,"I took this picture this morning in my backyard. They blossomed overnight. It reminded me that spring is coming, and there are better days ahead. pic.twitter.com/VoaPhfzUhl",[],[],['https://pbs.twimg.com/media/EVafGlyXgAAsVkq.jpg'],6,13,124,[],[],https://twitter.com/GovPhilScott/status/1249360887238070273,False,,0,,,,,,,"[{'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1248639093531185153,1248619334982725640,1586533733000,2020-04-10,08:48:53,PDT,3044621157,jacobsmithvt,Jacob Smith,,"Good. I want to go back to work and my wife wants to find work again but we need to listen to doctors. There is near universal consensus among experts that we need to continue. Ppl who oppose this: if your doctor says you need to do something, do you ignore b/c it’s inconvenient?",['govphilscott'],[],[],0,0,14,[],[],https://twitter.com/JacobSmithVT/status/1248639093531185153,False,,0,,,,,,,"[{'user_id': '3044621157', 'username': 'JacobSmithVT'}, {'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1248630635389911040,1248619334982725640,1586531716000,2020-04-10,08:15:16,PDT,785314653467541504,shelovedpurple,She Loved Purple,,Here come the bankruptcies,['govphilscott'],[],[],1,0,12,[],[],https://twitter.com/SheLovedPurple/status/1248630635389911040,False,,0,,,,,,,"[{'user_id': '785314653467541504', 'username': 'SheLovedPurple'}, {'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1248629782553731072,1248619334982725640,1586531513000,2020-04-10,08:11:53,PDT,197086055,techcrib,David Bradbury,,".@GovPhilScott has risen to this occasion.  Steady, smart, informed, kind and credible leadership. Thank you.",['govphilscott'],[],[],0,1,24,[],[],https://twitter.com/techcrib/status/1248629782553731072,False,,0,,,,,,,"[{'user_id': '197086055', 'username': 'techcrib'}, {'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1248627053957505028,1248619334982725640,1586530862000,2020-04-10,08:01:02,PDT,240698698,bwhitevt,Bob White,,You are no longer savings lives ..you are ruining lives! People are going to start to pushback and it will be ugly...nobody is addressing the stress and mental health issues this is causing! April 30th should be the date!,['govphilscott'],[],[],8,2,15,[],[],https://twitter.com/bwhitevt/status/1248627053957505028,False,,0,,,,,,,"[{'user_id': '240698698', 'username': 'bwhitevt'}, {'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1248626383107944461,1248619334982725640,1586530702000,2020-04-10,07:58:22,PDT,2371712067,rmloozach,Robert,,This is undemocratic and unnecessary,['govphilscott'],[],[],4,0,12,[],[],https://twitter.com/rmloozach/status/1248626383107944461,False,,0,,,,,,,"[{'user_id': '2371712067', 'username': 'rmloozach'}, {'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1248621578708910080,1248619334982725640,1586529557000,2020-04-10,07:39:17,PDT,606684158,margaretgrant22,Margaret Grant,,I would be disappointed if you didn’t do this. Thank you for your leadership and caution.,['govphilscott'],[],[],0,0,23,[],[],https://twitter.com/MargaretGrant22/status/1248621578708910080,False,,0,,,,,,,"[{'user_id': '606684158', 'username': 'MargaretGrant22'}, {'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1248619337247682561,1248619334982725640,1586529022000,2020-04-10,07:30:22,PDT,545107258,govphilscott,Governor Phil Scott,,"Please know, I will work every hour of every day, for as long as it takes, to see Vermont through this and to help rebuild stronger than we were before. 3/3

 https://governor.vermont.gov/press-release/governor-phil-scott-extends-state-emergency-vermont …",[],['https://governor.vermont.gov/press-release/governor-phil-scott-extends-state-emergency-vermont'],[],14,11,105,[],[],https://twitter.com/GovPhilScott/status/1248619337247682561,False,,0,,,,,,,"[{'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1248619336052256772,1248619334982725640,1586529022000,2020-04-10,07:30:22,PDT,545107258,govphilscott,Governor Phil Scott,,"We're making big sacrifices to save lives but we can't let our foot off the gas just yet. We'll continue to watch the trends & once the data shows a downward trend, we can open the spigot, a quarter turn at a time, to get folks back to work in a way that’s responsible & safe. 2/3",[],[],[],6,10,84,[],[],https://twitter.com/GovPhilScott/status/1248619336052256772,False,,0,,,,,,,"[{'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1248036834002731009,1248036834002731009,1586390143000,2020-04-08,16:55:43,PDT,976897289645064193,vtnationalguard,Vermont National Guard,,"@GovPhilScott  stopped by the Alternate Healthcare Facility at the Champlain Valley Exposition. This facility will treat low acuity patients and allow our hospitals to focus resources on higher levels of care, including #COVID19. We are #InThisTogether pic.twitter.com/bwxDt1im3D",['govphilscott'],[],['https://pbs.twimg.com/media/EVHq4lNXkAQQCW3.jpg'],3,4,18,"['#covid19', '#inthistogether']",[],https://twitter.com/VTNationalGuard/status/1248036834002731009,False,,0,,,,,,,"[{'user_id': '976897289645064193', 'username': 'VTNationalGuard'}, {'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1247562555649937416,1247558014183194624,1586277066000,2020-04-07,09:31:06,PDT,545107258,govphilscott,Governor Phil Scott,,We are encouraging other insurers to follow suit.  “Every insurer should begin developing plans to make certain that Vermonters are not overpaying when it comes to their auto insurance.” - @VermontDFR Commissioner @mspieciak (2/2),"['vermontdfr', 'mspieciak']",[],[],6,2,24,[],[],https://twitter.com/GovPhilScott/status/1247562555649937416,False,,0,,,,,,,"[{'user_id': '545107258', 'username': 'GovPhilScott'}, {'user_id': '822995007523213317', 'username': 'VermontDFR'}, {'user_id': '571362178', 'username': 'mspieciak'}]",,,,
1247267997158440965,1247267992947351555,1586206838000,2020-04-06,14:00:38,PDT,545107258,govphilscott,Governor Phil Scott,,"Educators and parents are working hard to achieve these goals, and this initiative will help support their work. I am grateful to Vermont PBS as this partnership will give those already doing so much another tool to reach and educate students. (3/3)",[],[],[],2,0,13,[],[],https://twitter.com/GovPhilScott/status/1247267997158440965,False,,0,,,,,,,"[{'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1247267995484905472,1247267992947351555,1586206837000,2020-04-06,14:00:37,PDT,545107258,govphilscott,Governor Phil Scott,,"I recognize there is no replacement for in-person instruction and the learning that takes place in a classroom but this is an unprecedented public health situation, and we must work together to provide the best possible remote learning opportunities for Vermont’s kids. (2/3)",[],[],[],4,1,16,[],[],https://twitter.com/GovPhilScott/status/1247267995484905472,False,,0,,,,,,,"[{'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1245144947629621250,1245138797467176960,1585700663000,2020-03-31,17:24:23,PDT,75355226,counseloradrian,(((Ed Adrian))),,Governor. Thank you for issuing this call for #VT to volunteer during this time of need.  I want to offer my services pro bono to any health care professional who might need legal assistance concerning licensure or other related issues. #VTpoli https://bit.ly/3bJNspV ,['govphilscott'],['https://bit.ly/3bJNspV'],[],0,6,30,"['#vt', '#vtpoli']",[],https://twitter.com/CounselorAdrian/status/1245144947629621250,False,,0,,,,,,,"[{'user_id': '75355226', 'username': 'CounselorAdrian'}, {'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1245138818858127363,1245138797467176960,1585699202000,2020-03-31,17:00:02,PDT,545107258,govphilscott,Governor Phil Scott,,"Our state is at its best when Vermonters pull together to help each other. The coming weeks will be very difficult, but united in common purpose, we will face, fight and defeat this virus – and emerge stronger together. 15/15",[],[],[],7,3,37,[],[],https://twitter.com/GovPhilScott/status/1245138818858127363,False,,0,,,,,,,"[{'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1245138817721532418,1245138797467176960,1585699202000,2020-03-31,17:00:02,PDT,545107258,govphilscott,Governor Phil Scott,,"Support your local Food Bank:
Donate online at  http://vtfoodbank.org  or you can text GIVEHEALTH to 85511. If you're in need of help, click below. 14/15 

  http://vtfoodbank.org/gethelp .",[],"['http://vtfoodbank.org', 'http://vtfoodbank.org/gethelp']",[],5,5,20,[],[],https://twitter.com/GovPhilScott/status/1245138817721532418,False,,0,,,,,,,"[{'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1245138816106725383,1245138797467176960,1585699201000,2020-03-31,17:00:01,PDT,545107258,govphilscott,Governor Phil Scott,,"Give blood: Visit the American Red Cross by clicking below to learn how to safely donate blood. 13/15

 https://www.redcross.org/local/new-hampshire-vermont.html ….",[],['https://www.redcross.org/local/new-hampshire-vermont.html'],[],3,2,15,[],[],https://twitter.com/GovPhilScott/status/1245138816106725383,False,,0,,,,,,,"[{'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1245138815125250051,1245138797467176960,1585699201000,2020-03-31,17:00:01,PDT,545107258,govphilscott,Governor Phil Scott,,"Donate PPE: Donations of N95 masks, medical and industrial grade or surgical masks can be brought to your nearest State Police Barracks. You can find the location nearest to you by clicking below. 12/15
 https://vsp.vermont.gov/stations .",[],['https://vsp.vermont.gov/stations'],[],1,5,19,[],[],https://twitter.com/GovPhilScott/status/1245138815125250051,False,,0,,,,,,,"[{'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1245138814374379520,1245138797467176960,1585699201000,2020-03-31,17:00:01,PDT,545107258,govphilscott,Governor Phil Scott,,"Vermonters can also contribute to blood banks, food banks, and other emergency supply efforts. In addition to volunteering, Vermonters can also give back in the following ways: 11/15",[],[],[],2,2,16,[],[],https://twitter.com/GovPhilScott/status/1245138814374379520,False,,0,,,,,,,"[{'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1245138813619494916,1245138797467176960,1585699201000,2020-03-31,17:00:01,PDT,545107258,govphilscott,Governor Phil Scott,,"We expect to draw upon many skills to meet the challenge of serving those affected by COVID-19, potentially including drivers, food service, construction, IT, security, skilled trades and more. 10/15",[],[],[],4,2,20,[],[],https://twitter.com/GovPhilScott/status/1245138813619494916,False,,0,,,,,,,"[{'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1245138812407353345,1245138797467176960,1585699201000,2020-03-31,17:00:01,PDT,545107258,govphilscott,Governor Phil Scott,,"Other individuals who do not have medical or healthcare backgrounds but are willing to volunteer their time in Vermont’s response effort can register through the state’s volunteer web portal and indicate their expertise and availability. 9/15

 https://www.vermont.gov/volunteer ",[],['https://www.vermont.gov/volunteer'],[],1,3,21,[],[],https://twitter.com/GovPhilScott/status/1245138812407353345,False,,0,,,,,,,"[{'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
1245138811421483008,1245138797467176960,1585699200000,2020-03-31,17:00:00,PDT,545107258,govphilscott,Governor Phil Scott,,VT has eased licensing requirements for the purposes of aiding this emergency response. Individuals who are licensed in other states or who were previously licensed should visit the Health Dept. website and review the guide on emergency licensure. 8/15 https://www.healthvermont.gov/health-professionals-systems/board-medical-practice/COVID19 …,[],['https://www.healthvermont.gov/health-professionals-systems/board-medical-practice/COVID19'],[],4,2,19,[],[],https://twitter.com/GovPhilScott/status/1245138811421483008,False,,0,,,,,,,"[{'user_id': '545107258', 'username': 'GovPhilScott'}]",,,,
