id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249762176673484802,1249762175897534466,1586801497000,2020-04-13,11:11:37,PDT,1081334766924754944,governorgordon,Governor Mark Gordon,,...and sadly serves as a grim reminder of the importance of following public health orders and guidance so we can reduce the number of serious illnesses and deaths in our state. Jennie and I extend our thoughts and prayers to this gentleman’s family and friends.,[],[],[],7,8,53,[],[],https://twitter.com/GovernorGordon/status/1249762176673484802,False,,0,,,,,,,"[{'user_id': '1081334766924754944', 'username': 'GovernorGordon'}]",,,,
1248738238413426688,1248680337615585280,1586557371000,2020-04-10,15:22:51,PDT,1220506459,wyoneuro,"David B Wheeler, MD, PhD",,Thank you for making the case for pcr and antibody testing in Wyoming. Extensive testing and contact tracing is the most efficient way to get us back in business. We appreciate your efforts to encourage continued social distancing as we keep climbing to the top of the curve.,['governorgordon'],[],[],0,4,27,[],[],https://twitter.com/WyoNeuro/status/1248738238413426688,False,,0,,,,,,,"[{'user_id': '1220506459', 'username': 'WyoNeuro'}, {'user_id': '1081334766924754944', 'username': 'GovernorGordon'}]",,,,
1246174529459757062,1246174527886897152,1585946135000,2020-04-03,13:35:35,PDT,1081334766924754944,governorgordon,Governor Mark Gordon,,Now is not the time to travel to Wyoming. We are focused on protect the health of our citizens and the resources of our rural healthcare facilities. Stay home and stay safe. https://governor.wyo.gov/media/news-releases/2020-news-releases/governor-state-health-officer-extend-statewide-public-health-orders-throug …,[],['https://governor.wyo.gov/media/news-releases/2020-news-releases/governor-state-health-officer-extend-statewide-public-health-orders-throug'],[],12,19,41,[],[],https://twitter.com/GovernorGordon/status/1246174529459757062,False,,0,,,,,,,"[{'user_id': '1081334766924754944', 'username': 'GovernorGordon'}]",,,,
1246174528671232000,1246174527886897152,1585946135000,2020-04-03,13:35:35,PDT,1081334766924754944,governorgordon,Governor Mark Gordon,,I have also issued a directive requiring any individual coming to Wyoming for a non-work-related purpose to immediately self-quarantine for 14 days. Visitors from neighboring states have strained the resources of our communities and put public health at risk.,[],[],[],24,19,58,[],[],https://twitter.com/GovernorGordon/status/1246174528671232000,False,,0,,,,,,,"[{'user_id': '1081334766924754944', 'username': 'GovernorGordon'}]",,,,
1244817058300227584,1244792925529096192,1585622488000,2020-03-30,19:41:28,PDT,709573773117100033,amysurdam,Amy Surdam,,"Dear @GovernorGordon, thank you for your constant kindness and leadership. You are a wonderful governor. There are a lot of people who are not listening and are putting others at risk. Please issue a stay at home order so that we can eliminate this in our state faster.",['governorgordon'],[],[],0,2,43,[],[],https://twitter.com/amysurdam/status/1244817058300227584,False,,0,,,,,,,"[{'user_id': '709573773117100033', 'username': 'amysurdam'}, {'user_id': '1081334766924754944', 'username': 'GovernorGordon'}]",,,,
1244796502024822784,1244792925529096192,1585617587000,2020-03-30,18:19:47,PDT,938447720322338816,rettlerb,Bradley Rettler,,"Actually it’s up to you. By failing to order NOW the shelter-in-place that’s coming, there will be more cases and more deaths.",['governorgordon'],[],[],1,0,23,[],[],https://twitter.com/rettlerb/status/1244796502024822784,False,,0,,,,,,,"[{'user_id': '938447720322338816', 'username': 'rettlerb'}, {'user_id': '1081334766924754944', 'username': 'GovernorGordon'}]",,,,
1243887534368649217,1243735270836453376,1585400873000,2020-03-28,06:07:53,PDT,709573773117100033,amysurdam,Amy Surdam,,Please issue a shelter in place order. It is inevitable. The sooner you order it the sooner we will contain the virus. Delaying is hurting our workforce who is already out of work and our people.,['governorgordon'],[],[],3,2,26,[],[],https://twitter.com/amysurdam/status/1243887534368649217,False,,0,,,,,,,"[{'user_id': '709573773117100033', 'username': 'amysurdam'}, {'user_id': '1081334766924754944', 'username': 'GovernorGordon'}]",,,,
1243628475136819201,1243628474281209858,1585339108000,2020-03-27,12:58:28,PDT,1081334766924754944,governorgordon,Governor Mark Gordon,,"This is how we can save lives and protect people’s health.  I also understand the ongoing strain these measures are having on businesses, workers and Wyoming communities but it is critical each of us takes these steps now.",[],[],[],4,18,49,[],[],https://twitter.com/GovernorGordon/status/1243628475136819201,False,,0,,,,,,,"[{'user_id': '1081334766924754944', 'username': 'GovernorGordon'}]",,,,
1242996256307204097,1242996255527059456,1585188375000,2020-03-25,19:06:15,PDT,1081334766924754944,governorgordon,Governor Mark Gordon,,"Now is not the time to be evicting individuals who may have recently become unemployed. It’s important for us all to work together and support one-another during these difficult times. If you are struggling, Wyoming 211 has a list of statewide resources.  https://wy211.communityos.org/ ",[],['https://wy211.communityos.org/'],[],4,8,43,[],[],https://twitter.com/GovernorGordon/status/1242996256307204097,False,,0,,,,,,,"[{'user_id': '1081334766924754944', 'username': 'GovernorGordon'}]",,,,
1241821013551112192,1241821013551112192,1584908176000,2020-03-22,13:16:16,PDT,4615361653,verbalese,Alice in Chains,,"@GovernorGordon You govern 1 of 4 remaining states that refuse to mandate citizen protections from COVID- 19

Your state has conducted 409 tests with 24 positive results. With an infection rate of 2.1/ infected you WILL have 24- 50.1- 105.8- 222.3 in DAYS!

#OneVoice1
#wtpTeam pic.twitter.com/oxCe9tOTQD",['governorgordon'],[],['https://pbs.twimg.com/media/ETvVoQrUMAAhJKa.jpg'],2,35,33,"['#onevoice1', '#wtpteam']",[],https://twitter.com/verbalese/status/1241821013551112192,False,,0,,,,,,,"[{'user_id': '4615361653', 'username': 'verbalese'}, {'user_id': '1081334766924754944', 'username': 'GovernorGordon'}]",,,,
