id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249383025135116289,1249383025135116289,1586711100000,2020-04-12,13:05:00,EDT,728344273620344832,govofco,Governor Jared Polis,,"This week, we unveiled a new state website with FREE resources,  http://stayathomeco.colorado.gov . It has health resources, education, entertainment, and more to make staying at home more bearable. You can even suggest a resource that we should add. #DoingMyPartCO pic.twitter.com/cactNOc8b1",[],['http://stayathomeco.colorado.gov'],[],104,173,455,['#doingmypartco'],[],https://twitter.com/GovofCO/status/1249383025135116289,False,,1,,,,,,,"[{'user_id': '728344273620344832', 'username': 'GovofCO'}]",,,,
1249372803570094081,1249372803570094081,1586708663000,2020-04-12,12:24:23,EDT,728344273620344832,govofco,Governor Jared Polis,,Happy Easter! The Easter Bunny is an essential worker in Colorado! 🐰 pic.twitter.com/5YxVGTZ7i4,[],[],['https://pbs.twimg.com/media/EVapvljVAAALb3_.jpg'],69,145,994,[],[],https://twitter.com/GovofCO/status/1249372803570094081,False,,0,,,,,,,"[{'user_id': '728344273620344832', 'username': 'GovofCO'}]",,,,
1249096134670180353,1249096134670180353,1586642700000,2020-04-11,18:05:00,EDT,728344273620344832,govofco,Governor Jared Polis,,"Those suffering from domestic abuse are free to leave their homes under this order if they feel unsafe.

The Stay-At-Home Order is not an excuse for abusers to further traumatize domestic partners or dependents. pic.twitter.com/opYIX6A7Pr",[],[],['https://pbs.twimg.com/media/EVRz0HHUYAAmV1U.jpg'],40,329,722,[],[],https://twitter.com/GovofCO/status/1249096134670180353,False,,0,,,,,,,"[{'user_id': '728344273620344832', 'username': 'GovofCO'}]",,,,
1248982888571265024,1248982888571265024,1586615700000,2020-04-11,10:35:00,EDT,728344273620344832,govofco,Governor Jared Polis,,"Happy #NationalPetDay! First Pup Gia loves doing interviews with me. 

I’d love to see your pets, too! pic.twitter.com/emcumdX4VG",[],[],['https://pbs.twimg.com/media/EVRyl51UYAEIi2j.jpg'],440,56,1150,['#nationalpetday'],[],https://twitter.com/GovofCO/status/1248982888571265024,False,,0,,,,,,,"[{'user_id': '728344273620344832', 'username': 'GovofCO'}]",,,,
1248733746947211264,1248733746947211264,1586556300000,2020-04-10,18:05:00,EDT,728344273620344832,govofco,Governor Jared Polis,,Wearing a face covering is not a substitute for staying home. It’s important to stay home unless absolutely necessary to help stop the spread of COVID-19. 🏠😷 pic.twitter.com/ycH4Vti9a4,[],[],[],68,194,528,[],[],https://twitter.com/GovofCO/status/1248733746947211264,False,,1,,,,,,,"[{'user_id': '728344273620344832', 'username': 'GovofCO'}]",,,,
1248685441718480896,1248685441718480896,1586544783000,2020-04-10,14:53:03,EDT,728344273620344832,govofco,Governor Jared Polis,,"I’m at the Colorado Convention Center to provide an update on COVID-19 in Colorado. 

Watch live at  https://www.facebook.com/jaredpolis/videos/589888168542401/ … or right here ⤵️ https://twitter.com/DenverChannel/status/1248684767286943744 …",[],"['https://www.facebook.com/jaredpolis/videos/589888168542401/', 'https://twitter.com/DenverChannel/status/1248684767286943744']",[],23,21,86,[],[],https://twitter.com/GovofCO/status/1248685441718480896,False,https://twitter.com/DenverChannel/status/1248684767286943744,0,,,,,,,"[{'user_id': '728344273620344832', 'username': 'GovofCO'}]",,,,
1248652646904258561,1248652646904258561,1586536964000,2020-04-10,12:42:44,EDT,728344273620344832,govofco,Governor Jared Polis,,What house are you staying home in? 🤔🤔 pic.twitter.com/M1o2qkNHyr,[],[],['https://pbs.twimg.com/media/EVQa9PTUwAAwFsP.jpg'],632,109,774,[],[],https://twitter.com/GovofCO/status/1248652646904258561,False,,0,,,,,,,"[{'user_id': '728344273620344832', 'username': 'GovofCO'}]",,,,
1248306181086429184,1248306181086429184,1586454360000,2020-04-09,13:46:00,EDT,728344273620344832,govofco,Governor Jared Polis,,"Hey Colorado - Did you know I'm also on Instagram and Facebook? I even have a weekly newsletter that I write myself. It’s a great way to stay up-to-date on COVID-19. 
🔵Instagram:  https://www.instagram.com/govofco/ 
🔵Facebook:  https://www.facebook.com/jaredpolis/ 
🔵Newsletter:  https://www.colorado.gov/governor/newsletter …",[],"['https://www.instagram.com/govofco/', 'https://www.facebook.com/jaredpolis/', 'https://www.colorado.gov/governor/newsletter']",[],100,35,288,[],[],https://twitter.com/GovofCO/status/1248306181086429184,False,,0,,,,,,,"[{'user_id': '728344273620344832', 'username': 'GovofCO'}]",,,,
1247962140624842754,1247962140624842754,1586372334000,2020-04-08,14:58:54,EDT,728344273620344832,govofco,Governor Jared Polis,,"As we celebrate Passover this week or Easter this weekend, it’s important that Coloradans can practice their faith while social distancing and saving lives. 

Watch live at  https://www.facebook.com/jaredpolis/videos/2890666917636049/ … or below https://twitter.com/DenverChannel/status/1247961091935580160 …",[],"['https://www.facebook.com/jaredpolis/videos/2890666917636049/', 'https://twitter.com/DenverChannel/status/1247961091935580160']",[],35,40,182,[],[],https://twitter.com/GovofCO/status/1247962140624842754,False,https://twitter.com/DenverChannel/status/1247961091935580160,0,,,,,,,"[{'user_id': '728344273620344832', 'username': 'GovofCO'}]",,,,
1247660499795230720,1247660499795230720,1586300418000,2020-04-07,19:00:18,EDT,728344273620344832,govofco,Governor Jared Polis,,Stay home. Save lives. Stay healthy. pic.twitter.com/WtrME9ULVG,[],[],['https://pbs.twimg.com/media/EVCUGpLUUAAsUuU.jpg'],93,283,1070,[],[],https://twitter.com/GovofCO/status/1247660499795230720,False,,0,,,,,,,"[{'user_id': '728344273620344832', 'username': 'GovofCO'}]",,,,
1247540886835208192,1247540886835208192,1586271900000,2020-04-07,11:05:00,EDT,728344273620344832,govofco,Governor Jared Polis,,"We will get through this together, Colorado. Remember, you are not alone. ❤️ pic.twitter.com/IKnQj3ElbU",[],[],[],94,245,927,[],[],https://twitter.com/GovofCO/status/1247540886835208192,False,,1,,,,,,,"[{'user_id': '728344273620344832', 'username': 'GovofCO'}]",,,,
1247322737393020928,1247322737393020928,1586219889000,2020-04-06,20:38:09,EDT,728344273620344832,govofco,Governor Jared Polis,,"I’m more and more hopeful that Colorado’s stay-at-home can finally end on April 26, 2020, several days before the national goal of April 30th. It is important that you stay home whenever possible to stop the spread and wear a mask when you do go out. #COVID19Colorado pic.twitter.com/gfMQR0bjPW",[],[],['https://pbs.twimg.com/media/EU9hYoHU4AAWi-_.jpg'],363,542,1930,['#covid19colorado'],[],https://twitter.com/GovofCO/status/1247322737393020928,False,,0,,,,,,,"[{'user_id': '728344273620344832', 'username': 'GovofCO'}]",,,,
1247322310547128320,1247322310547128320,1586219787000,2020-04-06,20:36:27,EDT,728344273620344832,govofco,Governor Jared Polis,,Watch my address to Colorado at  https://www.facebook.com/jaredpolis/videos/2527154850857854/ … or below https://twitter.com/DenverChannel/status/1247320780339322881 …,[],"['https://www.facebook.com/jaredpolis/videos/2527154850857854/', 'https://twitter.com/DenverChannel/status/1247320780339322881']",[],20,37,142,[],[],https://twitter.com/GovofCO/status/1247322310547128320,False,https://twitter.com/DenverChannel/status/1247320780339322881,0,,,,,,,"[{'user_id': '728344273620344832', 'username': 'GovofCO'}]",,,,
1247269577286758400,1247269577286758400,1586207215000,2020-04-06,17:06:55,EDT,728344273620344832,govofco,Governor Jared Polis,,Join me tonight at 6:30 for an address to the state on COVID-19 in Colorado. pic.twitter.com/KYfrbPec1O,[],[],['https://pbs.twimg.com/media/EU8w1TpUMAACzq4.jpg'],62,123,411,[],[],https://twitter.com/GovofCO/status/1247269577286758400,False,,0,,,,,,,"[{'user_id': '728344273620344832', 'username': 'GovofCO'}]",,,,
1246597168254910464,1246597168254910464,1586046900000,2020-04-04,20:35:00,EDT,728344273620344832,govofco,Governor Jared Polis,,"Be creative about your masks! Whether it’s an old t-shirt or a ski buff, I’d love to see what you come up with! Get creative! Just make sure it covers your mouth and nose if you go grocery shopping. 😷 #ColoradoMaskProject #DoingMyPartCO #COVID19Colorado pic.twitter.com/Rm4JdWwzuY",[],[],[],269,192,840,"['#coloradomaskproject', '#doingmypartco', '#covid19colorado']",[],https://twitter.com/GovofCO/status/1246597168254910464,False,,1,,,,,,,"[{'user_id': '728344273620344832', 'username': 'GovofCO'}]",,,,
1246163269741502464,1246163269741502464,1585943450000,2020-04-03,15:50:50,EDT,728344273620344832,govofco,Governor Jared Polis,,I’m providing an update on the state’s response to COVID-19. Watch at  http://facebook.com/jaredpolis  or below ⤵️ https://twitter.com/DenverChannel/status/1246161929925586944 …,[],"['http://facebook.com/jaredpolis', 'https://twitter.com/DenverChannel/status/1246161929925586944']",[],45,29,133,[],[],https://twitter.com/GovofCO/status/1246163269741502464,False,https://twitter.com/DenverChannel/status/1246161929925586944,0,,,,,,,"[{'user_id': '728344273620344832', 'username': 'GovofCO'}]",,,,
1245728664433463298,1245728664433463298,1585839832000,2020-04-02,11:03:52,EDT,728344273620344832,govofco,Governor Jared Polis,,"THIS! 🙌 Stay home, Colorado.

Thank you to @karshhagan for making these and sharing them! #DoingMyPartCO pic.twitter.com/cNhIZxGc3D",['karshhagan'],[],"['https://pbs.twimg.com/media/EUm3ILVUMAEk-TN.jpg', 'https://pbs.twimg.com/media/EUm3OJJUYAMN0qa.jpg', 'https://pbs.twimg.com/media/EUm3OJkU0AQlARq.jpg']",106,504,2059,['#doingmypartco'],[],https://twitter.com/GovofCO/status/1245728664433463298,False,,0,,,,,,,"[{'user_id': '728344273620344832', 'username': 'GovofCO'}, {'user_id': '26342559', 'username': 'karshhagan'}]",,,,
1245493041823014912,1245493041823014912,1585783655000,2020-04-01,19:27:35,EDT,728344273620344832,govofco,Governor Jared Polis,,"At this point of the COVID-19 crisis, masks and gloves equals lives. Ventilators equals lives. We will continue to work with new suppliers in the private sector until Colorado’s needs are met. #COVID19Colorado
➡️ Today's Presentation:  https://drive.google.com/file/d/13yZFdKTGRl0ZJTYRx835MXfCOWq99CIQ/view … pic.twitter.com/DFFyWq2yJP",[],['https://drive.google.com/file/d/13yZFdKTGRl0ZJTYRx835MXfCOWq99CIQ/view'],['https://pbs.twimg.com/media/EUjMg6fU4AAlaMV.jpg'],111,257,783,['#covid19colorado'],[],https://twitter.com/GovofCO/status/1245493041823014912,False,,0,,,,,,,"[{'user_id': '728344273620344832', 'username': 'GovofCO'}]",,,,
1245177669185974274,1245177669185974274,1585708465000,2020-03-31,22:34:25,EDT,728344273620344832,govofco,Governor Jared Polis,,Thank you Rep. Mullica! https://twitter.com/Kyle_Mullica/status/1245161478954438656 …,[],['https://twitter.com/Kyle_Mullica/status/1245161478954438656'],[],21,49,477,[],[],https://twitter.com/GovofCO/status/1245177669185974274,False,https://twitter.com/Kyle_Mullica/status/1245161478954438656,0,,,,,,,"[{'user_id': '728344273620344832', 'username': 'GovofCO'}]",,,,
1244997479122128899,1244997479122128899,1585665504000,2020-03-31,10:38:24,EDT,728344273620344832,govofco,Governor Jared Polis,,"⚠️STAY HOME ⚠️It is crucial that we all stay home whenever possible to avoid jeopardizing the health of our friends, family, and community. Let's work together by staying apart. #DoingMyPartCO pic.twitter.com/Y4IAc2oxg6",[],[],['https://pbs.twimg.com/media/EUcem2IUYAQfitj.jpg'],123,337,1251,['#doingmypartco'],[],https://twitter.com/GovofCO/status/1244997479122128899,False,,0,,,,,,,"[{'user_id': '728344273620344832', 'username': 'GovofCO'}]",,,,
