id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249791166490574850,1249791165722959880,1586808408000,2020-04-13,16:06:48,EDT,237770636,johncarneyde,Governor John Carney,,"At the same time, we need to look forward. We need a consistent approach for moving our states out of this crisis, when that day comes. I’m grateful for the partnership of @NYGovCuomo @GovMurphy @GovernorTomWolf @GovNedLamont & @GovRaimondo. 

More info:  https://news.delaware.gov/2020/04/13/governor-carney-and-five-governors-announce-multi-state-council-to-get-people-back-to-work-and-restore-the-economy/ … pic.twitter.com/ecZiLJISby","['nygovcuomo', 'govmurphy', 'governortomwolf', 'govnedlamont', 'govraimondo']",['https://news.delaware.gov/2020/04/13/governor-carney-and-five-governors-announce-multi-state-council-to-get-people-back-to-work-and-restore-the-economy/'],['https://pbs.twimg.com/media/EVgllwUWAAE81wG.jpg'],170,399,2195,[],[],https://twitter.com/JohnCarneyDE/status/1249791166490574850,False,,0,,,,,,,"[{'user_id': '237770636', 'username': 'JohnCarneyDE'}, {'user_id': '232268199', 'username': 'NYGovCuomo'}, {'user_id': '948946378939609089', 'username': 'GovMurphy'}, {'user_id': '2978837542', 'username': 'GovernorTomWolf'}, {'user_id': '1076293903723233280', 'username': 'GovNedLamont'}, {'user_id': '240778059', 'username': 'GovRaimondo'}]",,,,
1249791165722959880,1249791165722959880,1586808408000,2020-04-13,16:06:48,EDT,237770636,johncarneyde,Governor John Carney,,"To be clear: We still have a situation in DE that is getting worse.

Infections of COVID-19 and hospitalizations are rising. 

Stay home. Don’t go out in public unnecessarily. Don’t visit DE unless you need to see a doctor or care for family. You’ll only increase everyone’s risk.",[],[],[],31,141,351,[],[],https://twitter.com/JohnCarneyDE/status/1249791165722959880,False,,0,,,,,,,"[{'user_id': '237770636', 'username': 'JohnCarneyDE'}]",,,,
1249763904466620418,1249763904466620418,1586801908000,2020-04-13,14:18:28,EDT,237770636,johncarneyde,Governor John Carney,,"On a conference call with @NYGovCuomo @GovMurphy @GovNedLamont @GovernorTomWolf @GovRaimondo 

Listen live: https://www.pscp.tv/w/cWNSIDFBbVF6T1BwSmRnS2V8MVlxeG9RTERiTWxHdrHrgAMX6wGDzK1jaf8-ErZmngjXmFZ5S9bz0KbN_hxw …","['nygovcuomo', 'govmurphy', 'govnedlamont', 'governortomwolf', 'govraimondo']",['https://www.pscp.tv/w/cWNSIDFBbVF6T1BwSmRnS2V8MVlxeG9RTERiTWxHdrHrgAMX6wGDzK1jaf8-ErZmngjXmFZ5S9bz0KbN_hxw'],[],11,12,44,[],[],https://twitter.com/JohnCarneyDE/status/1249763904466620418,False,,0,,,,,,,"[{'user_id': '237770636', 'username': 'JohnCarneyDE'}, {'user_id': '232268199', 'username': 'NYGovCuomo'}, {'user_id': '948946378939609089', 'username': 'GovMurphy'}, {'user_id': '1076293903723233280', 'username': 'GovNedLamont'}, {'user_id': '2978837542', 'username': 'GovernorTomWolf'}, {'user_id': '240778059', 'username': 'GovRaimondo'}]",,,,
1249479045068345345,1249479043365429249,1586733993000,2020-04-12,19:26:33,EDT,237770636,johncarneyde,Governor John Carney,,"Thank you to Delaware’s first responders, child care workers, our grocery store employees, teachers, state workers, community organizations, reporters, and all Delawareans who are stepping up for their neighbors during this difficult time.",[],[],[],4,9,76,[],[],https://twitter.com/JohnCarneyDE/status/1249479045068345345,False,,0,,,,,,,"[{'user_id': '237770636', 'username': 'JohnCarneyDE'}]",,,,
1249479043365429249,1249479043365429249,1586733992000,2020-04-12,19:26:32,EDT,237770636,johncarneyde,Governor John Carney,,"Thank you to all of Delaware’s health care workers who have been on the front lines, risking their own health and safety to protect others. pic.twitter.com/2v0TejblLL",[],[],['https://pbs.twimg.com/media/EVcKkPzX0AAloLT.jpg'],11,33,180,[],[],https://twitter.com/JohnCarneyDE/status/1249479043365429249,False,,0,,,,,,,"[{'user_id': '237770636', 'username': 'JohnCarneyDE'}]",,,,
1249385808982925313,1249385808982925313,1586711763000,2020-04-12,13:16:03,EDT,237770636,johncarneyde,Governor John Carney,,"Wishing a happy Easter to all Delawareans celebrating today. Thank you for staying home and for gathering only with your immediate family. 

Stay safe, stay home, and have a #HappyEaster. https://twitter.com/JohnCarneyDE/status/1248644825727021056 …",[],['https://twitter.com/JohnCarneyDE/status/1248644825727021056'],[],13,11,86,['#happyeaster'],[],https://twitter.com/JohnCarneyDE/status/1249385808982925313,False,https://twitter.com/JohnCarneyDE/status/1248644825727021056,0,,,,,,,"[{'user_id': '237770636', 'username': 'JohnCarneyDE'}]",,,,
1249114078557192194,1249114078557192194,1586646978000,2020-04-11,19:16:18,EDT,237770636,johncarneyde,Governor John Carney,,"A face covering isn’t a substitute for handwashing + social distancing.

Purpose: protect OTHERS in public settings where social distancing is difficult—like grocery stores.

#StayHomeDE but if you have to go out, wear a face covering #GoBirds 

More info:  https://coronavirus.delaware.gov/guidance-for-face-coverings/ … pic.twitter.com/qKBFrHy2Vd",[],['https://coronavirus.delaware.gov/guidance-for-face-coverings/'],['https://pbs.twimg.com/media/EVW-oYAWsA0Oxu_.jpg'],21,36,172,"['#stayhomede', '#gobirds']",[],https://twitter.com/JohnCarneyDE/status/1249114078557192194,False,,0,,,,,,,"[{'user_id': '237770636', 'username': 'JohnCarneyDE'}]",,,,
1248996906065375232,1248996906065375232,1586619042000,2020-04-11,11:30:42,EDT,237770636,johncarneyde,Governor John Carney,,"We need all Delaware citizens, businesses, and nonprofits to support Delaware’s response to COVID-19. 

If you have experience in health care or child care especially, please sign up:  http://de.gov/coronavirus 

More info on our community call-to-action:  https://news.delaware.gov/2020/04/11/governor-carney-urges-delawareans-with-health-care-child-care-experience-to-assist-in-covid-19-response/ … pic.twitter.com/BEcJQRQBXw",[],"['http://de.gov/coronavirus', 'https://news.delaware.gov/2020/04/11/governor-carney-urges-delawareans-with-health-care-child-care-experience-to-assist-in-covid-19-response/']",['https://pbs.twimg.com/media/EVVTe5BXgAAHAyX.jpg'],5,32,45,[],[],https://twitter.com/JohnCarneyDE/status/1248996906065375232,False,,0,,,,,,,"[{'user_id': '237770636', 'username': 'JohnCarneyDE'}]",,,,
1248740632350339074,1248740631012429826,1586557941000,2020-04-10,18:32:21,EDT,237770636,johncarneyde,Governor John Carney,,"I also extended the State of Emergency for another 30 days as we continue to fight the spread of COVID-19. 

The days and weeks ahead will be difficult, but we all need to do our part by staying home and staying informed. For the latest DE updates, visit: http://de.gov/coronavirus ",[],['http://de.gov/coronavirus'],[],42,41,64,[],[],https://twitter.com/JohnCarneyDE/status/1248740632350339074,False,,0,,,,,,,"[{'user_id': '237770636', 'username': 'JohnCarneyDE'}]",,,,
1248740631012429826,1248740631012429826,1586557941000,2020-04-10,18:32:21,EDT,237770636,johncarneyde,Governor John Carney,,"It is important that Delawareans receive reliable and up-to-date information about COVID-19. We are partnering with @Nextdoor, a social networking platform that will reach Delawareans at a neighborhood level. 

ℹ️ More about today's announcements:  http://news.delaware.gov/2020/04/10/governor-carney-formally-extends-state-of-emergency-partners-with-nextdoor-on-neighborhood-outreach/ … pic.twitter.com/jAz8W10qze",['nextdoor'],['http://news.delaware.gov/2020/04/10/governor-carney-formally-extends-state-of-emergency-partners-with-nextdoor-on-neighborhood-outreach/'],['https://pbs.twimg.com/media/EVRq26vWAAA8phs.jpg'],16,17,51,[],[],https://twitter.com/JohnCarneyDE/status/1248740631012429826,False,,0,,,,,,,"[{'user_id': '237770636', 'username': 'JohnCarneyDE'}, {'user_id': '322207364', 'username': 'Nextdoor'}]",,,,
