id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249771866019049473,1249771866019049473,1586803807000,2020-04-13,14:50:07,EDT,47437206,briankempga,Brian Kemp,,Great to see @AUG_University using 3D printers to ensure that frontline healthcare workers have the resources and supplies they need to stay safe and help stop COVID-19 in Georgia. This innovative approach is literally saving lives.  http://ow.ly/rwoC50zcE38  #gapol,['aug_university'],['http://ow.ly/rwoC50zcE38'],[],18,12,55,['#gapol'],[],https://twitter.com/BrianKempGA/status/1249771866019049473,False,,0,,,,,,,"[{'user_id': '47437206', 'username': 'BrianKempGA'}, {'user_id': '25556278', 'username': 'AUG_University'}]",,,,
1249726572115959811,1249726572115959811,1586793008000,2020-04-13,11:50:08,EDT,47437206,briankempga,Brian Kemp,,"In preparation of a potential surge, we are building out a temporary facility w/ 200 beds at the GA World Congress Center. We are fortunate to have our state's best, brightest, & most dedicated public servants working on this critically important project. http://ow.ly/PlZ550zcuHl ",[],['http://ow.ly/PlZ550zcuHl'],[],37,23,112,[],[],https://twitter.com/BrianKempGA/status/1249726572115959811,False,,0,,,,,,,"[{'user_id': '47437206', 'username': 'BrianKempGA'}]",,,,
1249326864407179271,1249326864407179271,1586697710000,2020-04-12,09:21:50,EDT,47437206,briankempga,Brian Kemp,,"Today, we celebrate the greatest moment in history that should bring joy and hope to us all. We remember that Jesus Christ overcame sin and death. On Easter Sunday, he walked out of the grave to give us life, purpose, and a bright future. #HappyEaster #gapol pic.twitter.com/w7AsifhF7V",[],[],['https://pbs.twimg.com/media/EVaAEbtWkAA1MGZ.jpg'],44,110,940,"['#happyeaster', '#gapol']",[],https://twitter.com/BrianKempGA/status/1249326864407179271,False,,0,,,,,,,"[{'user_id': '47437206', 'username': 'BrianKempGA'}]",,,,
1249325680812228608,1249325680812228608,1586697428000,2020-04-12,09:17:08,EDT,47437206,briankempga,Brian Kemp,,"As we work to stop the spread of #COVID19 in our state, this Easter message is timely. God Bless! #gapol https://twitter.com/GovKemp/status/1249165752806096896 …",[],['https://twitter.com/GovKemp/status/1249165752806096896'],[],32,20,181,"['#covid19', '#gapol']",[],https://twitter.com/BrianKempGA/status/1249325680812228608,False,https://twitter.com/GovKemp/status/1249165752806096896,0,,,,,,,"[{'user_id': '47437206', 'username': 'BrianKempGA'}]",,,,
1248711812058578947,1248711812058578947,1586551070000,2020-04-10,16:37:50,EDT,47437206,briankempga,Brian Kemp,,Inspiring words from @GA_DOI Commissioner/Maj. General John King: “This is what Americans do. This is what Georgians do. We rise to the challenge. We've confronted crises in the past that we’ve overcome. And we will overcome this. I’m convinced.”  http://ow.ly/7jSj50zbjqt  #gapol,['ga_doi'],['http://ow.ly/7jSj50zbjqt'],[],35,14,60,['#gapol'],[],https://twitter.com/BrianKempGA/status/1248711812058578947,False,,0,,,,,,,"[{'user_id': '47437206', 'username': 'BrianKempGA'}, {'user_id': '355539135', 'username': 'GA_DOI'}]",,,,
1248632014959452161,1248632014959452161,1586532045000,2020-04-10,11:20:45,EDT,47437206,briankempga,Brian Kemp,,"On #GoodFriday, we remember the old rugged cross where Jesus Christ made the ultimate sacrifice for mankind. As the gospel writer pens, He came not to condemn the world but to save it. #gapol pic.twitter.com/mxUCQ9SObC",[],[],['https://pbs.twimg.com/media/EVQIDt8WAAE5gEl.jpg'],47,72,442,"['#goodfriday', '#gapol']",[],https://twitter.com/BrianKempGA/status/1248632014959452161,False,,0,,,,,,,"[{'user_id': '47437206', 'username': 'BrianKempGA'}]",,,,
1248274894753861638,1248274894753861638,1586446901000,2020-04-09,11:41:41,EDT,47437206,briankempga,Brian Kemp,,"The challenges are great but we are working tirelessly to keep Georgians safe. Your prayers energize us. We are blessed by your kindness. I know these are troubling times but we are in this fight together. With your help & God's grace, we will stop COVID-19 and emerge victorious. pic.twitter.com/Dn4XuBP3fq",[],[],[],77,36,247,[],[],https://twitter.com/BrianKempGA/status/1248274894753861638,False,,1,,,,,,,"[{'user_id': '47437206', 'username': 'BrianKempGA'}]",,,,
1247910143033053185,1247910143033053185,1586359937000,2020-04-08,11:32:17,EDT,47437206,briankempga,Brian Kemp,,"We are extending the Public Health State of Emergency through May 13. This will allow us to continue deploying resources, lend support to frontline healthcare workers, and help as we prepare for a potential patient surge in our hospitals.  http://ow.ly/FwlT50z8VTW  #gapol",[],['http://ow.ly/FwlT50z8VTW'],[],174,74,164,['#gapol'],[],https://twitter.com/BrianKempGA/status/1247910143033053185,False,,0,,,,,,,"[{'user_id': '47437206', 'username': 'BrianKempGA'}]",,,,
1247573262541914118,1247573262541914118,1586279619000,2020-04-07,13:13:39,EDT,47437206,briankempga,Brian Kemp,,"Incredibly proud of Comm. John King for working around the clock to keep the American people safe from COVID-19. Even while deployed, King continues to lead @GA_DOI & play a vital role on our Coronavirus TF. Stay safe & keep choppin', General!
 http://ow.ly/k8aP50z7U58  #gapol",['ga_doi'],['http://ow.ly/k8aP50z7U58'],[],51,17,65,['#gapol'],[],https://twitter.com/BrianKempGA/status/1247573262541914118,False,,0,,,,,,,"[{'user_id': '47437206', 'username': 'BrianKempGA'}, {'user_id': '355539135', 'username': 'GA_DOI'}]",,,,
1247525811084595200,1247525811084595200,1586268305000,2020-04-07,10:05:05,EDT,47437206,briankempga,Brian Kemp,,"Appreciate @PresKeel and @AUG_University for playing a vital role in the fight against COVID-19. By expanding testing in rural hospitals, we can keep all Georgians safe and healthy - no matter their zip code.  http://ow.ly/UpNr50z7Eks  #gapol","['preskeel', 'aug_university']",['http://ow.ly/UpNr50z7Eks'],[],22,29,82,['#gapol'],[],https://twitter.com/BrianKempGA/status/1247525811084595200,False,,0,,,,,,,"[{'user_id': '47437206', 'username': 'BrianKempGA'}, {'user_id': '2535644011', 'username': 'PresKeel'}, {'user_id': '25556278', 'username': 'AUG_University'}]",,,,
