id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249838853579407360,1249838853579407360,1586819778000,2020-04-13,19:16:18,EDT,259341329,tatereeves,Tate Reeves,,"I want to highlight some stories of Mississippi small businesses stepping up to help their communities face COVID-19. They deserve a big thank you! If you’ve seen any go above and beyond to lend a hand to support fellow Mississippians, comment below with their name and the story!",[],[],[],40,13,120,[],[],https://twitter.com/tatereeves/status/1249838853579407360,False,,0,,,,,,,"[{'user_id': '259341329', 'username': 'tatereeves'}]",,,,
1249807545910415360,1249807545910415360,1586812313000,2020-04-13,17:11:53,EDT,259341329,tatereeves,Tate Reeves,,"Listen to the father of a legendary Mississippi family—Archie Manning.

#StayHome #StayHealthyMS pic.twitter.com/Q1Youi1gUG",[],[],[],9,24,76,"['#stayhome', '#stayhealthyms']",[],https://twitter.com/tatereeves/status/1249807545910415360,False,,1,,,,,,,"[{'user_id': '259341329', 'username': 'tatereeves'}]",,,,
1249761361833443328,1249761317201854464,1586801302000,2020-04-13,14:08:22,EDT,259341329,tatereeves,Tate Reeves,,These are difficult days for Mississippi. We will get through. Mississippians are strong. We will emerge stronger. Stay safe and God bless.,[],[],[],4,8,39,[],[],https://twitter.com/tatereeves/status/1249761361833443328,False,,0,,,,,,,"[{'user_id': '259341329', 'username': 'tatereeves'}]",,,,
1249761359677599744,1249761317201854464,1586801302000,2020-04-13,14:08:22,EDT,259341329,tatereeves,Tate Reeves,,This storm was as bad or worse than anything we’ve seen in a decade. We are used to tornadoes in Mississippi. No one is used to this. Winds topped 200 MPH. The trail was long and devastating.,[],[],[],2,12,18,[],[],https://twitter.com/tatereeves/status/1249761359677599744,False,,0,,,,,,,"[{'user_id': '259341329', 'username': 'tatereeves'}]",,,,
1249761354296233988,1249761317201854464,1586801300000,2020-04-13,14:08:20,EDT,259341329,tatereeves,Tate Reeves,,Our chainsaw crews and other responders are ready to roll anywhere additional resources are needed. We’re flexing to support local efforts. Local first responders have done an incredible job executing. It is inspiring to see.,[],[],[],2,2,12,[],[],https://twitter.com/tatereeves/status/1249761354296233988,False,,0,,,,,,,"[{'user_id': '259341329', 'username': 'tatereeves'}]",,,,
1249761352568188928,1249761317201854464,1586801300000,2020-04-13,14:08:20,EDT,259341329,tatereeves,Tate Reeves,,The Red Cross is sheltering families with nowhere to go. Many are in hotels. We’re pushing out tarps and water.,[],[],[],1,3,11,[],[],https://twitter.com/tatereeves/status/1249761352568188928,False,,0,,,,,,,"[{'user_id': '259341329', 'username': 'tatereeves'}]",,,,
1249761350382948352,1249761317201854464,1586801300000,2020-04-13,14:08:20,EDT,259341329,tatereeves,Tate Reeves,,"Tens of thousands of Mississippians lost power. We already know that hundreds of homes were destroyed or badly damaged. Meanwhile, we are facing an unemployment crisis—8,000% increase—that leaves many of these people especially vulnerable. Tens of thousands just lost their jobs.",[],[],[],1,6,8,[],[],https://twitter.com/tatereeves/status/1249761350382948352,False,,0,,,,,,,"[{'user_id': '259341329', 'username': 'tatereeves'}]",,,,
1249761347769962498,1249761317201854464,1586801299000,2020-04-13,14:08:19,EDT,259341329,tatereeves,Tate Reeves,,"There were 12 or more tornadoes last night in our state—affecting almost every region. Two followed the same long, destructive, deadly path through south Mississippi.",[],[],[],1,4,9,[],[],https://twitter.com/tatereeves/status/1249761347769962498,False,,0,,,,,,,"[{'user_id': '259341329', 'username': 'tatereeves'}]",,,,
1249761346092179461,1249761317201854464,1586801299000,2020-04-13,14:08:19,EDT,259341329,tatereeves,Tate Reeves,,At least 11 Mississippians lost their lives from these horrific tornadoes. Injury numbers will soon go up dramatically.,[],[],[],1,2,9,[],[],https://twitter.com/tatereeves/status/1249761346092179461,False,,0,,,,,,,"[{'user_id': '259341329', 'username': 'tatereeves'}]",,,,
1249761317201854464,1249761317201854464,1586801292000,2020-04-13,14:08:12,EDT,259341329,tatereeves,Tate Reeves,,"On Easter Sunday, we saw savage storms across the state. We are still in the response phase. We are just beginning the work of damage assessment. Numbers will go up. That said, here’s what we know so far:",[],[],[],10,15,55,[],[],https://twitter.com/tatereeves/status/1249761317201854464,False,,0,,,,,,,"[{'user_id': '259341329', 'username': 'tatereeves'}]",,,,
