id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249833026768470016,1249833026768470016,1586818389000,2020-04-13,18:53:09,EDT,2891165960,govricketts,Gov. Pete Ricketts,,Thank you to @FoodBankLincoln and Foodnet for helping families across our state during the #COVID19 pandemic! https://governor.nebraska.gov/press/gov-ricketts-food-bank-leaders-discuss-efforts-enhance-food-security-nebraska …,['foodbanklincoln'],['https://governor.nebraska.gov/press/gov-ricketts-food-bank-leaders-discuss-efforts-enhance-food-security-nebraska'],[],4,2,18,['#covid19'],[],https://twitter.com/GovRicketts/status/1249833026768470016,False,,0,,,,,,,"[{'user_id': '2891165960', 'username': 'GovRicketts'}, {'user_id': '176457431', 'username': 'FoodBankLincoln'}]",,,,
1249806144140427264,1249806144140427264,1586811979000,2020-04-13,17:06:19,EDT,2891165960,govricketts,Gov. Pete Ricketts,,"On Tuesday at 2:00pm, I will provide an update on the state's #COVID19 response with @NeDeptAg and the Nebraska Restaurant Association. I encourage everyone to watch online. Link to live stream here:  http://netnebraska.org/basic-page/television/live-demand-state-government …",['nedeptag'],['http://netnebraska.org/basic-page/television/live-demand-state-government'],[],7,23,24,['#covid19'],[],https://twitter.com/GovRicketts/status/1249806144140427264,False,,0,,,,,,,"[{'user_id': '2891165960', 'username': 'GovRicketts'}, {'user_id': '79267291', 'username': 'NeDeptAg'}]",,,,
1249802706702786560,1249802706702786560,1586811160000,2020-04-13,16:52:40,EDT,2891165960,govricketts,Gov. Pete Ricketts,,"WATCH: Nebraska is the Beef State and we help feed the world. During this time, we are also taking steps to make sure our families continue to have access to food during #COVID19. https://youtu.be/yHN4msQWdDg ",[],['https://youtu.be/yHN4msQWdDg'],[],0,3,12,['#covid19'],[],https://twitter.com/GovRicketts/status/1249802706702786560,False,,0,,,,,,,"[{'user_id': '2891165960', 'username': 'GovRicketts'}]",,,,
1249760610142822402,1249760610142822402,1586801123000,2020-04-13,14:05:23,EDT,2891165960,govricketts,Gov. Pete Ricketts,,WATCH NOW as Gov. Ricketts provides an update on the state's #COVID19 response with Food Bank of Lincoln: https://www.facebook.com/GovernorPeteRicketts/videos/231492227930756/ …,[],['https://www.facebook.com/GovernorPeteRicketts/videos/231492227930756/'],[],4,2,4,['#covid19'],[],https://twitter.com/GovRicketts/status/1249760610142822402,False,,0,,,,,,,"[{'user_id': '2891165960', 'username': 'GovRicketts'}]",,,,
1249745733693079554,1249745733693079554,1586797576000,2020-04-13,13:06:16,EDT,2891165960,govricketts,Gov. Pete Ricketts,,It's Day 4 of 21 Days to #StayHome and Stay Healthy. We are asking everyone to follow the Six Rules to Keep Nebraska Healthy as we work together to slow the spread and win the war against the virus. pic.twitter.com/q1RkGzeAi0,[],[],[],17,32,55,['#stayhome'],[],https://twitter.com/GovRicketts/status/1249745733693079554,False,,1,,,,,,,"[{'user_id': '2891165960', 'username': 'GovRicketts'}]",,,,
1249715095564886016,1249715095564886016,1586790272000,2020-04-13,11:04:32,EDT,2891165960,govricketts,Gov. Pete Ricketts,,Wishing all Nebraskans a #HappyPassover! pic.twitter.com/wDPfEf6w0X,[],[],['https://pbs.twimg.com/media/EVfhJBBXgA01k1E.jpg'],15,5,49,['#happypassover'],[],https://twitter.com/GovRicketts/status/1249715095564886016,False,,0,,,,,,,"[{'user_id': '2891165960', 'username': 'GovRicketts'}]",,,,
1249712101536473090,1249712101536473090,1586789558000,2020-04-13,10:52:38,EDT,2891165960,govricketts,Gov. Pete Ricketts,,"Today at 1:00pm, I will provide an update on the state's #COVID19 response with @FoodBankLincoln. I encourage everyone to watch online. Link to live stream here:  http://netnebraska.org/basic-page/television/live-demand-state-government …",['foodbanklincoln'],['http://netnebraska.org/basic-page/television/live-demand-state-government'],[],4,17,25,['#covid19'],[],https://twitter.com/GovRicketts/status/1249712101536473090,False,,0,,,,,,,"[{'user_id': '2891165960', 'username': 'GovRicketts'}, {'user_id': '176457431', 'username': 'FoodBankLincoln'}]",,,,
1249349093605990401,1249349090833584133,1586703010000,2020-04-12,10:50:10,EDT,2891165960,govricketts,Gov. Pete Ricketts,,"We also pray for grace and wisdom during this incredibly challenging time. Susanne, the kids, and I wish all Nebraskans a healthy, happy, and blessed Easter and Resurrection Sunday.",[],[],[],6,2,60,[],[],https://twitter.com/GovRicketts/status/1249349093605990401,False,,0,,,,,,,"[{'user_id': '2891165960', 'username': 'GovRicketts'}]",,,,
1249349092716789760,1249349090833584133,1586703010000,2020-04-12,10:50:10,EDT,2891165960,govricketts,Gov. Pete Ricketts,,"On this #Easter weekend, we pray for those suffering due to the coronavirus pandemic as well as the healthcare workers, first responders, and law enforcement who are on the front lines of waging the war against the virus.",[],[],[],3,3,58,['#easter'],[],https://twitter.com/GovRicketts/status/1249349092716789760,False,,0,,,,,,,"[{'user_id': '2891165960', 'username': 'GovRicketts'}]",,,,
1249349091865305093,1249349090833584133,1586703009000,2020-04-12,10:50:09,EDT,2891165960,govricketts,Gov. Pete Ricketts,,This Good News inspires us with hope and strengthens us through hardship.,[],[],[],2,3,37,[],[],https://twitter.com/GovRicketts/status/1249349091865305093,False,,0,,,,,,,"[{'user_id': '2891165960', 'username': 'GovRicketts'}]",,,,
