id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249849096711614465,1249849091678486535,1586822220000,2020-04-13,19:57:00,EDT,2978837542,governortomwolf,Governor Tom Wolf,,"Finally, phase three is getting back to our normal lives. This will require time and a recognition that the new ""normal"" will be different.

Right now, we need to keep doing what we’re doing to restrain #COVID19.

Together, we can save lives. http://on.pa.gov/2V8h5vE ",[],['http://on.pa.gov/2V8h5vE'],[],112,47,392,['#covid19'],[],https://twitter.com/GovernorTomWolf/status/1249849096711614465,False,,0,,,,,,,"[{'user_id': '2978837542', 'username': 'GovernorTomWolf'}]",,,,
1249849095642058752,1249849091678486535,1586822220000,2020-04-13,19:57:00,EDT,2978837542,governortomwolf,Governor Tom Wolf,,"We do not know exactly when we will achieve victory.

First, we need tests that can tell us when we are sick and when we are immune.

Once we have access to better #COVID19 testing, we will move into the second phase. This is when we start to slowly reopen our world.",[],[],[],95,52,399,['#covid19'],[],https://twitter.com/GovernorTomWolf/status/1249849095642058752,False,,0,,,,,,,"[{'user_id': '2978837542', 'username': 'GovernorTomWolf'}]",,,,
1249849094694199297,1249849091678486535,1586822219000,2020-04-13,19:56:59,EDT,2978837542,governortomwolf,Governor Tom Wolf,,"Phase one in the battle against #COVID19 is primarily focused on our front line.
 
Making sure our hospitals are equipped with life-saving equipment and keeping them under capacity is key.
 
This strategy is working so far. We are making real progress in bending the curve.",[],[],[],9,17,162,['#covid19'],[],https://twitter.com/GovernorTomWolf/status/1249849094694199297,False,,0,,,,,,,"[{'user_id': '2978837542', 'username': 'GovernorTomWolf'}]",,,,
1249849093645533186,1249849091678486535,1586822219000,2020-04-13,19:56:59,EDT,2978837542,governortomwolf,Governor Tom Wolf,,"I know there are many unanswered questions so I’m going to try to outline some of what lies ahead.
 
In my perspective, the process of dealing with #COVID19 is laid out in three phases.
 
Right now, we are in phase one.",[],[],[],5,12,109,['#covid19'],[],https://twitter.com/GovernorTomWolf/status/1249849093645533186,False,,0,,,,,,,"[{'user_id': '2978837542', 'username': 'GovernorTomWolf'}]",,,,
1249849091678486535,1249849091678486535,1586822219000,2020-04-13,19:56:59,EDT,2978837542,governortomwolf,Governor Tom Wolf,,"Tonight I want to thank Pennsylvanians for all the sacrifices they've made during the #COVID19 pandemic.
 
Our commonwealth is made up of great people who are willing to step up to help a neighbor in need. It's truly an honor to stand with you all. pic.twitter.com/PU0LzlZsRf",[],[],['https://pbs.twimg.com/media/EVhUs70XgAUMhZZ.jpg'],199,178,1523,['#covid19'],[],https://twitter.com/GovernorTomWolf/status/1249849091678486535,False,,0,,,,,,,"[{'user_id': '2978837542', 'username': 'GovernorTomWolf'}]",,,,
1249808652824989697,1249808649456963585,1586812577000,2020-04-13,17:16:17,EDT,2978837542,governortomwolf,Governor Tom Wolf,,"This is about restoring our economy, but it's also about restoring the sense of hope this pandemic has taken away from us.

By working together, we can all be stronger. And by starting now to develop this plan, we can reopen as soon and as safely as possible.",[],[],[],77,40,463,[],[],https://twitter.com/GovernorTomWolf/status/1249808652824989697,False,,0,,,,,,,"[{'user_id': '2978837542', 'username': 'GovernorTomWolf'}]",,,,
1249808651881152515,1249808649456963585,1586812577000,2020-04-13,17:16:17,EDT,2978837542,governortomwolf,Governor Tom Wolf,,This collaboration is an opportunity to create a plan that will help ensure safety while we allow our supply chain to restart and power businesses throughout our region.,[],[],[],19,27,412,[],[],https://twitter.com/GovernorTomWolf/status/1249808651881152515,False,,0,,,,,,,"[{'user_id': '2978837542', 'username': 'GovernorTomWolf'}]",,,,
1249808649456963585,1249808649456963585,1586812577000,2020-04-13,17:16:17,EDT,2978837542,governortomwolf,Governor Tom Wolf,,"Joining fellow governors @nygovcuomo, @GovMurphy, @GovNedLamont, @JohnCarneyDE, and @GovRaimondo today by phone to announce the creation of a multi-state council to combat #COVID19 and get people safely back to work. pic.twitter.com/lrxJnNg9rH","['nygovcuomo', 'govmurphy', 'govnedlamont', 'johncarneyde', 'govraimondo']",[],['https://pbs.twimg.com/media/EVg2SezXsAEo7Qc.jpg'],365,483,3542,['#covid19'],[],https://twitter.com/GovernorTomWolf/status/1249808649456963585,False,,0,,,,,,,"[{'user_id': '2978837542', 'username': 'GovernorTomWolf'}, {'user_id': '232268199', 'username': 'NYGovCuomo'}, {'user_id': '948946378939609089', 'username': 'GovMurphy'}, {'user_id': '1076293903723233280', 'username': 'GovNedLamont'}, {'user_id': '237770636', 'username': 'JohnCarneyDE'}, {'user_id': '240778059', 'username': 'GovRaimondo'}]",,,,
1249698857425960960,1249698857425960960,1586786400000,2020-04-13,10:00:00,EDT,2978837542,governortomwolf,Governor Tom Wolf,,"Our primary election is only 50 days away.
Are you ready to vote on June 2? 🇺🇸

Visit  http://PA.gov/Voting  to learn how to:
ℹ️ Check your voter registration status.
📋 Register or update your voter registration.
📬 Sign up to vote by mail ballot.",[],['http://PA.gov/Voting'],[],129,194,447,[],[],https://twitter.com/GovernorTomWolf/status/1249698857425960960,False,,0,,,,,,,"[{'user_id': '2978837542', 'username': 'GovernorTomWolf'}]",,,,
1249668658277670912,1249668658277670912,1586779200000,2020-04-13,08:00:00,EDT,2978837542,governortomwolf,Governor Tom Wolf,,Shout out to @PAHealthDept @SecretaryLevine. Thank you for your tireless efforts to keep Pennsylvanians safe and informed during #COVID19 pic.twitter.com/XWqaWWJXYH,"['pahealthdept', 'secretarylevine']",[],[],188,334,2440,['#covid19'],[],https://twitter.com/GovernorTomWolf/status/1249668658277670912,False,,1,,,,,,,"[{'user_id': '2978837542', 'username': 'GovernorTomWolf'}, {'user_id': '3218464527', 'username': 'PAHealthDept'}, {'user_id': '3688119747', 'username': 'SecretaryLevine'}]",,,,
