id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249835541203423232,1249835541203423232,1586818988000,2020-04-13,19:03:08,EDT,1081334766924754944,governorgordon,Governor Mark Gordon,,"Wyoming's first death related to COVID-19 was reported today along with 5 new cases. We must continue to be vigilant about following public health guidance and social distancing, particularly because this disease is so dangerous to those who are most vulnerable. #StaySafeStayHome pic.twitter.com/KFhBIxsTSO",[],[],['https://pbs.twimg.com/media/EVhOuKaWsAA0efa.jpg'],17,15,39,['#staysafestayhome'],[],https://twitter.com/GovernorGordon/status/1249835541203423232,False,,0,,,,,,,"[{'user_id': '1081334766924754944', 'username': 'GovernorGordon'}]",,,,
1249799673910636550,1249799673910636550,1586810437000,2020-04-13,16:40:37,EDT,1081334766924754944,governorgordon,Governor Mark Gordon,,"Today we honor the lineworkers who work 24-hours a day, 7-days a week to make sure we have power to our homes, businesses and hospitals. They put their lives on the line and work in harsh conditions to make sure we have this public utility. Thank you for your work. pic.twitter.com/ZPnYLzMOnj",[],[],['https://pbs.twimg.com/media/EVguKSbXkAAm4Ir.jpg'],5,11,101,[],[],https://twitter.com/GovernorGordon/status/1249799673910636550,False,,0,,,,,,,"[{'user_id': '1081334766924754944', 'username': 'GovernorGordon'}]",,,,
1249762176673484802,1249762175897534466,1586801497000,2020-04-13,14:11:37,EDT,1081334766924754944,governorgordon,Governor Mark Gordon,,...and sadly serves as a grim reminder of the importance of following public health orders and guidance so we can reduce the number of serious illnesses and deaths in our state. Jennie and I extend our thoughts and prayers to this gentleman’s family and friends.,[],[],[],7,8,53,[],[],https://twitter.com/GovernorGordon/status/1249762176673484802,False,,0,,,,,,,"[{'user_id': '1081334766924754944', 'username': 'GovernorGordon'}]",,,,
1249762175897534466,1249762175897534466,1586801496000,2020-04-13,14:11:36,EDT,1081334766924754944,governorgordon,Governor Mark Gordon,,"I am saddened to learn that we have lost our first Wyoming citizen to COVID-19, a Johnson County man with underlying health conditions that put him at higher risk of severe illness and complications related to the virus.  This one was close to home... 1/2",[],[],[],20,33,127,[],[],https://twitter.com/GovernorGordon/status/1249762175897534466,False,,0,,,,,,,"[{'user_id': '1081334766924754944', 'username': 'GovernorGordon'}]",,,,
1249745792170156035,1249745792170156035,1586797590000,2020-04-13,13:06:30,EDT,1081334766924754944,governorgordon,Governor Mark Gordon,,"While several states reported some positive news during this morning's Governor's call with @VP, the importance of social distancing measures was reinforced- particularly for those with underlying health conditions. It's critical we stay the course. #StaySafeStayHome pic.twitter.com/jyaqI3TFHF",['vp'],[],['https://pbs.twimg.com/media/EVf9AvpWAAMFB7r.jpg'],10,12,69,['#staysafestayhome'],[],https://twitter.com/GovernorGordon/status/1249745792170156035,False,,0,,,,,,,"[{'user_id': '1081334766924754944', 'username': 'GovernorGordon'}, {'user_id': '818910970567344128', 'username': 'VP'}]",,,,
1249533905155153922,1249533905155153922,1586747072000,2020-04-12,23:04:32,EDT,1081334766924754944,governorgordon,Governor Mark Gordon,,"We have confirmed 70 new cases of COVID-19 in Wyoming in the past 7 days, and there are now confirmed cases in all but two Wyoming counties. Remember, the ""recovered"" number in parenthesis on this map includes probable cases that have recovered. More data:  https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/covid-19-map-and-statistics/ … pic.twitter.com/Vs9EQDosC1",[],['https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/covid-19-map-and-statistics/'],['https://pbs.twimg.com/media/EVc8HkDVAAIkUkW.jpg'],12,14,40,[],[],https://twitter.com/GovernorGordon/status/1249533905155153922,False,,0,,,,,,,"[{'user_id': '1081334766924754944', 'username': 'GovernorGordon'}]",,,,
1249326902369644545,1249326902369644545,1586697719000,2020-04-12,09:21:59,EDT,1081334766924754944,governorgordon,Governor Mark Gordon,,"In these uncertain times, may the miracle of Easter bring you renewed hope, love and joy. Jennie and I wish each of you and your families a safe and blessed holiday. pic.twitter.com/16iCai1gMD",[],[],['https://pbs.twimg.com/media/EVaAHR1UMAAh8XI.jpg'],15,14,211,[],[],https://twitter.com/GovernorGordon/status/1249326902369644545,False,,0,,,,,,,"[{'user_id': '1081334766924754944', 'username': 'GovernorGordon'}]",,,,
1249170570576629761,1249170570576629761,1586660447000,2020-04-11,23:00:47,EDT,1081334766924754944,governorgordon,Governor Mark Gordon,,"Teton and Laramie counties continue to have the largest number of confirmed COVID-19 cases. Stay safe tomorrow—a spring snowstorm should make it easy to choose to stay home and celebrate with family. Wyoming, your efforts are making a difference. Thank you. pic.twitter.com/7Yl16yAShy",[],[],['https://pbs.twimg.com/media/EVXyAiLU0AA86Nk.jpg'],7,17,76,[],[],https://twitter.com/GovernorGordon/status/1249170570576629761,False,,0,,,,,,,"[{'user_id': '1081334766924754944', 'username': 'GovernorGordon'}]",,,,
1248742335745347585,1248742335745347585,1586558348000,2020-04-10,18:39:08,EDT,1081334766924754944,governorgordon,Governor Mark Gordon,,"This graphic offers basic info; Visit the Wyoming Department of Health website for data on demographics like age and gender of those diagnosed, along with the most common symptoms in confirmed positive cases. #StayHomeStaySafe this holiday weekend. pic.twitter.com/91q0mp83sP",[],[],['https://pbs.twimg.com/media/EVRseEGXgAAA9zK.jpg'],11,12,36,['#stayhomestaysafe'],[],https://twitter.com/GovernorGordon/status/1248742335745347585,False,,0,,,,,,,"[{'user_id': '1081334766924754944', 'username': 'GovernorGordon'}]",,,,
1248680337615585280,1248680337615585280,1586543566000,2020-04-10,14:32:46,EDT,1081334766924754944,governorgordon,Governor Mark Gordon,,I had a great call with Dr. Anthony Fauci this morning. We discussed the potential for antibody testing and the need for Wyoming to have access to additional diagnostic testing materials. Dr. Fauci also praised the actions we have taken to date to #SlowtheSpread.,[],[],[],30,50,264,['#slowthespread'],[],https://twitter.com/GovernorGordon/status/1248680337615585280,False,,0,,,,,,,"[{'user_id': '1081334766924754944', 'username': 'GovernorGordon'}]",,,,
