State,Name,Handle,Second Account,Notes
Alabama,Kay Ivey,@GovernorKayIvey,,
Alaska,Mike Dunleavy,@GovDunleavy,@MikeDunleavyGov,
Arizona,Doug Ducey,@dougducey,@9thFloorAZ,
Arkansas,Asa Hutchinson,@AsaHutchinson,@AsaforAR,
California,Gavin Newsom,@GavinNewsom,,
Colorado,Jared Polis,@GovofCO,@jaredpolis,
Connecticut,Ned Lamont,@GovNedLamont,,
Delaware,John Carney,@JohnCarneyDE,,
Florida,Ron DeSantis,@RonDeSantisFL,,
Georgia,Brian Kemp,@BrianKempGA,@GovKemp,"unclear which is official, both verified"
Hawaii,David Ige,@GovHawaii,,
Idaho,Brad Little,@GovernorLittle,@IdahoCOVID19,<-- they have their own Corona Twitter
Illinois,J.B. Pritzker,@GovPritzker,@JBPritzker,
Indiana,Eric Holcomb,@GovHolcomb,,
Iowa,Kim Reynolds,@IAGovernor,@KimReynoldsIA,
Kansas,Laura Kelly,@GovLauraKelly,@LauraKellyKS,
Kentucky,Andy Beshear,@GovAndyBeshear,@AndyBeshearKY,
Louisiana,John Bel Edwards,@LouisianaGov,@JohnBelforLA,
Maine,Janet Mills,@GovJanetMills,@JanetMillsforME,
Maryland,Larry Hogan,@GovLarryHogan,@LarryHogan,
Massachusetts,Charlie Baker,@MassGovernor,@CharlieBakerMA,
Michigan,Gretchen Whitmer,@GovWhitmer,@gretchenwhitmer,
Minnesota,Tim Walz,@GovernorTimWalz,@Tim_Walz,
Mississippi,Tate Reeves,@tatereeves,,
Missouri,Mike Parson,@GovParsonMO,@mikeparson,
Montana,Steve Bullock,@GovernorBullock,@stevebullockmt,
Nebraska,Pete Ricketts,@GovRicketts,,
Nevada,Steve Sisolak,@SteveSisolak,,
New Hampshire,Chris Sununu,@GovChrisSununu,@ChrisSununu,
New Jersey,Phil Murphy,@GovMurphy,@PhilMurphyNJ,
New Mexico,Michelle Lujan Grisham,@GovMLG,@Michelle4NM,
New York,Andrew Cuomo,@NYGovCuomo,,
North Carolina,Roy Cooper,@NC_Governor,@RoyCooperNC,
North Dakota,Doug Burgum,@DougBurgum,@DougForDakota,
Ohio,Mike DeWine,@GovMikeDeWine,@MikeDeWine,
Oklahoma,Kevin Stitt,@GovStitt,,
Oregon,Kate Brown,@OregonGovBrown,@KateBrownForOR,
Pennsylvania,Tom Wolf,@GovernorTomWolf,@TomWolfPA,
Rhode Island,Gina Raimondo,@GovRaimondo,,
South Carolina,Henry McMaster,@henrymcmaster,,
South Dakota,Kristi Noem,@govkristinoem,@KristiNoem,
Tennessee,Bill Lee,@GovBillLee,@BillLeeTN,
Texas,Greg Abbott,@GovAbbott,@GregAbbott_TX,
Utah,Gary Herbert,@GovHerbert,,
Vermont,Phil Scott,@GovPhilScott,,
Virginia,Ralph Northam,@GovernorVA,@RalphNortham,
Washington,Jay Inslee,@GovInslee,@JayInslee,
West Virginia,Jim Justice,@JimJusticeWV,@WVGovernor,"unclear which is truly his governor account, both named Governor Jim Justice and verified"
Wisconsin,Tony Evers,@GovEvers,@Tony4WI,
Wyoming,Mark Gordon,@GovernorGordon,,
