,title,genre,rating,runtime,age_rating,years
0,The Walking Dead,"Drama, Horror, Thriller",8.2,44 min,TV-14,(2010–2022)
1,Grey's Anatomy,"Drama, Romance",7.6,41 min,TV-14,(2005– )
2,Game of Thrones,"Action, Adventure, Drama",9.3,57 min,TV-MA,(2011–2019)
3,Line of Duty,"Crime, Drama, Mystery",8.7,60 min,TV-14,(2012– )
4,Attack on Titan,"Animation, Action, Adventure",8.9,24 min,TV-MA,(2013– )
5,Shameless,"Comedy, Drama",8.6,46 min,TV-MA,(2011–2021)
6,The Blacklist,"Crime, Drama, Mystery",8.0,43 min,TV-14,(2013– )
7,The Crown,"Biography, Drama, History",8.7,58 min,TV-MA,(2016– )
8,The Office,Comedy,8.9,22 min,TV-14,(2005–2013)
9,Breaking Bad,"Crime, Drama, Thriller",9.5,49 min,TV-MA,(2008–2013)
10,Vikings,"Action, Adventure, Drama",8.5,44 min,TV-MA,(2013–2020)
11,Criminal Minds,"Crime, Drama, Mystery",8.1,42 min,TV-14,(2005–2020)
12,Peaky Blinders,"Crime, Drama",8.8,60 min,TV-MA,(2013– )
13,Money Heist,"Action, Crime, Mystery",8.3,70 min,TV-MA,(2017– )
14,The Handmaid's Tale,"Drama, Sci-Fi, Thriller",8.4,60 min,TV-MA,(2017– )
15,This Is Us,"Comedy, Drama, Romance",8.7,45 min,TV-14,(2016– )
16,Schitt's Creek,Comedy,8.5,22 min,TV-14,(2015–2020)
17,The Flash,"Action, Adventure, Drama",7.7,43 min,TV-PG,(2014– )
18,Stranger Things,"Drama, Fantasy, Horror",8.7,51 min,TV-14,(2016– )
19,Outlander,"Drama, Fantasy, Romance",8.4,64 min,TV-MA,(2014– )
20,Snowpiercer,"Action, Drama, Sci-Fi",6.9,60 min,TV-MA,(2020– )
21,Modern Family,"Comedy, Drama, Romance",8.4,22 min,TV-PG,(2009–2020)
22,New Amsterdam,Drama,8.1,43 min,TV-14,(2018– )
23,Rebel,"Crime, Drama",6.7,N/A,TV-14,(2021– )
24,Brooklyn Nine-Nine,"Comedy, Crime",8.4,22 min,TV-14,(2013–2022)
