,title,streamin platform
0,WandaVision,Disney+
1,The Mandalorian,Disney+
2,The Falcon and the Winter Soldier,Disney+
3,Loki,Disney+
4,The Mysterious Benedict Society,Disney+
5,Star Wars: The Clone Wars,Disney+
6,The Morning Show,Apple TV+
7,See,Apple TV+
8,For All Mankind,Apple TV+
9,Servant,Apple TV+
10,Truth Be Told,Apple TV+
11,Central Park,Apple TV+
12,Snoopy in Space,Apple TV+
13,Amazing Stories,Apple TV+
14,Little America,Apple TV+
15,Trying,Apple TV+
16,Ted Lasso,Apple TV+
17,Doug Unplugs,Apple TV+
18,Oprah's Book Club,Apple TV+
19,The Oprah Conversation,Apple TV+
20,Tiny World,Apple TV+
21,Sesame Street,Youtube TV
22,The Blue Planet,Discovery+
23,Life,Discovery+
24,Frozen Planet,Discovery+
25,Masterchef UK,Amazon Prime
26,Masterchef Australia,Disney+
