,TV_show,review_title,review_content,review_helpful,review_rating,review_date
0,The Venture Bros., My Favorite Adult Swim Original,"This action-comedy spoof of sixties Johnny Quest-style super-science, evil nemeses, and supernatural happenings is by far, the best original Adult Swim program to date. The story follows The Venture family, Dr. Venture, a forty-something pill-popping scientist who never managed to step out from his father's shadow, his two sons, Hank and Dean (both rather Leave it to Beaver-like in their refusal to swear and constant wearing of sweaters and pants), Brock Samson, their James-Bond-on-steroids bodyguard who apparently works part-time for the office of secret intelligence and refuses to carry a gun, favoring of his serrated bowie knife. Most of the hilarity stems from The Monarch, the self-declared arch-nemesis of the Venture family, a weaver of ridiculously circuitous plans against them, an employer of hilariously incompetent henchmen, and a man who harbors an unhealthy obsession with monarch butterflies and an over-wrought sense of self-importance. His melodrama usually falls on the deaf ears of his girlfriend, Dr. Girlfriend, who, in complete contrast to the Monarch, is professional, take-charge, and inexplicably husky-voiced. The cast of supporting characters is of equal quality, including a well-meaning but dim-witted robot named Helper, a necromancer renting out the Venture family's garage apartment named Dr. Byron Orpheus (doctorate in communications, minor in women's studies), whose propensity towards unnecessarily dramatic changes in pitch and dire warnings of disruptions in the spirit world offer the Monarch's only competition in the melodrama department. Baron Underbheit, the tyrannical and oppressive ruler of Underland, who sports an Arnold-like accent, enormous (and anatomically complimentary) armor, and a metal lower jaw, is another arch-nemesis of the Venture family, blaming Dr. Venture's inattentiveness when they were college lab partners for the loss of his jaw. There's a myriad of others, ranging from fake ghost pirates to the forbidden love of a fugitive and a sasquatch. Check it out; you won't be disappointed.",81 out of 83 found this helpful.,,6 June 2005
1,The Venture Bros., Best cartoon I've seen in years.,"This cartoon blasts every other modern cartoon right out of the water. It's even better than Family Guy (another great show, but which tends to get too sporadic, and even just plain dumb at times). It has hilarious characters and plot lines, and a razor wit. I love how the characters get put into all these horrible situations, and they each react in their own unrealistic but hilarious way.<br/><br/>The jazzy music and voices are also top-notch. Unlike many other cartoons, the voices are funny without getting unbearably grating. Speaking of which, when I first saw this, Brock Samson sounded really familiar... turns out he's none other than Patrick Wharburton (aka David Puddy). They could not have picked a better actor for the part.<br/><br/>If you like dark humor, satire, and overall zaniness, it doesn't get better than this.<br/><br/>9/10 stars.",92 out of 99 found this helpful.,10.0,8 December 2004
2,The Venture Bros., Adult Swim Redeemed,"Adult swim's shows have gone off the deep end of fairly entertaining nonsense to just pure absurdity. I do not see the appeal to any of them anymore and I do not often watch the programming block anymore. <br/><br/>Venture Bros. However stands apart from the rest and provides truly intelligent, well thought out, over-the-top and hilarious entertainment. The show is a perfect balance between tasteless humor and really clever subtleties. The homage/lambasting of early adventure animation/comics is spot on. The characters are full of depth and they're engaging. Brock Samson could pwn Chuck Norris any day of the week. What more could one want?<br/><br/>When I first saw this show I thought it was one of the more ******* up shows I'd ever seen. I was surprised just how graphic it was with particularly disturbing images(guy getting his eyes gouged out, watching a henchman struggle with his last breaths as he's strangled to death by Brock, poll vaulting off henchman's jugular...etc.) <br/><br/>I was not turned off though because aside from the surprising imagery, the jokes and references were all spot-on. I was laughing the whole way through and intrigued around every corner. <br/><br/>Truly, my only real gripe with the show is that it has a hard time taking itself seriously and often resorts to fairly flippant endings and/or resolutions that sometimes I feel aren't necessary. I think the show could support itself just fine with a persistent story arc, which I think we are starting to see more of in the new season anyway, so that's good.<br/><br/>And again, Brock Samson, there could hardly be a better cartoon character.<br/><br/>Check out this show, it's well worth it. I hope that it continues for a long time.",105 out of 119 found this helpful.,10.0,5 July 2006
3,The Venture Bros., Go Team Venture!,"This show is hilarious! The Venture Brothers, Hank and Dean, think, act, talk and live like they're in the 60's (though the show takes place in modern day.) They're the sons of Dr. Venture, a world renowned scientist who can't stand them. Dr. Venture pops pills like candy and reeks of failure and unrealized potential. Their family bodyguard, Brock Samson, is a former secret agent who responds to all possible crises with relentless brutality. Always The Monarch is always having evil plans on Dr. Venture instead of doing bigger plans like take over the world or something like that. I laugh at every single funny part in this show! The one thing I wonder about this show is why does Dr. Girlfriend have a man voice? Who knows? This show premiered in August 2004 on Cartoon Network's Adult Swim line-up, but the pilot episode premiered in February 2003.<br/><br/>User Rating: 9/10<br/><br/>BOTTOM LINE: GO TEAM VENTURE!",44 out of 50 found this helpful.,,8 November 2004
4,The Venture Bros., Pseudo-Retro High Adventure Parody,"In the 1950s and '60s, the heady space age was fully upon us. Sweeping, magnificent Art Deco buildings and designs were all the rage. New manufacturing techniques meant that the rectangle was out; circles and curves were in. We looked forward to flying cars, commercial passenger flights to the moon, moving sidewalks, and push-button automation everywhere. The future never looked brighter (not to mention cleaner) and much of the media of the time wasted no opportunity to remind us of this. Common examples of the period include just about any James Bond film, the Flint movies, and animated series such as The Jetsons and Jonny Quest.<br/><br/>Forty years and two very cynical, jaundiced eyes later, we now have The Venture Bros., which liberally and hilariously skewers the, shall we say, irrational exuberance of the times. The most obvious target is Jonny Quest, but little from the period escapes the series writers' acerbic wit.<br/><br/>Son of Jonas Venture, Dr. Venture is sort of how you might expect Jonny Quest to have grown up -- forever living in the shadow of his father's greatness, leaving him insecure, sarcastic, and in a semi-permanent state of midlife crisis. Alas, Dr. Venture's own brilliance was not passed on to his boys, Hank and Dean Venture, who are in all major respects self-absorbed, easily distracted, and not too swift. In other words, normal adolescent boys. They are watched over by their hired bodyguard, Brock Samson, a chain-smoking seen-it-all paramilitary type from the Office of Secret Intelligence, whose extraordinary competence and calm under pressure is exceeded only by his -- as another poster put it -- relentless brutality.<br/><br/>The Venture Bros. is full of the obvious jokes (dim-witted villains surrounded by even dimmer-witted henchmen), but it also makes funny observations about the incongruity of its inspirational sources.<br/><br/>Example: Like Dr. Benton Quest, Dr. Venture is a super-scientist, making advanced gadgetry as easily as we might make a TV dinner. But what do you do when your lab becomes crammed with unwanted or no-longer-interesting inventions? Yup. Hold a yard sale. Try not to be surprised when all your arch-nemeses show up.<br/><br/>Another example: In episode three, we are asked to cast our minds back to the 1970's series The Six Million Dollar Man and wonder: What were Steve Austin and Sasquatch *really* doing chasing each other through the woods?<br/><br/>The music in Venture Bros. is also magnificent -- not just the signature tune, which takes its roots from the brassy modern jazz of the period, but also the background music throughout the episode. The music's sheer bombast is a perfect complement for the overblown, exaggerated characters, especially the villains.<br/><br/>Though a bit uneven in its execution -- it might actually benefit from being shorter -- there's plenty of funny stuff here to keep modern cynics laughing out loud.",54 out of 63 found this helpful.,,12 October 2004
5,The Venture Bros., A must watch!,"The Venture Bros. is the funniest animated show to debut since South Park in my opinion. If you've ever watched Johnny Quest or read any Marvel Comics(the writers seem to be fans) you will get all the jokes. I have yet to find a character in the entire show who is uninteresting or unfunny. Brock Sampson is just a badass, and the Venture Bros. themselves are hilarious. Throw in some very funny villains and great references and you just can't go wrong with this show. Much better than any other of the Adult Swim offerings(although Sealab 2021 is pretty damn funny sometimes).<br/><br/>User Rating 10/10",41 out of 47 found this helpful.,,16 December 2004
6,The Venture Bros., One of the funniest shows around...,"Without a doubt, this is probably one of the funniest shows I've ever seen. The characters themselves are unforgettably hilarious. First up, we have Dr. Venture, a selfish and fame seeking ""scientist"" who lives in his famous father's shadow. Next, we have the Venture brothers themselves, Hank and Dean. Both are naive and sometimes downright stupid, yet have the best intentions at heart...usually leading them straight into danger with hilarious results. Which brings us to the next character, Brock Samson. He is the powerhouse and enforcer of the group, and is probably the highlight of the show. Never one to hesitate running headfirst (with trusty bowie knife in hand) into danger, he is the protector of the family. Imagine Race Bannon from Jonny Quest, but add Arnold Schwarzenegger's muscles, a libido the size of Texas, and a mullet, then you've got Brock Samson. Definitely my favorite character.<br/><br/>The show has all the elements of a Jonny Quest episode, but with a humorous (and sometimes raunchy) twist. I sure hope this series makes it out on DVD sometime soon.",36 out of 41 found this helpful.,,19 February 2005
7,The Venture Bros., A Brilliant Blast From The Past!,"If you grew up watching Johnny Quest get ready to bust a gut on this one, and it's hilarious even if you didn't. Every cliché is ripped through like bodyguard Brock Samson going through henchmen. There's even a scene in there of him painted purple like Aqizio, and watching him snap is always a highlight of the show. The Brothers, Dean and Hank, rather then being Wonder Boys, are the complete opposite of Johnny Quest, and are a couple of goobs, regular teens, who take all the Super Science in stride. Dr. Venture himself is something of a failure in life, and yet he is the envy of all the other Super Scientists, because he has so many Arch-Enemies. The show is outstanding, though there is room for improvement. Some of the gags in the first season are hit and miss, but when they hit, they hit you like like Brock Samson! So there is sure to be a second season. Now grab the handle and push the button. Go Team Venture!",29 out of 33 found this helpful.,,21 November 2004
8,The Venture Bros.," RELEASE THE BUTTERFLIES...okay, whose job was it to feed the butterflies.","This is a favorite of mine on adult swim, but then there are only a few shows they make I don't care for. This one is sort of a Johnny Quest and other cartoon's of that era parody, but it isn't just a parody cartoon. It is also one of the few shows that adult swim makes that is not just a short fifteen minute show, but a full fledged half hour one so it usually has time to set up a hilarious plot each and every time. The characters are great as Dean and Hank Venture anchor the show and the father and his body guard Brock Sampson are definitely the super funny ones. Then there are the villains, most notably the Monarch, there has never been a character on film who was more evil and diabolical ever presented. Seriously, this show is great...if they aren't fighting the Monarch they are tackling the mystery's of the sea, going to arctic bases where a sort of fantastic four family lives, and having the occasional yard sale where even the arch enemies are welcome. For pure comedy entertainment look no further than the Venture Bros...GO TEAM VENTURE.",40 out of 49 found this helpful.,,24 July 2005
9,The Venture Bros., Perhaps the most perfect cartoon ever.,"I'm having a hard time imagining people actually voting for this below an 8. It may very well be the most perfect cartoon I've ever seen.<br/><br/>When I was vacationing in America, I had the chance of seeing The Venture Bros. on Adult Swim. After watching only one episode I already decided to buy the DVD. I've been in love with the series ever since.<br/><br/>The humor is everywhere. It's in the dialogue, it's in the story, it's in the characters. The show contains many and many parodies of movies, comics and other cartoons. Sometimes there are even straight rips. And yet, The Venture Bros. cartoon manages to stay unique and original.<br/><br/>I recommend this to everyone.",13 out of 14 found this helpful.,10.0,8 January 2008
10,The Venture Bros.," An oasis in a bland, predictable TV world","Jackson Publick and Doc Hammer are entertainment geniuses. There is nothing about this show that is predictable. Each episode surprises with it's characters, plot, comedy and outcome. In a world where no matter how ""good"" a show is, they end up doing the same thing every other show has done, with the same rehashed plots and jokes, or just pull plots from the newspaper headlines, this show is fresh. And that's hard to achieve when you start as a parody like it did. But at this point it's advanced far beyond parody. This show is so faithful to it's universe, the world Hammer and Publick created in season one, with such well drawn characters that continue to develop, each distinctive and layered with real personalities despite their comical stereo-archetypes, and with so much going on in 22 minutes, this show should be studied by all aspiring TV and film writers to understand the state of the art in screen writing.",7 out of 7 found this helpful.,10.0,30 September 2008
11,The Venture Bros., A diamond in the rough...,"After the wake of horribly incomprehensible cartoons that followed in the success of Aqua Teen, a show with continuity and humor that doesn't rely on catch phrases and absurdity emerges. The humor and characters can be a little forced and juvenile on occasion, though, but it doesn't affect the overall feel or drag it down.<br/><br/>Hank and Dean, in their naivety, work perfectly as counterparts to the bodyguard, Brock Samson, and middle-aged, scientist father, Dr. Rusty Venture, who constantly have to look after the boys well being even though they have extra ""copies"" of them. Though, in my opinion, the real driving mechanism of the series has to be The Monarch, at least from a comedic perspective, especially in episodes involving the love triangle with Dr. Girlfriend and Phantom Limb. In the end, we have a gaggle of characters that seem as though they were created by a bored junior high student during a free period who are all woven into a parody of Johnny Quest that is surprisingly enjoyable and better than most of the Adult Swim lineup.",9 out of 10 found this helpful.,9.0,5 February 2008
12,The Venture Bros., Venture Licious,"I was skeptical when a friend/co-worker let be borrow his Venture Bros. DVDs. I was absolutely hooked while watching ""Tag Sale, You're It"". The Depeche Mode conversation between Dr. Girlfriend and The Monarch is about the funniest thing I had seen ever.<br/><br/>I was a little concerned about how they would top Season 1, because that set the bar extraordinarily high. I was not disappointed as Season 2 was AWESOME. <br/><br/>Brock: Hank, no! It's suicide!<br/><br/>Hank: Well then I'll see you in Heck! <br/><br/>Good stuff...<br/><br/>Thank you, Mr. Publick and Mr. Hammer.<br/><br/>Marjod-",5 out of 5 found this helpful.,10.0,12 January 2007
