,title,genre,rating,runtime,age_rating,years
0,The Jeffersons,Comedy,7.4,30 min,TV-PG,(1975–1985)
1,Southland,"Crime, Drama, Thriller",8.4,42 min,TV-MA,(2009–2013)
2,Beauty and the Beast,"Crime, Fantasy, Drama",7.0,60 min,TV-PG,(1987–1990)
3,Black Monday,Comedy,7.5,582 min,TV-MA,(2019– )
4,The Rising of the Shield Hero,"Animation, Action, Adventure",8.1,24 min,TV-PG,(2018– )
5,High Seas,"Crime, Drama, Mystery",6.8,50 min,TV-MA,(2019–2020)
6,Friends from College,"Comedy, Drama",6.9,30 min,TV-MA,(2017–2019)
7,Wild 'N Out,Comedy,6.4,30 min,TV-14,(2005– )
8,Sesame Street,"Animation, Adventure, Comedy",8.1,55 min,TV-Y,(1969– )
9,Hunter,"Action, Crime, Drama",6.8,48 min,TV-PG,(I) (1984–1991)
10,Roadies,"Comedy, Drama, Music",7.4,60 min,TV-MA,(2016)
11,The Loud House,"Animation, Action, Adventure",7.2,22 min,TV-Y7,(2016– )
12,Running Wild with Bear Grylls,"Adventure, Comedy, Reality-TV",7.7,60 min,TV-14,(2014– )
13,Keeping Up Appearances,Comedy,7.8,60 min,TV-PG,(1990–1995)
14,Taggart,"Crime, Drama, Mystery",7.3,120 min,TV-14,(1983–2010)
15,Nurse Jackie,"Comedy, Drama",7.7,27 min,TV-MA,(2009–2015)
16,Portlandia,Comedy,7.8,22 min,TV-14,(2011–2018)
17,The Mick,Comedy,7.8,30 min,TV-14,(2017–2018)
18,Constantine,"Drama, Fantasy, Horror",7.5,43 min,TV-14,(2014–2015)
19,P-Valley,"Crime, Drama",7.0,N/A,TV-MA,(2020– )
20,Banana Fish,"Animation, Action, Adventure",8.0,22 min,TV-MA,(2018)
21,Married at First Sight,Reality-TV,6.2,83 min,TV-14,(2014– )
22,Drop Dead Diva,"Comedy, Drama",7.4,60 min,TV-PG,(2009–2014)
23,Toy Boy,"Crime, Drama, Thriller",6.4,N/A,TV-MA,(2019)
24,Pandora,"Action, Drama, Sci-Fi",4.1,42 min,TV-PG,(2019– )
25,Liar,"Crime, Drama, Thriller",7.1,45 min,TV-14,(2017–2020)
26,Silver Spoons,"Comedy, Family",6.1,30 min,TV-G,(1982–1987)
27,Are You Being Served?,Comedy,7.9,28 min,TV-PG,(1972–1985)
28,Republic of Doyle,"Comedy, Crime, Drama",7.3,60 min,TV-14,(2010–2014)
29,Birds of Prey,"Action, Adventure, Drama",6.4,60 min,TV-14,(2002–2003)
30,Terra Nova,"Adventure, Drama, Mystery",6.8,46 min,TV-14,(2011)
31,Jamestown,"Drama, History",6.9,60 min,Not Rated,(2017–2019)
32,October Faction,"Adventure, Drama, Fantasy",6.2,39 min,TV-MA,(2020)
