Transcripts - Forever Dreaming :: One Tree Hill Transcript Index - One Tree Hill 
 
 
 Transcripts - Forever Dreaming https://transcripts.foreverdreaming.org/ 
 
 
 
 
 
 One Tree Hill Transcript Index https://transcripts.foreverdreaming.org/viewtopic.php?f=121&t=8084 
 Page  1  of  1 
 
 
 
 
 
 Author:  
 bunniefuu  [ 09/21/04 07:35 ] 
 
 
 Post subject:  
 One Tree Hill Transcript Index 
 
 
 
 
 
  Transcripts Topic Print  
 
 
 
 
 We work very hard providing One Tree Hill transcripts for you. You are more than welcome to link to them. You may even save or print a copy for your personal use (click on the link at the top left of each transcript that says print view to read the transcripts with black font on white). However, you may not republish anything from foreverdreaming.org without obtaining written permission!  Read our Copyrights 
 All transcripts were courtesy of "Twiz TV". 
 Season 1 
 1.01 -  The Pilot 
 1.02 -  The Places You Have Come To Fear The Most 
 1.03 -  Are You True? 
 1.04 -  Crash Into You 
 1.05 -  All That You Can't Leave Behind 
 1.06 -  Every Night is Another Story 
 1.07 -  Life in a Glass House 
 1.08 -  The Search For Something More 
 1.09 -  With Arms Outstretched 
 1.10 -  You Gotta Go There To Come Back 
 1.11 -  The Living Years 
 1.12 -  Crash Course in Polite Conversations 
 1.13 -  Hanging by a Moment 
 1.14 -  I Shall Believe 
 1.15 -  Suddenly Everthing Has Changed 
 1.16 -  The First Cut is the Deepest 
 1.17 -  Spirit in the Night 
 1.18 -  To Wish Impossible Things 
 1.19 -  How Can You Be Sure? 
 1.20 -  What Is and What Should Never Be 
 1.21 -  The Leaving Song 
 1.22 -  The Games That Play Us 
 Season 2 
 2.01 -  The Desperate Kingdom of Love 
 2.02 -  The Truth Doesn't Make Noise 
 2.03 -  Near Wild Heaven 
 2.04 -  You Can't Always Get What You Want 
 2.05 -  I Will Dare 
 2.06 -  We Might As Well Be Strangers 
 2.07 -  Let The Reigns Go Loose 
 2.08 -  Truth, Bitter Truth 
 2.09 -  The Trick is to Keep Breathing 
 2.10 -  Don't Take Me For Granted 
 2.11 -  The Heart Brings You Back 
 2.12 -  Between Order and Randomness 
 2.13 -  The Hero Dies In This One 
 2.14 -  The Quiet Things That No One Ever Knows 
 2.15 -  Unopened Letter to the World 
 2.16 -  Somewhere a Clock is Ticking 
 2.17 -  Something I Can Never Have 
 2.18 -  Lonesome Road 
 2.19 -  I'm Wide Awake, It's Morning 
 2.20 -  Lifetime Piling Up 
 2.21 -  What Could Have Been 
 2.22 -  The Tide That Left and Never Came Back 
 2.23 -  The Leavers Dance 
 Season 3 
 3.01 -  Like You, Like An Arsonist 
 3.02 -  From the Edge of the Deep Green Sea 
 3.03 -  First Day on a Brand New Planet 
 3.04 -  An Attempt To Tip The Scales 
 3.05 -  A Multitude of Casualties 
 3.06 -  Locked Hearts and Hand Grenades 
 3.07 -  Champagne For My Real Friends 
 3.08 -  The Worst Day Since Yesterday 
 3.09 -  How A Resurrection Really Feels 
 3.10 -  Brave New World 
 3.11 -  Return of the Future 
 3.12 -  I've Got Dreams To Remember 
 3.13 -  The Wind That Blew My Heart Away 
 3.14 -  All Tomorrow's Parties 
 3.15 -  Just Watch The Fireworks 
 3.16 -  With Tired Eyes, Tired Minds 
