Transcripts - Forever Dreaming :: Smallville Transcript Index - Smallville 
 
 
 Transcripts - Forever Dreaming https://transcripts.foreverdreaming.org/ 
 
 
 
 
 
 Smallville Transcript Index https://transcripts.foreverdreaming.org/viewtopic.php?f=25&t=4421 
 Page  1  of  1 
 
 
 
 
 
 Author:  
 bunniefuu  [ 08/04/02 13:29 ] 
 
 
 Post subject:  
 Smallville Transcript Index 
 
 
 
 
 
  Transcripts Topic Print  
 
 
 
 
 We work very hard providing Smallville transcripts for you. You are more than welcome to link to them. You may even save or print a copy for your personal use (click on the link at the top left of each transcript that says print view to read the transcripts with black font on white). However, you may not republish anything from foreverdreaming.org without obtaining written permission!  Read our Copyrights 
 Some of these transcripts require more work and if you would like to help edit them please let us know.   Contact us 
 Season 1 
 1.01 -  Pilot  - October 16, 2001 
 1.02 -  Metamorphosis  - October 24, 2001 
 1.03 -  Hothead  - October 31, 2001 
 1.04 -  X-Ray  - November 7, 2001 
 1.05 -  Cool  - November 14, 2001 
 1.06 -  Hourglass  - November 21, 2001 
 1.07 -  Craving  - November 28, 2001 
 1.08 -  Jitters  - December 11, 2001 
 1.09 -  Rogue  - January 15, 2002 
 1.10 -  Shimmer  - January 29, 2002 
 1.11 -  Hug  - February 5, 2002 
 1.12 -  Leech  - February 12, 2002 
 1.13 -  Kinetic  - February 26, 2002 
 1.14 -  Zero  - March 12, 2002 
 1.15 -  Nicodemus  - March 19, 2002 
 1.16 -  Stray  - April 16, 2002 
 1.17 -  Reaper  - April 23, 2002 
 1.18 -  Drone  - April 30, 2002 
 1.19 -  Crush  - May 7, 2002 
 1.20 -  Obscura  - May 14, 2002 
 1.21 -  Tempest  - May 21, 2002 
 Season 2 
 2.01 -  Vortex  - September 24, 2002 
 2.02 -  Heat  - October 1, 2002 
 2.03 -  Duplicity  - October 8, 2002 
 2.04 -  Red  - October 15, 2002 
 2.05 -  Nocturne  - October 22, 2002 
 2.06 -  Redux  - October 29, 2002 
 2.07 -  Lineage  - November 5, 2002 
 2.08 -  Ryan  - November 12, 2002 
 2.09 -  Dichotic  - November 19, 2002 
 2.10 -  Skinwalker  - November 26, 2002 
 2.11 -  Visage  - January 14, 2003 
 2.12 -  Insurgence  - January 21, 2003 
 2.13 -  Suspect  - January 28, 2003 
 2.14 -  Rush  - February 4, 2003 
 2.15 -  Prodigal  - February 11, 2003 
 2.16 -  Fever  - February 18, 2003 
 2.17 -  Rosetta  - February 25, 2003 
 2.18 -  Visitor  - April 15, 2003 
 2.19 -  Precipice  - April 22, 2003 
 2.20 -  Witness  - April 29, 2003 
 2.21 -  Accelerate  - May 6, 2003 
 2.22 -  Calling  - May 13, 2003 
 2.23 -  Exodus  - May 20, 2003 
 Season 3 
 3.01 -  Exile  - October 1, 2003 
 3.02 -  Phoenix  - October 8, 2003 
 3.03 -  Extinction  - October 15, 2003 
 3.04 -  Slumber  - October 22, 2003 
 3.05 -  Perry  - October 29, 2003 
 3.06 -  Relic  - November 5, 2003 
 3.07 -  Magnetic  - November 12, 2003 
 3.08 -  Shattered  - November 19, 2003 
 3.09 -  Asylum  - January 14, 2004 
 3.10 -  Whisper  - January 21, 2004 
 3.11 -  Delete  - January 28, 2004 
 3.12 -  Hereafter  - February 4, 2004 
 3.13 -  Velocity  - February 11, 2004 
 3.14 -  Obsession  - February 18, 2004 
 3.15 -  Resurrection  - February 25, 2004 
 3.16 -  Crisis  - March 3, 2004 
 3.17 -  Legacy  - April 14, 2004 
 3.18 -  Truth  - April 21, 2004 
 3.19 -  Memoria  - April 28, 2004 
 3.20 -  Talisman  - May 5, 2004 
 3.21 -  Forsaken  - May 12, 2004 
 3.22 -  Covenant  - May 19, 2004 
 Season 4 
 4.01 -  Crusade  - September 22, 2004 
 4.02 -  Gone  - September 29, 2004 
 4.03 -  Façade  - October 6, 2004 
 4.04 -  Devoted  - October 13, 2004 
 4.05 -  Run  - October 20, 2004 
 4.06 -  Transference  - October 27, 2004 
 4.07 -  Jinx  - November 3, 2004 
 4.08 -  Spell  - November 10, 2004 
 4.09 -  Bound  - November 17, 2004 
 4.10 -  Scare  - December 1, 2004 
 4.11 -  Unsafe  - January 26, 2005 
 4.12 -  Pariah  - February 2, 2005 
 4.13 -  Recruit  - February 9, 2005 
 4.14 -  Krypto  - February 16, 2005 
 4.15 -  Sacred  - February 23, 2005 
 4.16 -  Lucy  - March 2, 2005 
 4.17 -  Onyx  - April 13, 2005 
