Transcripts - Forever Dreaming :: Arrow Transcript Index - Arrow 
 
 
 Transcripts - Forever Dreaming https://transcripts.foreverdreaming.org/ 
 
 
 
 
 
 Arrow Transcript Index https://transcripts.foreverdreaming.org/viewtopic.php?f=172&t=10291 
 Page  1  of  1 
 
 
 
 
 
 Author:  
 bunniefuu  [ 03/30/14 10:39 ] 
 
 
 Post subject:  
 Arrow Transcript Index 
 
 
 
 
 
  Transcripts Topic Print  
 
 
 
 
 We work very hard providing Arrow transcripts for you. You are more than welcome to link to them. You may even save or print a copy for your personal use (click on the link at the top left of each transcript that says print view to read the transcripts with black font on white). However, you may not republish anything from foreverdreaming.org without obtaining written permission!  Read our Copyrights 
 Some of these transcripts require more work and if you would like to help edit them please let us know.   Contact us 
 Season 1 
 1.01 -  The Pilot 
 1.02 -  Honor Thy Father 
 1.03 -  Lone Gunmen 
 1.04 -  An Innocent Man 
 1.05 -  Damaged 
 1.06 -  Legacies 
 1.07 -  Muse of Fire 
 1.08 -  Vendetta 
 1.09 -  Year's End 
 1.10 -  Burned 
 1.11 -  Trust But Verify 
 1.12 -  Vertigo 
 1.13 -  Betrayal 
 1.14 -  The Odyssey 
 1.15 -  Dodger 
 1.16 -  Dead to Rights 
 1.17 -  The Huntress Returns 
 1.18 -  Salvation 
 1.19 -  Unfinished Business 
 1.20 -  Home Invasion 
 1.21 -  The Undertaking 
 1.22 -  Darkness on the Edge of Town 
 1.23 -  Sacrifice 
 1.24 -  Unthinkable 
 Season 2 
 2.01 -  City of Hero's 
 2.02 -  Identity 
 2.03 -  Broken Dolls 
 2.04 -  Crucible 
 2.05 -  League of Assassins 
 2.06 -  Keep Your Enemies Closer 
 2.07 -  State v. Queen 
 2.08 -  The Scientist 
 2.09 -  Three Ghosts 
 2.10 -  Blast Radius 
 2.11 -  Blind Spot 
 2.12 -  Tremors 
 2.13 -  Heir to the Demon 
 2.14 -  Time of Death 
 2.15 -  The Promise 
 2.16 -  Suicide Squad 
 2.17 -  Birds of Prey 
 2.18 -  Deathstroke 
 2.19 -  The Man Under the Hood 
 2.20 -  Seeing Red 
 2.21 -  City of Blood 
 2.22 -  Streets of Fire 
 Season 3 
 3x01 -  The Calm 
 3x02 -  Sara 
 3x03 -  Corto Maltese 
 3x04 -  The Magician 
 3x05 -  The Secret Origin of Felicity Smoak 
 3x06 -  Guilty 
 3x07 -  Draw Back Your Bow 
 3x08 -  The Brave and the Bold 
 3x09 -  The Climb 
 3x10 -  Left Behind 
 3x11 -  Midnight City 
 3x12 -  Uprising 
 3x13 -  Canaries 
 3x14 -  The Return 
 3x15 -  Nanda Parbat 
 3x16 -  The Offer 
 3x17 -  Suicidal Tendencies 
 3x18 -  Public Enemy 
 3x19 -  Broken Arrow 
 3x20 -  The Fallen 
 3x21 -  Al Sah-Him 
 3x22 -  This is Your Sword 
 3x23 -  My Name Is Oliver Queen 
 Season 4 
 04x01 -  Green Arrow 
 04x02 -  The Candidate 
 04x03 -  Restoration 
 04x04 -  Beyond Redemption 
 04x05 -  Haunted 
 04x06 -  Lost Souls 
 04x07 -  Brotherhood 
 04x08 -  Legends of Yesterday 
 04x09 -  Dark Waters 
 04x10 -  Blood Debts 
 04x11 -  A.W.O.L. 
 04x12 -  Unchained 
 04x13 -  Sins of the Father 
 04x14 -  Code of Silence 
 04x15 -  Taken 
 04x16 -  Broken Hearts 
 04x17 -  Beacon of Hope 
 04x18 -  Eleven-Fifty-Nine 
 04x19 -  Canary Cry 
 04x20 -  Genesis 
 04x21 -  Monument Point 
 04x22 -  Lost in the Flood 
 04x23 -  Schism 
 
 
 
 Season 5 
 05x01 -  Legacy 
 05x02 -  The Recruits 
 05x03 -  A Matter of Trust 
 05x04 -  Penance 
 05x05 -  Human Target 
 05x06 -  And So it Begins? 
 05x07 -  Vigilante 
 05x08 -  Invasion! 
 05x09 -  What We Leave Behind 
 05x10 -  Who Are You? 
 05x11 -  Second Chances 
 05x12 -  Bratva 
 05x13 -  Spectre of the Gun 
 05x14 -  The Sin-Eater 
 Note : This index is manually maintained and may not be up to date but  this list contains all Arrow transcripts to date . 
 Bonus:  The Pilot Script download 
 Can't find the show or information you're looking for on our site? Try eBay or Amazon for actual  Arrow episode scripts , movie screenplays and/or spoilers. 
 
 
  Transcripts Topic Print  
 
 
 
 
 
 
 
 
 
 Page  1  of  1 
 All times are UTC - 5 hours  
 
 
 
 
 
 
 © Copyright Forever Dreaming. All rights reserved. http://foreverdreaming.org 
 
 
 
 
 
