Transcripts - Forever Dreaming :: Grey's Anatomy Transcript Index - Grey's Anatomy 
 
 
 Transcripts - Forever Dreaming https://transcripts.foreverdreaming.org/ 
 
 
 
 
 
 Grey's Anatomy Transcript Index https://transcripts.foreverdreaming.org/viewtopic.php?f=11&t=6456 
 Page  1  of  1 
 
 
 
 
 
 Author:  
 bunniefuu  [ 03/23/13 12:40 ] 
 
 
 Post subject:  
 Grey's Anatomy Transcript Index 
 
 
 
 
 
  Transcripts Topic Print  
 
 
 
 
 We work very hard providing Grey's Anatomy transcripts for you. You are more than welcome to link to them. You may even save or print a copy for your personal use (click on the link at the top left of each transcript that says print view to read the transcripts with black font on white). However, you may not republish anything from foreverdreaming.org without obtaining written permission!  Read our Copyrights 
 A very special thanks to Vibrant Fields for helping edit some of the following episodes.  
 Some of these transcripts require more work and if you would like to help edit them please let us know.   Contact us 
 Season 1 
 01x01 -  A Hard Day's Night  (March 27, 2005) 
 01x02 -  The First Cut Is the Deepest  (April 3, 2005) 
 01x03 -  Winning a Battle, Losing the War  (April 10, 2005) 
 01x04 -  No Man's Land  (April 17, 2005) 
 01x05 -  Shake Your Groove Thing  (April 24, 2005) 
 01x06 -  If Tomorrow Never Comes  (May 1, 2005) 
 01x07 -  The Self-Destruct Button  (May 8, 2005) 
 01x08 -  Save Me  (May 15, 2005) 
 01x09 -  Who's Zoomin' Who?  (May 22, 2005) 
 Season 2 
 02x01 -  Raindrops Keep Falling On My Head  (September 25, 2005) 
 02x02 -  Enough is Enough  (October 2, 2005) 
 02x03 -  Make Me Lose Control  (October 9, 2005) 
 02x04 -  Deny, Deny, Deny  (October 16, 2005) 
 02x05 -  Bring the Pain  (October 23, 2005) 
 02x06 -  Into You Like a Train  (October 30, 2005) 
 02x07 -  Something to Talk About  (November 6, 2005) 
 02x08 -  Let It Be  (November 13, 2005) 
 02x09 -  Thanks for the Memories  (November 20, 2005) 
 02x10 -  Much too Much  (November 27, 2005) 
 02x11 -  Owner of a Lonely Heart  (December 4, 2005) 
 02x12 -  Grandma Got Run Over By a Reindeer  (December 11, 2005) 
 02x13 -  Begin the Begin  (January 15, 2006) 
 02x14 -  Tell Me Sweet Little Lies  (January 22, 2006) 
 02x15 -  Break on Through  (January 29, 2006) 
 02x16 -  It's the End of the World  (February 5, 2006) 
 02x17 -  As We Know It  (February 12, 2006) 
 02x18 -  Yesterday  (February 19, 2006) 
 02x19 -  What Have I Done to Deserve This?  (February 26, 2006) 
 02x20 -  Band-Aid Covers the Bullet Hole  (March 12, 2006) 
 02x21 -  Superstition  (March 19, 2006) 
 02x22 -  The Name of the Game  (April 2, 2006) 
 02x23 -  Blues for Sister Someone  (April 30, 2006) 
 02x24 -  Damage Case  (May 7, 2006) 
 02x25 -  17 Seconds  (May 14, 2006) 
 02x26 -  Deterioration of the Fight or Flight Response  (May 15, 2006) 
 02x27 -  Losing My Religion  (May 15, 2006) 
 Season 3 
 03x01 -  Time Has Come Today  (September 21, 2006) 
 03x02 -  I Am a Tree  (September 28, 2006) 
 03x03 -  Sometimes a Fantasy  (October 5, 2006) 
 03x04 -  What I Am  (October 12, 2006) 
 03x05 -  Oh, the Guilt  (October 19, 2006) 
 03x06 -  Let the Angels Commit  (November 2, 2006) 
 03x07 -  Where the Boys Are  (November 9, 2006) 
 03x08 -  Staring at the Sun  (November 16, 2006) 
 03x09 -  From a Whisper to a Scream  (November 23, 2006) 
 03x10 -  Don't Stand So Close to Me  (November 30, 2006) 
 03x11 -  Six Days (Part 1)  (January 11, 2007) 
 03x12 -  Six Days (Part 2)  (January 18, 2007) 
 03x13 -  Great Expectations  (January 25, 2007) 
 03x14 -  Wishin' and Hopin'  (February 1, 2007) 
 03x15 -  Walk on Water  (February 8, 2007) 
 03x16 -  Drowning on Dry Land  (February 15, 2007) 
 03x17 -  Some Kind of Miracle  (February 22, 2007) 
 03x18 -  Scars and Souvenirs  (March 15, 2007) 
 03x19 -  My Favorite Mistake  (March 22, 2007) 
 03x20 -  Time After Time  (April 19, 2007) 
 03x21 -  Desire  (April 26, 2007) 
 03x22 -  The Other Side of This Life (Part 1)  (May 3, 2007) 
 03x23 -  The Other Side of This Life (Part 2)  (May 3, 2007) 
 03x24 -  Testing 1-2-3  (May 10, 2007) 
 03x25 -  Didn't We Almost Have It All?  (May 17, 2007) 
 Season 4 
 04x01 -  A Change Is Gonna Come  (September 27, 2007) 
 04x02 -  Love/Addiction  (October 4, 2007) 
 04x03 -  Let the Truth Sting  (October 11, 2007) 
 04x04 -  The Heart of the Matter  (October 18, 2007) 
 04x05 -  Haunt You Every Day  (October 25, 2007) 
 04x06 -  Kung Fu Fighting  (November 1, 2007) 
 04x07 -  Physical Attraction, Chemical Reaction  (November 8, 2007) 
 04x08 -  Forever Young  (November 15, 2007) 
 04x09 -  Crash Into Me (Part 1)  (November 22, 2007) 
 04x10 -  Crash Into Me (Part 2)  (December 6, 2007) 
 04x11 -  Lay Your Hands on Me  (January 10, 2008) 
 04x12 -  Where the Wild Things Are  (April 24, 2008) 
 04x13 -  Piece of My Heart  (May 1, 2008) 
 04x14 -  The Becoming  (May 8, 2008) 
 04x15 -  Losing My Mind  (May 15, 2008) 
 04x16 -  Freedom (Part 1)  (May 22, 2008) 
 04x17 -  Freedom (Part 2)  (May 22, 2008) 
 Season 5 
 05x01 -  Dream a Little Dream of Me (Part 1)  (September 25, 2008) 
 05x02 -  Dream a Little Dream of Me (Part 2)  (September 25, 2008) 
 05x03 -  Here Comes the Flood  (October 9, 2008) 
 05x04 -  Brave New World  (October 16, 2008) 
 05x05 -  There's No 'I' in Team  (October 23, 2008) 
 05x06 -  Life During Wartime  (October 30, 2008) 
 05x07 -  Rise Up  (November 6, 2008) 
 05x08 -  These Ties That Bind  (November 13, 2008) 
 05x09 -  In the Midnight Hour  (November 20, 2008) 
 05x10 -  All By Myself  (December 4, 2008) 
 05x11 -  Wish You Were Here  (January 8, 2009) 
 05x12 -  Sympathy for the Devil  (January 15, 2009) 
 05x13 -  Stairway to Heaven  (January 22, 2009) 
 05x14 -  Beat Your Heart Out  (February 5, 2009) 
 05x15 -  Before and After  (February 12, 2009) 
 05x16 -  An Honest Mistake  (February 19, 2009) 
 05x17 -  I Will Follow You Into the Dark  (March 12, 2009) 
 05x18 -  Stand By Me  (March 19, 2009) 
 05x19 -  Elevator Love Letter  (March 26, 2009) 
 05x20 -  Sweet Surrender  (April 23, 2009) 
 05x21 -  No Good at Saying Sorry (One More Chance)  (April 30, 2009) 
 05x22 -  What a Difference a Day Makes  (May 7, 2009) 
 05x23 -  Here's to Future Days  (May 14, 2009) 
 05x24 -  Now or Never  (May 14, 2009) 
 Season 6 
 06x01 -  Good Mourning  (September 24, 2009) 
 06x02 -  Goodbye  (September 24, 2009) 
 06x03 -  I Always Feel Like Somebody's Watchin' Me  (October 1, 2009) 
 06x04 -  Tainted Obligation  (October 8, 2009) 
 06x05 -  Invasion  (October 15, 2009) 
 06x06 -  I Saw What I Saw  (October 22, 2009) 
 06x07 -  Give Peace a Chance  (October 29, 2009) 
 06x08 -  Invest in Love  (November 5, 2009) 
 06x09 -  New History  (November 12, 2009) 
 06x10 -  Holidaze  (November 19, 2009) 
 06x11 -  Blink  (January 14, 2010) 
 06x12 -  I Like You So Much Better When You're Naked  (January 21, 2010) 
 06x13 -  State of Love and Trust  (February 4, 2010) 
 06x14 -  Valentine's Day Massacre  (February 11, 2010) 
 06x15 -  The Time Warp  (February 18, 2010) 
 06x16 -  Perfect Little Accident  (March 4, 2010) 
 06x17 -  Push  (March 11, 2010) 
 06x18 -  Suicide is Painless  (March 25, 2010) 
 06x19 -  Sympathy for the Parents  (April 1, 2010) 
 06x20 -  Hook, Line and Sinner  (April 29, 2010) 
 06x21 -  How Insensitive  (May 6, 2010) 
 06x22 -  Shiny Happy People  (May 13, 2010) 
 06x23 -  Sanctuary  (May 20, 2010) 
 06x24 -  Death and All His Friends  (May 20, 2010) 
 Season 7 
 07x01 -  With You I'm Born Again  (September 23, 2010) 
 07x02 -  Shock to the System  (September 30, 2010) 
 07x03 -  Superfreak  (October 7, 2010) 
 07x04 -  Can't Fight Biology  (October 14, 2010) 
 07x05 -  Almost Grown  (October 21, 2010) 
 07x06 -  These Arms of Mine  (October 28, 2010) 
 07x07 -  That's Me Trying  (November 4, 2010) 
 07x08 -  Something's Gotta Give  (November 11, 2010) 
 07x09 -  Slow Night, So Long  (November 18, 2010) 
 07x10 -  Adrift and at Peace  (December 2, 2010) 
 07x11 -  Disarm  (January 6, 2011) 
 07x12 -  Start Me Up  (January 13, 2011) 
 07x13 -  Don't Deceive Me (Please Don't Go)  (February 3, 2011) 
 07x14 -  P.Y.T. (Pretty Young Thing)  (February 10, 2011) 
 07x15 -  Golden Hour  (February 17, 2011) 
 07x16 -  Not Responsible  (February 24, 2011) 
 07x17 -  This Is How We Do It  (March 24, 2011) 
 07x18 -  Song Beneath the Song  (March 31, 2011) 
 07x19 -  It's a Long Way Back  (April 28, 2011) 
 07x20 -  White Wedding  (May 5, 2011) 
 07x21 -  I Will Survive  (May 12, 2011) 
 07x22 -  Unaccompanied Minor  (May 19, 2011) 
 Season 8 
 08x01 -  Free Falling  (September 22, 2011) 
 08x02 -  She's Gone  (September 22, 2011) 
 08x03 -  Take the Lead  (September 29, 2011) 
 08x04 -  What Is It About Men  (October 6, 2011) 
 08x05 -  Love, Loss and Legacy  (October 13, 2011) 
 08x06 -  Poker Face  (October 20, 2011) 
 08x07 -  Put Me In, Coach  (October 27, 2011) 
 08x08 -  Heart-Shaped Box  (November 3, 2011) 
 08x09 -  Dark Was the Night  (November 10, 2011) 
 08x10 -  Suddenly  (January 5, 2012) 
 08x11 -  This Magic Moment  (January 12, 2012) 
