Transcripts - Forever Dreaming :: Supernatural Transcript Index - Supernatural 
 
 
 Transcripts - Forever Dreaming https://transcripts.foreverdreaming.org/ 
 
 
 
 
 
 Supernatural Transcript Index https://transcripts.foreverdreaming.org/viewtopic.php?f=105&t=6735 
 Page  1  of  1 
 
 
 
 
 
 Author:  
 bunniefuu  [ 03/27/13 00:07 ] 
 
 
 Post subject:  
 Supernatural Transcript Index 
 
 
 
 
 
  Transcripts Topic Print  
 
 
 
 
 We work very hard providing Supernatural transcripts for you. You are more than welcome to link to them. You may even save or print a copy for your personal use (click on the link at the top left of each transcript that says print view to read the transcripts with black font on white). However, you may not republish anything from foreverdreaming.org without obtaining written permission!  Read our Copyrights 
 Some of these transcripts require more work and if you would like to help edit them please let us know.   Contact us 
 Season 1 
 1.01 -  Pilot  - September 13, 2005 
 1.02 -  Wendigo  - September 20, 2005 
 1.03 -  Dead in the Water  - September 27, 2005 
 1.04 -  Phantom Traveler  - October 4, 2005 
 1.05 -  Bloody Mary  - October 11, 2005 
 1.06 -  Skin  - October 18, 2005 
 1.07 -  Hook Man  - October 25, 2005 
 1.08 -  Bugs  - November 8, 2005 
 1.09 -  Home  - November 15, 2005 
 1.10 -  Asylum  - November 22, 2005 
 1.11 -  Scarecrow  - January 10, 2006 
 1.12 -  Faith  - January 17, 2006 
 1.13 -  Route 666  - January 31, 2006 
 1.14 -  Nightmare  - February 7, 2006 
 1.15 -  The Benders  - February 14, 2006 
 1.16 -  Shadow  - February 28, 2006 
 1.17 -  Hell House  - March 30, 2006 
 1.18 -  Something Wicked  - April 6, 2006 
 1.19 -  Provenance  - April 13, 2006 
 1.20 -  Dead Man's Blood  - April 20, 2006 
 1.21 -  Salvation  - April 27, 2006 
 1.22 -  Devil's Trap  - May 4, 2006 
 Season 2 
 2.01 -  In My Time of Dying  - September 28, 2006 
 2.02 -  Everybody Loves a Clown  - October 5, 2006 
 2.03 -  Bloodlust  - October 12, 2006 
 2.04 -  Children Shouldn't Play with Dead Things  - October 19, 2006 
 2.05 -  Simon Said  - October 26, 2006 
 2.06 -  No Exit  - November 2, 2006 
 2.07 -  The Usual Suspects  - November 9, 2006 
 2.08 -  Crossroad Blues  - November 16, 2006 
 2.09 -  Croatoan  - December 7, 2006 
 2.10 -  Hunted  - January 11, 2007 
 2.11 -  Playthings  - January 18, 2007 
 2.12 -  Nightshifter  - January 25, 2007 
 2.13 -  Houses of the Holy  - February 1, 2007 
 2.14 -  Born Under a Bad Sign  - February 8, 2007 
 2.15 -  Tall Tales  - February 15, 2007 
 2.16 -  Roadkill  - March 15, 2007 
 2.17 -  Heart  - March 22, 2007 
 2.18 -  Hollywood Babylon  - April 19, 2007 
 2.19 -  Folsom Prison Blues  - April 26, 2007 
 2.20 -  What Is and What Should Never Be  - May 3, 2007 
 2.21 -  All Hell Breaks Loose (Part 1)  - May 10, 2007 
 2.22 -  All Hell Breaks Loose (Part 2)  - May 17, 2007 
 Season 3 
 3.01 -  The Magnificent Seven  - October 4, 2007 
 3.02 -  The Kids Are Alright  - October 11, 2007 
 3.03 -  Bad Day at Black Rock  - October 18, 2007 
 3.04 -  Sin City  - October 25, 2007 
 3.05 -  Bedtime Stories  - November 1, 2007 
 3.06 -  Red Sky at Morning  - November 8, 2007 
 3.07 -  Fresh Blood  - November 15, 2007 
 3.08 -  A Very Supernatural Christmas  - December 13, 2007 
 3.09 -  Malleus Maleficarum  - January 31, 2008 
 3.10 -  Dream a Little Dream of Me  - February 7, 2008 
 3.11 -  Mystery Spot  - February 14, 2008 
 3.12 -  Jus in Bello  - February 21, 2008 
 3.13 -  Ghostfacers  - April 24, 2008 
 3.14 -  Long Distance Call  - May 1, 2008 
 3.15 -  Time Is on My Side  - May 8, 2008 
 3.16 -  No Rest for the Wicked  - May 15, 2008 
 Season 4 
 4.01 -  Lazarus Rising  - September 18, 2008 
 4.02 -  Are You There, God? It's Me, Dean Winchester  - September 25, 2008 
 4.03 -  In the Beginning  - October 2, 2008 
 4.04 -  Metamorphosis  - October 9, 2008 
 4.05 -  Monster Movie  - October 16, 2008 
 4.06 -  Yellow Fever  - October 23, 2008 
 4.07 -  It's the Great Pumpkin, Sam Winchester  - October 30, 2008 
 4.08 -  Wishful Thinking  - November 6, 2008 
 4.09 -  I Know What You Did Last Summer  - November 13, 2008 
 4.10 -  Heaven and Hell  - November 20, 2008 
 4.11 -  Family Remains  - January 15, 2009 
 4.12 -  Criss Angel Is a Douchebag  - January 22, 2009 
 4.13 -  After School Special  - January 29, 2009 
 4.14 -  s*x and Violence  - February 5, 2009 
 4.15 -  Death Takes a Holiday  - March 12, 2009 
 4.16 -  On the Head of a Pin  - March 19, 2009 
 4.17 -  It's a Terrible Life  - March 26, 2009 
 4.18 -  The Monster at the End of This Book  - April 2, 2009 
 4.19 -  Jump the Shark  - April 23, 2009 
 4.20 -  The Rapture  - April 30, 2009 
 4.21 -  When the Levee Breaks  - May 7, 2009 
 4.22 -  Lucifer Rising  - May 14, 2009 
 Season 5 
 5.01 -  Sympathy for the Devil  - September 10, 2009 
 5.02 -  Good God, Y'All!  - September 17, 2009 
 5.03 -  Free to Be You and Me  - September 24, 2009 
 5.04 -  The End  - October 1, 2009 
 5.05 -  Fallen Idols  - October 8, 2009 
 5.06 -  I Believe the Children Are Our Future  - October 15, 2009 
 5.07 -  The Curious Case of Dean Winchester  - October 29, 2009 
 5.08 -  Changing Channels  - November 5, 2009 
 5.09 -  The Real Ghostbusters  - November 12, 2009 
 5.10 -  Abandon All Hope...  - November 19, 2009 
 5.11 -  Sam, Interrupted  - January 21, 2010 
 5.12 -  Swap Meat  - January 28, 2010 
 5.13 -  The Song Remains the Same  - February 4, 2010 
 5.14 -  My Bloody Valentine  - February 11, 2010 
 5.15 -  Dead Men Don't Wear Plaid  - March 25, 2010 
 5.16 -  Dark Side of the Moon  - April 1, 2010 
 5.17 -  99 Problems  - April 8, 2010 
 5.18 -  Point of No Return  - April 15, 2010 
 5.19 -  Hammer of the Gods  - April 22, 2010 
 5.20 -  The Devil You Know  - April 29, 2010 
 5.21 -  Two Minutes to Midnight  - May 6, 2010 
 5.22 -  Swan Song  - May 13, 2010 
 Season 6 
 6.01 -  Exile on Main St.  - September 24, 2010 
 6.02 -  Two and a Half Men  - October 1, 2010 
 6.03 -  The Third Man  - October 8, 2010 
 6.04 -  Weekend at Bobby's  - October 15, 2010 
 6.05 -  Live Free or TwiHard  - October 22, 2010 
 6.06 -  You Can't Handle the Truth  - October 29, 2010 
 6.07 -  Family Matters  - November 5, 2010 
 6.08 -  All Dogs Go to Heaven  - November 12, 2010 
 6.09 -  Clap Your Hands If You Believe...  - November 19, 2010 
 6.10 -  Caged Heat  - December 3, 2010 
 6.11 -  Appointment in Samarra  - December 10, 2010 
 6.12 -  Like a Virgin  - February 4, 2011 
 6.13 -  Unforgiven  - February 11, 2011 
 6.14 -  Mannequin 3: The Reckoning  - February 18, 2011 
 6.15 -  The French Mistake  - February 25, 2011 
 6.16 -  ...And Then There Were None  - March 4, 2011 
 6.17 -  My Heart Will Go On  - April 15, 2011 
 6.18 -  Frontierland  - April 22, 2011 
 6.19 -  Mommy Dearest  - April 29, 2011 
 6.20 -  The Man Who Would Be King  - May 6, 2011 
 6.21 -  Let It Bleed  - May 20, 2011 
 6.22 -  The Man Who Knew Too Much  - May 20, 2011 
 Season 7 
 7.01 -  Meet the New Boss  - September 23, 2011 
 7.02 -  Hello, Cruel World  - September 30, 2011 
 7.03 -  The Girl Next Door  - October 7, 2011 
 7.04 -  Defending Your Life  - October 14, 2011 
 7.05 -  Shut Up, Dr. Phil  - October 21, 2011 
 7.06 -  Slash Fiction  - October 28, 2011 
 7.07 -  The Mentalists  - November 4, 2011 
 7.08 -  Season 7, Time for a Wedding!  - November 11, 2011 
 7.09 -  How to Win Friends and Influence Monsters  - November 18, 2011 
 7.10 -  Death's Door  - December 2, 2011 
 7.11 -  Adventures in Babysitting  - January 6, 2012 
 7.12 -  Time After Time  - January 13, 2012 
 7.13 -  The Slice Girls  - February 3, 2012 
 7.14 -  Plucky Pennywhistle's Magical Menagerie  - February 10, 2012 
 7.15 -  Repo Man  - February 17, 2012 
 7.16 -  Out with the Old  - March 16, 2012 
 7.17 -  The Born-Again Identity  - March 23, 2012 
 7.18 -  Party on, Garth  - March 30, 2012 
 7.19 -  Of Grave Importance  - April 20, 2012 
 7.20 -  The Girl with the Dungeons and Dragons Tattoo  - April 27, 2012 
 7.21 -  Reading Is Fundamental  - May 4, 2012 
 7.22 -  There Will Be Blood  - May 11, 2012 
 7.23 -  Survival of the Fittest  - May 18, 2012 
 Season 8 
 8.01 -  We Need to Talk About Kevin  - October 3, 2012 
 8.02 -  What's Up, Tiger Mommy?  - October 10, 2012 
 8.03 -  Heartache  - October 17, 2012 
 8.04 -  Bitten  - October 24, 2012 
 8.05 -  Blood Brother  - October 31, 2012 
 8.06 -  Southern Comfort  - November 7, 2012 
 8.07 -  A Little Slice of Kevin  - November 14, 2012 
 8.08 -  Hunteri Heroici  - November 28, 2012 
 8.09 -  Citizen Fang  - December 5, 2012 
 8.10 -  Torn and Frayed  - January 16, 2013 
 8.11 -  LARP and the Real Girl  - January 23, 2013 
 8.12 -  As Time Goes By  - January 30, 2013 
 8.13 -  Everybody Hates Hitler  - February 6, 2013 
 8.14 -  Trial and Error  - February 13, 2013 
 8.15 -  Man's Best Friend with Benefits  - February 20, 2013 
 8.16 -  Remember the Titans  - February 27, 2013 
 8.17 -  Goodbye Stranger  - March 20, 2013 
 8.18 -  Freaks and Geeks  - March 27, 2013 
 8.19 -  Taxi Driver  - April 3, 2013 
 8.20 -  Pacman Driver 
 8.21 -  The Great Escapist 
 8.22 -  Clip Show 
 8.23 -  Sacrifice 
 Season 9 
 9.01 -  I Think I'm Gonna Like it Here 
 9.02 -  Devil May Care 
 9.03 -  I'm No Angel 
 9.04 -  Slumber Party 
 9.05 -  Dog Dean Afternoon 
 9.06 -  Heaven Can't Wait 
 9.07 -  Bad Boys 
 9.08 -  Rock and a Hard Place 
 9.09 -  Holy Terror 
 9.10 -  Road Trip 
 9.11 -  First Born 
 9.12 -  Sharp Teeth 
 9.13 -  The Purge 
 9.14 -  Captives 
 9.15 -  #THINMAN 
 9.16 -  Blade Runners 
 9.17 -  Mother's Little Helper 
 9.18 -  Meta Fiction 
 9.19 -  Alex Annie Alexis Ann 
 9.20 -  Bloodlines 
 9.21 -  King of the Damned 
 9.22 -  Stairway to Heaven 
 9.23 -  Do You Believe in Miracles? 
 Season 10 
 10x00 -  A Very Special Supernatural Special 
 10x01 -  Black 
 10x02 -  Reichenbach 
 10x03 -  Soul Survivor 
 10x04 -  Paper Moon 
 10x05 -  Fan Fiction 
 10x06 -  Ask Jeeves 
 10x07 -  Girls, Girls, Girls 
 10x08 -  Hibbing 911 
 10x09 -  The Things We Leave Behind 
 10x10 -  The Hunter Games 
 10x11 -  There's No Place Like Home 
 10x12 -  About a Boy 
 10x13 -  Halt & Catch Fire 
 10x14 -  The Executioner's Song 
 10x15 -  The Things They Carried 
 10x16 -  Paint it Black 
 10x17 -  Inside Man 
 10x18 -  Book of the Damned 
 10x19 -  The Werther Project 
 10x20 -  Angel Heart 
 10x21 -  Dark Dynasty 
 10x22 -  The Prisoner 
 10x23 -  Brother's Keeper 
 Season 11 
 11x01 -  Out of the Darkness, Into the Fire 
 11x02 -  Form and Void 
 11x03 -  The Bad Seed 
 11x04 -  Baby 
 11x05 -  Thin Lizzie 
 11x06 -  Our Little World 
 11x07 -  Plush 
 11x08 -  Just My Imagination 
 11x09 -  O Brother Where Art Thou? 
 11x10 -  The Devil in the Details 
 11x11 -  Into the Mystic 
 11x12 -  Don't You Forget About Me 
 11x13 -  Love Hurts 
 11x14 -  The Vessel 
 11x15 -  Beyond the Mat 
 11x16 -  Safe House 
 11x17 -  Red Meat 
 11x18 -  Hell's Angel 
 11x19 -  The Chitters 
 11x20 -  Don't Call Me Shurley 
 11x21 -  All in the Family 
 11x22 -  We Happy Few 
 11x23 -  Alpha and Omega 
 
 
 
 Season 12 
 12x01 -  Keep Calm and Carry On 
 12x02 -  Mamma Mia 
 12x03 -  The Foundry 
 12x04 -  American Nightmare 
 12x05 -  The One You've Been Waiting For 
 12x06 -  Celebrating the Life of Asa Fox 
 12x07 -  Rock Never Dies 
 12x08 -  Lotus 
 12x09 -  First Blood 
 12x10 -  Lily Sunder Has Some Regrets 
 12x11 -  Regarding Dean 
 12x12 -  Stuck in the Middle (With You) 
 12x13 -  Family Feud 
 Note : This index is manually maintained and may not be up to date but  this listing is always current . 
 Bonus:  Pilot Script download 
 Can't find the show or information you're looking for on our site? Try eBay or Amazon for actual  Supernatural episode scripts , movie screenplays and/or spoilers. 
 
 
  Transcripts Topic Print  
 
 
 
 
 
 
 
 
 
 Page  1  of  1 
 All times are UTC - 5 hours  
 
 
 
 
 
 
 © Copyright Forever Dreaming. All rights reserved. http://foreverdreaming.org 
 
 
 
 
 
